rgn_id,impact,value,rgn_label,m49_code,iso3c,georgn,geosubrgn,cells,region
10,ssp245_medium-term,6.13493549823761,Nauru,520,NRU,Oceania,Micronesia,9,coast
10,ssp245_near-term,4.204129219055176,Nauru,520,NRU,Oceania,Micronesia,9,coast
10,ssp585_current,2.0896094888448715,Nauru,520,NRU,Oceania,Micronesia,9,coast
10,ssp585_medium-term,7.206776738166809,Nauru,520,NRU,Oceania,Micronesia,9,coast
10,ssp585_near-term,4.4021061062812805,Nauru,520,NRU,Oceania,Micronesia,9,coast
11,ssp245_current,54.92148521542549,Marshall Islands,584,MHL,Oceania,Micronesia,346,coast
11,ssp245_medium-term,279.01088112592697,Marshall Islands,584,MHL,Oceania,Micronesia,346,coast
11,ssp245_near-term,157.01009222865105,Marshall Islands,584,MHL,Oceania,Micronesia,346,coast
11,ssp585_current,64.97245860099792,Marshall Islands,584,MHL,Oceania,Micronesia,346,coast
11,ssp585_medium-term,323.0549340248108,Marshall Islands,584,MHL,Oceania,Micronesia,346,coast
11,ssp585_near-term,180.34386545419693,Marshall Islands,584,MHL,Oceania,Micronesia,346,coast
12,ssp245_current,1.6148708909749985,Wake Island,NA,NA,Oceania,Micronesia,9,coast
12,ssp245_medium-term,3.9910351932048798,Wake Island,NA,NA,Oceania,Micronesia,9,coast
12,ssp245_near-term,2.3217700868844986,Wake Island,NA,NA,Oceania,Micronesia,9,coast
12,ssp585_current,1.5835137516260147,Wake Island,NA,NA,Oceania,Micronesia,9,coast
12,ssp585_medium-term,4.742869555950165,Wake Island,NA,NA,Oceania,Micronesia,9,coast
12,ssp585_near-term,2.549293100833893,Wake Island,NA,NA,Oceania,Micronesia,9,coast
13,ssp245_current,30.204557687044144,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia,187,coast
13,ssp245_medium-term,129.9860976934433,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia,187,coast
13,ssp245_near-term,71.7212985754013,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia,187,coast
13,ssp585_current,36.7828868329525,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia,187,coast
13,ssp585_medium-term,146.10343772172928,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia,187,coast
13,ssp585_near-term,80.13446840643883,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia,187,coast
14,ssp245_current,127.16387505084276,Taiwan,NA,TWN,Asia,Eastern Asia,322,coast
14,ssp245_medium-term,222.36409823969007,Taiwan,NA,TWN,Asia,Eastern Asia,322,coast
14,ssp245_near-term,168.2938628308475,Taiwan,NA,TWN,Asia,Eastern Asia,322,coast
14,ssp585_current,122.26704922132194,Taiwan,NA,TWN,Asia,Eastern Asia,322,coast
14,ssp585_medium-term,257.2639288008213,Taiwan,NA,TWN,Asia,Eastern Asia,322,coast
14,ssp585_near-term,177.02614052779973,Taiwan,NA,TWN,Asia,Eastern Asia,322,coast
15,ssp245_current,1647.2088631142396,Philippines,608,PHL,Asia,South-eastern Asia,3780,coast
15,ssp245_medium-term,3254.7479432171676,Philippines,608,PHL,Asia,South-eastern Asia,3780,coast
15,ssp245_near-term,2448.117024177569,Philippines,608,PHL,Asia,South-eastern Asia,3780,coast
15,ssp585_current,1661.875175707275,Philippines,608,PHL,Asia,South-eastern Asia,3780,coast
15,ssp585_medium-term,3737.5597682492808,Philippines,608,PHL,Asia,South-eastern Asia,3780,coast
15,ssp585_near-term,2547.445257124724,Philippines,608,PHL,Asia,South-eastern Asia,3780,coast
16,ssp245_current,935.0907090224646,Australia,36,AUS,Oceania,Australia and New Zealand,6804,coast
16,ssp245_medium-term,2161.6541522700572,Australia,36,AUS,Oceania,Australia and New Zealand,6804,coast
16,ssp245_near-term,1256.0125087434426,Australia,36,AUS,Oceania,Australia and New Zealand,6804,coast
16,ssp585_current,947.8392576926999,Australia,36,AUS,Oceania,Australia and New Zealand,6804,coast
16,ssp585_medium-term,2831.885185917723,Australia,36,AUS,Oceania,Australia and New Zealand,6804,coast
16,ssp585_near-term,1449.2956438595138,Australia,36,AUS,Oceania,Australia and New Zealand,6804,coast
17,ssp245_current,484.1350114735251,Papua New Guinea,598,PNG,Oceania,Melanesia,2473,coast
17,ssp245_medium-term,1728.0090896119364,Papua New Guinea,598,PNG,Oceania,Melanesia,2473,coast
17,ssp245_near-term,1103.4929512439412,Papua New Guinea,598,PNG,Oceania,Melanesia,2473,coast
17,ssp585_current,475.2303769561695,Papua New Guinea,598,PNG,Oceania,Melanesia,2473,coast
17,ssp585_medium-term,2011.872783891973,Papua New Guinea,598,PNG,Oceania,Melanesia,2473,coast
17,ssp585_near-term,1164.8294809440267,Papua New Guinea,598,PNG,Oceania,Melanesia,2473,coast
18,ssp245_current,109.80599899613298,Fiji,242,FJI,Oceania,Melanesia,580,coast
18,ssp245_medium-term,365.07527970848605,Fiji,242,FJI,Oceania,Melanesia,580,coast
18,ssp245_near-term,235.75001903809607,Fiji,242,FJI,Oceania,Melanesia,580,coast
18,ssp585_current,128.780433770502,Fiji,242,FJI,Oceania,Melanesia,580,coast
18,ssp585_medium-term,421.0700233555399,Fiji,242,FJI,Oceania,Melanesia,580,coast
18,ssp585_near-term,235.64074607566,Fiji,242,FJI,Oceania,Melanesia,580,coast
19,ssp245_current,6.296296998858452,Tuvalu,798,TUV,Oceania,Polynesia,51,coast
19,ssp245_medium-term,33.79700893163681,Tuvalu,798,TUV,Oceania,Polynesia,51,coast
19,ssp245_near-term,20.32647281885147,Tuvalu,798,TUV,Oceania,Polynesia,51,coast
19,ssp585_current,6.133543863892555,Tuvalu,798,TUV,Oceania,Polynesia,51,coast
19,ssp585_medium-term,40.60059571266174,Tuvalu,798,TUV,Oceania,Polynesia,51,coast
19,ssp585_near-term,18.54347985982895,Tuvalu,798,TUV,Oceania,Polynesia,51,coast
20,ssp245_current,387.9882098855451,Republic of Korea,410,KOR,Asia,Eastern Asia,763,coast
20,ssp245_medium-term,473.7011000169441,Republic of Korea,410,KOR,Asia,Eastern Asia,763,coast
20,ssp245_near-term,420.20711880689487,Republic of Korea,410,KOR,Asia,Eastern Asia,763,coast
20,ssp585_current,391.706173658371,Republic of Korea,410,KOR,Asia,Eastern Asia,763,coast
20,ssp585_medium-term,574.7221949729137,Republic of Korea,410,KOR,Asia,Eastern Asia,763,coast
20,ssp585_near-term,430.4822360542603,Republic of Korea,410,KOR,Asia,Eastern Asia,763,coast
21,ssp245_current,182.10829513520002,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia,340,coast
21,ssp245_medium-term,240.02790247648954,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia,340,coast
21,ssp245_near-term,214.06771389767528,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia,340,coast
21,ssp585_current,181.94914955832064,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia,340,coast
21,ssp585_medium-term,279.72820223495364,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia,340,coast
21,ssp585_near-term,221.2635490000248,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia,340,coast
24,ssp245_current,36.667440864257514,Cambodia,116,KHM,Asia,South-eastern Asia,100,coast
24,ssp245_medium-term,59.52002275176346,Cambodia,116,KHM,Asia,South-eastern Asia,100,coast
24,ssp245_near-term,46.16758903302252,Cambodia,116,KHM,Asia,South-eastern Asia,100,coast
24,ssp585_current,37.29925365559757,Cambodia,116,KHM,Asia,South-eastern Asia,100,coast
24,ssp585_medium-term,69.76107276976109,Cambodia,116,KHM,Asia,South-eastern Asia,100,coast
24,ssp585_near-term,47.1156746186316,Cambodia,116,KHM,Asia,South-eastern Asia,100,coast
25,ssp245_current,332.39222211483866,Thailand,764,THA,Asia,South-eastern Asia,723,coast
25,ssp245_medium-term,534.1012225188315,Thailand,764,THA,Asia,South-eastern Asia,723,coast
25,ssp245_near-term,422.62039151694626,Thailand,764,THA,Asia,South-eastern Asia,723,coast
25,ssp585_current,335.08507264591753,Thailand,764,THA,Asia,South-eastern Asia,723,coast
25,ssp585_medium-term,609.4952185638249,Thailand,764,THA,Asia,South-eastern Asia,723,coast
25,ssp585_near-term,422.0153438579291,Thailand,764,THA,Asia,South-eastern Asia,723,coast
26,ssp245_current,176.79293711483479,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia,381,coast
26,ssp245_medium-term,359.38378278631717,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia,381,coast
26,ssp245_near-term,260.86118478374556,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia,381,coast
26,ssp585_current,180.78424021881074,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia,381,coast
26,ssp585_medium-term,417.48385459929705,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia,381,coast
26,ssp585_near-term,267.6906049088575,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia,381,coast
28,ssp245_current,25.10380755364895,Comoro Islands,NA,NA,Africa,Eastern Africa,103,coast
28,ssp245_medium-term,92.31014178693295,Comoro Islands,NA,NA,Africa,Eastern Africa,103,coast
28,ssp245_near-term,63.810030326247215,Comoro Islands,NA,NA,Africa,Eastern Africa,103,coast
28,ssp585_current,26.302146591246128,Comoro Islands,NA,NA,Africa,Eastern Africa,103,coast
28,ssp585_medium-term,98.4615871310234,Comoro Islands,NA,NA,Africa,Eastern Africa,103,coast
28,ssp585_near-term,65.65758256614208,Comoro Islands,NA,NA,Africa,Eastern Africa,103,coast
29,ssp245_current,10.387065961956978,Mayotte,175,MYT,Africa,Eastern Africa,34,coast
29,ssp245_medium-term,31.074681103229523,Mayotte,175,MYT,Africa,Eastern Africa,34,coast
29,ssp245_near-term,21.827337086200714,Mayotte,175,MYT,Africa,Eastern Africa,34,coast
29,ssp585_current,11.348285585641861,Mayotte,175,MYT,Africa,Eastern Africa,34,coast
29,ssp585_medium-term,33.77898281812668,Mayotte,175,MYT,Africa,Eastern Africa,34,coast
29,ssp585_near-term,22.898639678955078,Mayotte,175,MYT,Africa,Eastern Africa,34,coast
30,ssp245_current,1.4784940034151077,Glorioso Islands,NA,NA,Africa,Eastern Africa,9,coast
30,ssp245_medium-term,4.791875660419464,Glorioso Islands,NA,NA,Africa,Eastern Africa,9,coast
30,ssp245_near-term,2.897223085165024,Glorioso Islands,NA,NA,Africa,Eastern Africa,9,coast
30,ssp585_current,1.4693397283554077,Glorioso Islands,NA,NA,Africa,Eastern Africa,9,coast
30,ssp585_medium-term,5.339195609092712,Glorioso Islands,NA,NA,Africa,Eastern Africa,9,coast
30,ssp585_near-term,2.952537328004837,Glorioso Islands,NA,NA,Africa,Eastern Africa,9,coast
31,ssp245_current,12.129851385951042,Seychelles,690,SYC,Africa,Eastern Africa,131,coast
31,ssp245_medium-term,84.6354695558548,Seychelles,690,SYC,Africa,Eastern Africa,131,coast
31,ssp245_near-term,39.81288596987724,Seychelles,690,SYC,Africa,Eastern Africa,131,coast
31,ssp585_current,10.994905195198953,Seychelles,690,SYC,Africa,Eastern Africa,131,coast
31,ssp585_medium-term,99.17520040273666,Seychelles,690,SYC,Africa,Eastern Africa,131,coast
31,ssp585_near-term,42.254779145121574,Seychelles,690,SYC,Africa,Eastern Africa,131,coast
32,ssp245_current,7.065131857991219,Réunion,638,REU,Africa,Eastern Africa,50,coast
32,ssp245_medium-term,39.217055991292,Réunion,638,REU,Africa,Eastern Africa,50,coast
32,ssp245_near-term,23.034044034779072,Réunion,638,REU,Africa,Eastern Africa,50,coast
32,ssp585_current,6.4718218967318535,Réunion,638,REU,Africa,Eastern Africa,50,coast
32,ssp585_medium-term,43.38963317871094,Réunion,638,REU,Africa,Eastern Africa,50,coast
32,ssp585_near-term,23.2045146971941,Réunion,638,REU,Africa,Eastern Africa,50,coast
33,ssp245_current,1.6335645914077759,Juan de Nova Island,NA,NA,Africa,Eastern Africa,9,coast
33,ssp245_medium-term,4.307088285684586,Juan de Nova Island,NA,NA,Africa,Eastern Africa,9,coast
33,ssp245_near-term,2.714742362499237,Juan de Nova Island,NA,NA,Africa,Eastern Africa,9,coast
33,ssp585_current,1.6235011518001556,Juan de Nova Island,NA,NA,Africa,Eastern Africa,9,coast
33,ssp585_medium-term,5.040302276611328,Juan de Nova Island,NA,NA,Africa,Eastern Africa,9,coast
33,ssp585_near-term,2.635074704885483,Juan de Nova Island,NA,NA,Africa,Eastern Africa,9,coast
35,ssp245_current,1.6594284772872925,Ile Europa,NA,NA,Africa,Eastern Africa,12,coast
35,ssp245_medium-term,4.436786085367203,Ile Europa,NA,NA,Africa,Eastern Africa,12,coast
