georgn,pressure,ssp245_current,ssp245_medium-term,ssp585_current,ssp585_medium-term,ssp245_change,ssp585_change
Antarctica,acidification,0.046627765936713944,0.0833252230577274,0.046534074371806115,0.09548186442010327,0.03669745712101345,0.048947790048297156
Atlantic Eastern Central,acidification,0,0,0,0,0,0
Australia and New Zealand,acidification,0.011988094779205715,0.02604994509236045,0.012037290966089433,0.037091181481509965,0.014061850313154736,0.02505389051542053
Caribbean,acidification,0,0,0,1.2971686425956074e-4,0,1.2971686425956074e-4
Central America,acidification,0.007460169750016904,0.017533601546928554,0.007376748074658382,0.02473100622417074,0.01007343179691165,0.017354258149512358
Eastern Africa,acidification,1.4686258608022376e-5,4.605684228941507e-4,1.4686258608022376e-5,0.002865314959762397,4.458821642861283e-4,0.0028506287011543746
Eastern Asia,acidification,0.013959332220637024,0.03367134041548845,0.01461076688792575,0.04882790362284259,0.019712008194851426,0.03421713673491684
Eastern Europe,acidification,0.06574647307920982,0.09457823314199132,0.06549108377413296,0.10721451027288138,0.0288317600627815,0.041723426498748425
Melanesia,acidification,0,2.589265758110802e-5,0,9.067241757847128e-4,2.589265758110802e-5,9.067241757847128e-4
Micronesia,acidification,0,2.610628724177323e-4,0,0.0018803319201430961,2.610628724177323e-4,0.0018803319201430961
Middle Africa,acidification,0.007614320587192837,0.025309192187753723,0.00802276329021269,0.04025669478401051,0.017694871600560887,0.03223393149379782
Northern Africa,acidification,0.0026727279573766187,0.02346320070722191,0.0020930054277669475,0.035880899403798946,0.02079047274984529,0.033787893976032
Northern America,acidification,0.08233781452708529,0.12523943717313957,0.08335460310544485,0.13820011227463067,0.04290162264605428,0.05484550916918582
Northern Europe,acidification,0.040453697391146536,0.0650534862355378,0.04086707886148949,0.0780851710786612,0.02459978884439127,0.037218092217171705
Polynesia,acidification,0,8.473178510080328e-5,0,8.189425356181415e-4,8.473178510080328e-5,8.189425356181415e-4
South America,acidification,0.027277923808446278,0.046919157481327904,0.027479750748994978,0.05735933798552669,0.019641233672881626,0.029879587236531713
South-eastern Asia,acidification,3.472930136238411e-5,0.002282666165509489,3.472930136238411e-5,0.011109119301111366,0.002247936864147105,0.011074389999748982
Southern Africa,acidification,0.009802253225330364,0.023753797486779454,0.009781574902796233,0.032403623279107535,0.01395154426144909,0.0226220483763113
Southern Asia,acidification,0,0.002046146972427895,0,0.005917628143253099,0.002046146972427895,0.005917628143253099
Southern Europe,acidification,0.06779394601407157,0.09985422422771026,0.06664167339960653,0.12022047428293797,0.03206027821363869,0.053578800883331446
Southern Islands,acidification,0.08560703766700802,0.1349504258548348,0.08449911852395947,0.16435170981179548,0.049343388187826784,0.079852591287836
Western Africa,acidification,0.002276705434203942,0.010952080977483437,0.0023433719656280444,0.017372574341801058,0.008675375543279495,0.015029202376173013
Western Asia,acidification,0.041148084689558634,0.04427958941698903,0.04146182568869471,0.04763272447769525,0.003131504727430394,0.0061708987890005396
Western Europe,acidification,0.036876073054495716,0.06227149971349094,0.035634461220950896,0.07745977868396206,0.025395426658995225,0.041825317463011165
Antarctica,air heat index,0,0,0,0,0,0
Atlantic Eastern Central,air heat index,0,0,0,0,0,0
Australia and New Zealand,air heat index,0.0015794793731702826,0.02833817016063642,0.0013149722526885736,0.03134919093529267,0.02675869078746614,0.030034218682604096
Caribbean,air heat index,3.643075853830992e-4,0.024299416634909293,4.489070416382852e-4,0.03469003462191484,0.023935109049526192,0.03424112758027655
Central America,air heat index,0.001130674021701798,0.02560944033972753,0.0011772121603449088,0.03576929992110136,0.024478766318025733,0.03459208776075645
Eastern Africa,air heat index,5.678885115841045e-4,0.005416704536886864,6.244030770591148e-4,0.012556055096046273,0.004848816025302759,0.011931652018987158
Eastern Asia,air heat index,0.0010819145055454818,0.016068865313689243,0.0010569758318551136,0.018323879708834197,0.014986950808143761,0.017266903876979083
Eastern Europe,air heat index,0,1.8986712186497964e-6,0,7.741815810371019e-6,1.8986712186497964e-6,7.741815810371019e-6
Melanesia,air heat index,1.3425570917433612e-5,0.001113366868893523,1.2504329520087578e-5,0.008462509601539785,0.0010999412979760894,0.008450005272019697
