rgn_id,impact,value,rgn_label,m49_code,iso3c,georgn,geosubrgn,cells,region
1,ssp245_current,411.16684172675014,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,4694,eez
1,ssp245_medium-term,1331.9331174492836,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,4694,eez
1,ssp245_near-term,747.6091770008206,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,4694,eez
1,ssp585_current,565.0796300806105,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,4694,eez
1,ssp585_medium-term,1949.7528177201748,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,4694,eez
1,ssp585_near-term,935.823860116303,Cocos Islands,166,CCK,Oceania,Australia and New Zealand,4694,eez
2,ssp245_current,329.00629605539143,Christmas Island,162,CXR,Oceania,Australia and New Zealand,3298,eez
2,ssp245_medium-term,1027.056039094925,Christmas Island,162,CXR,Oceania,Australia and New Zealand,3298,eez
2,ssp245_near-term,621.2151338532567,Christmas Island,162,CXR,Oceania,Australia and New Zealand,3298,eez
2,ssp585_current,356.1700229011476,Christmas Island,162,CXR,Oceania,Australia and New Zealand,3298,eez
2,ssp585_medium-term,1434.373257637024,Christmas Island,162,CXR,Oceania,Australia and New Zealand,3298,eez
2,ssp585_near-term,699.7036033719778,Christmas Island,162,CXR,Oceania,Australia and New Zealand,3298,eez
3,ssp245_current,863.2583861202002,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,4317,eez
3,ssp245_medium-term,2141.4673866331577,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,4317,eez
3,ssp245_near-term,1279.6505626142025,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,4317,eez
3,ssp585_current,844.8253479376435,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,4317,eez
3,ssp585_medium-term,2808.8182552456856,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,4317,eez
3,ssp585_near-term,1415.066889449954,Norfolk Island,574,NFK,Oceania,Australia and New Zealand,4317,eez
4,ssp245_current,1089.3561992496252,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,4744,eez
4,ssp245_medium-term,2472.8995596170425,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,4744,eez
4,ssp245_near-term,1579.5541753023863,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,4744,eez
4,ssp585_current,1085.8817351907492,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,4744,eez
4,ssp585_medium-term,2627.056890577078,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,4744,eez
4,ssp585_near-term,1633.5032269656658,Macquarie Island,NA,NA,Oceania,Australia and New Zealand,4744,eez
5,ssp245_current,2949.5379884405993,New Caledonia,540,NCL,Oceania,Melanesia,13775,eez
