habitat,habitat_class,pressure,pressure_category,scen_time,color,avg_impact
beach,intertidal-coastal,acidification,climate-change-other,ssp245_current,#C84382FF,0
beach,intertidal-coastal,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0
beach,intertidal-coastal,acidification,climate-change-other,ssp245_near-term,#C84382FF,0
beach,intertidal-coastal,acidification,climate-change-other,ssp585_current,#C84382FF,0
beach,intertidal-coastal,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0
beach,intertidal-coastal,acidification,climate-change-other,ssp585_near-term,#C84382FF,0
beach,intertidal-coastal,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0.0025313264632049665
beach,intertidal-coastal,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.01713145604433844
beach,intertidal-coastal,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.006773290224072163
beach,intertidal-coastal,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0.002450296755678576
beach,intertidal-coastal,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.030056263857821803
beach,intertidal-coastal,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.008018221274955169
beach,intertidal-coastal,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.12077411808496959
beach,intertidal-coastal,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.1242582032282836
beach,intertidal-coastal,coastal disturbance,land-based,ssp245_near-term,#ECA045FF,0.1228699059757059
beach,intertidal-coastal,coastal disturbance,land-based,ssp585_current,#ECA045FF,0.12061487875904536
beach,intertidal-coastal,coastal disturbance,land-based,ssp585_medium-term,#ECA045FF,0.12344974336016926
beach,intertidal-coastal,coastal disturbance,land-based,ssp585_near-term,#ECA045FF,0.12244692247737526
beach,intertidal-coastal,fisheries biomass loss,fisheries,ssp245_current,#4DB0D3FF,0.08634009351961248
beach,intertidal-coastal,fisheries biomass loss,fisheries,ssp245_medium-term,#4DB0D3FF,0.11458354619967445
beach,intertidal-coastal,fisheries biomass loss,fisheries,ssp245_near-term,#4DB0D3FF,0.10316728176103711
beach,intertidal-coastal,fisheries biomass loss,fisheries,ssp585_current,#4DB0D3FF,0.08693331959390571
beach,intertidal-coastal,fisheries biomass loss,fisheries,ssp585_medium-term,#4DB0D3FF,0.12166732605106902
beach,intertidal-coastal,fisheries biomass loss,fisheries,ssp585_near-term,#4DB0D3FF,0.10726488492347075
beach,intertidal-coastal,light pollution,land-based,ssp245_current,#DFC524FF,0.011202602235005877
beach,intertidal-coastal,light pollution,land-based,ssp245_medium-term,#DFC524FF,0.014921708464732081
beach,intertidal-coastal,light pollution,land-based,ssp245_near-term,#DFC524FF,0.012947029580208567
beach,intertidal-coastal,light pollution,land-based,ssp585_current,#DFC524FF,0.011281926448962077
beach,intertidal-coastal,light pollution,land-based,ssp585_medium-term,#DFC524FF,0.016773404747452543
beach,intertidal-coastal,light pollution,land-based,ssp585_near-term,#DFC524FF,0.013513135937683964
beach,intertidal-coastal,nutrient pollution,land-based,ssp245_current,#ED8660FF,0.004761855999552745
beach,intertidal-coastal,nutrient pollution,land-based,ssp245_medium-term,#ED8660FF,0.005540884933629763
beach,intertidal-coastal,nutrient pollution,land-based,ssp245_near-term,#ED8660FF,0.0052858020577884815
beach,intertidal-coastal,nutrient pollution,land-based,ssp585_current,#ED8660FF,0.004767666460201192
beach,intertidal-coastal,nutrient pollution,land-based,ssp585_medium-term,#ED8660FF,0.005435996381471731
beach,intertidal-coastal,nutrient pollution,land-based,ssp585_near-term,#ED8660FF,0.005302341027056789
beach,intertidal-coastal,ocean warming,climate-change-temperature,ssp245_current,#3B060AFF,0.02872092878875987
beach,intertidal-coastal,ocean warming,climate-change-temperature,ssp245_medium-term,#3B060AFF,0.07978777537412089
beach,intertidal-coastal,ocean warming,climate-change-temperature,ssp245_near-term,#3B060AFF,0.05090672713221332
beach,intertidal-coastal,ocean warming,climate-change-temperature,ssp585_current,#3B060AFF,0.02888653764118047
