country,integrated_depend,econ_depend,nutrition_depend,iso3c
Thailand,0.320826,0.26,0.32,THA
Madagascar,0.316617,0.29,0.24,MDG
Puerto Rico,0.310475,NA,NA,PRI
Congo,0.308949,0.26,0.28,COG
Mauritania,0.308714,0.43,0.11,MRT
The Bahamas,0.303717,0.29,0.21,BHS
Mozambique,0.300852,0.17,0.36,MOZ
Bermuda,0.297678,NA,0.19,BMU
Martinique,0.296299,NA,NA,MTQ
Malaysia,0.296157,0.13,0.43,MYS
Antigua and Barbuda,0.295679,0.15,0.26,ATG
Grenada,0.294616,0.23,0.27,GRD
Suriname,0.29425,0.29,0.23,SUR
Comoros,0.288892,0.31,NA,COM
Guinea,0.287993,0.16,0.35,GIN
Cameroon,0.284419,0.12,0.38,CMR
Cook Islands,0.283559,0.23,0.37,COK
Saint Kitts and Nevis,0.281362,0.18,0.23,KNA
Mayotte,0.281157,0.11,NA,MYT
Tonga,0.280721,0.28,NA,TON
Morocco,0.275022,0.3,0.19,MAR
Bangladesh,0.274134,0.27,0.22,BGD
Belize,0.273265,0.28,0.13,BLZ
Honduras,0.272937,0.23,NA,HND
Cape Verde,0.27066,0.36,0.15,CPV
Dominica,0.263772,0.21,0.19,DMA
Turks and Caicos Islands,0.262214,0.05,NA,TCA
Saint Bartolemy,0.2614,0.07,NA,NA
Togo,0.259086,0.15,0.3,TGO
Sint Maarten,0.257578,NA,NA,SXM
Angola,0.256033,0.1,0.34,AGO
Japan,0.25445,0.06,0.38,JPN
Norway,0.252239,0.18,0.26,NOR
Saint Lucia,0.251956,0.17,0.21,LCA
Democratic Republic of Congo,0.251454,0.22,NA,COD
Haiti,0.250831,0.19,0.19,HTI
Yemen,0.250408,0.33,0.11,YEM
Venezuela,0.247038,0.37,0.06,VEN
British Virgin Islands,0.247025,0.04,NA,VGB
South Korea,0.24575,0.09,0.34,KOR
Eritrea,0.240315,0.22,NA,ERI
Lithuania,0.239075,0.17,0.25,LTU
Peru,0.239019,0.19,0.23,PER
Oman,0.23875,0.21,NA,OMN
New Caledonia,0.236667,NA,0.19,NCL
Gabon,0.235914,0.16,0.26,GAB
Curacao,0.232071,NA,NA,CUW
Tunisia,0.231634,0.28,0.13,TUN
Jamaica,0.226843,0.17,0.16,JAM
Barbados,0.226105,0.1,0.24,BRB
Saint Vincent and the Grenadines,0.220047,0.17,0.12,VCT
British Virgin Islands,0.219745,0.04,NA,VGB
Portugal,0.217708,0.17,0.21,PRT
Cambodia,0.215523,0.09,0.3,KHM
Guadeloupe,0.212195,0.04,NA,GLP
Kenya,0.202589,0.18,NA,KEN
Wallis and Futuna Islands,0.198679,0.16,NA,WLF
Spain,0.198635,0.17,0.18,ESP
Timor Leste,0.194793,0.27,0.13,TLS
Latvia,0.192671,0.2,0.14,LVA
Nicaragua,0.19222,0.22,0.1,NIC
Aruba,0.187066,NA,NA,ABW
Ecuador,0.185814,0.27,0.06,ECU
Somalia,0.184318,0.28,0.04,SOM
Malta,0.183548,0.18,0.14,MLT
Benin,0.183091,0.04,0.28,BEN
French Southern Territories,0.177533,0.16,NA,ATF
Panama,0.174682,0.21,0.13,PAN
Denmark,0.172332,0.16,0.14,DNK
Guinea-Bissau,0.167291,0.31,0.01,GNB
Curacao,0.16355,NA,NA,CUW
Pakistan,0.163154,0.14,NA,PAK
Libya,0.162843,0.14,0.14,LBY
Algeria,0.16188,0.22,0.07,DZA
American Samoa,0.160378,NA,NA,ASM
El Salvador,0.153388,0.17,0.09,SLV
Greece,0.151298,0.2,0.06,GRC
New Zealand,0.151022,0.16,0.11,NZL
Trinidad and Tobago,0.15037,0.11,0.2,TTO
Dominican Republic,0.150305,0.1,0.1,DOM
Croatia,0.149379,0.19,0.07,HRV
Chile,0.147408,0.2,0.06,CHL
India,0.145698,0.17,0.08,IND
United Arab Emirates,0.144608,0.08,0.19,ARE
Russia,0.139259,0.14,0.1,RUS
Estonia,0.137269,0.19,0.06,EST
Cuba,0.136895,0.1,0.01,CUB
Uganda,0.132441,0.12,NA,UGA
Lebanon,0.130735,0.16,0.06,LBN
Egypt,0.130138,0.13,0.1,EGY
Bahrain,0.128845,0.13,NA,BHR
Rwanda,0.126192,NA,0.11,RWA
Belarus,0.125362,0.16,0.06,BLR
China,0.122418,0.13,0.08,CHN
Canada,0.120683,0.12,0.09,CAN
Niue,0.120178,NA,NA,NIU
Iran,0.11937,0.15,0.06,IRN
Ireland,0.116893,0.13,0.07,IRL
French Guiana,0.116747,NA,NA,GUF
Mexico,0.112328,0.11,0.08,MEX
South Africa,0.110958,0.13,0.06,ZAF
Brunei Darussalam,0.107732,0.06,0.11,BRN
Cyprus,0.106333,0.09,0.1,CYP
Costa Rica,0.105444,0.16,0.04,CRI
France,0.102209,0.06,0.12,FRA
Djibouti,0.101697,0.11,0.07,DJI
Albania,0.101205,0.15,0.03,ALB
Sweden,0.100955,0.08,0.1,SWE
Guatemala,0.100161,0.16,0.01,GTM
Netherlands,0.099475,0.09,0.08,NLD
Poland,0.098334,0.09,0.08,POL
Taiwan,0.098156,0.07,NA,TWN
Australia,0.095532,0.09,0.07,AUS
Liberia,0.093186,0.11,0.05,LBR
Saint Helena,0.091796,0.08,NA,SHN
Italy,0.084732,0.06,0.09,ITA
Moldova,0.080218,NA,0.07,MDA
Colombia,0.078512,0.12,0.02,COL
Georgia,0.078371,0.06,0.08,GEO
Uruguay,0.077973,0.12,0.02,URY
Turkey,0.075967,0.08,0.06,TUR
Singapore,0.075844,0.07,NA,SGP
Ukraine,0.075382,0.06,0.07,UKR
Great Britain,0.072825,0.06,0.06,GBR
Finland,0.072076,0.02,0.1,FIN
Belgium,0.067975,0.05,0.06,BEL
South Sudan,0.066826,0.06,NA,SSD
Sudan,0.066535,0.06,NA,SDN
Kuwait,0.066027,0.05,0.07,KWT
Brazil,0.063472,0.1,0.01,BRA
Saudi Arabia,0.061323,0.05,0.06,SAU
Luxembourg,0.058793,0.02,0.08,LUX
Argentina,0.05676,0.08,0.02,ARG
Slovenia,0.0563,0.07,0.03,SVN
Bulgaria,0.054591,0.08,0.01,BGR
United States,0.052572,0.04,0.05,USA
Syria,0.051717,0.06,0.03,SYR
Zambia,0.049992,NA,0.04,ZMB
Lesotho,0.049362,0.04,NA,LSO
Qatar,0.046111,0.04,NA,QAT
Tanzania,0.044859,0.08,NA,TZA
Iraq,0.04169,NA,0.04,IRQ
Germany,0.041379,0.03,0.04,DEU
Botswana,0.038606,NA,0.03,BWA
Kazakhstan,0.03668,0.03,NA,KAZ
Switzerland,0.035231,NA,0.03,CHE
Jordan,0.033823,NA,0.06,JOR
Czech Republic,0.033727,0.05,0.01,CZE
The Former Yugoslav Republic of Macedonia,0.029214,0.02,0.04,MKD
Bosnia and Herzegovina,0.028758,0.03,0.02,BIH
Israel,0.0284,0.02,0.03,ISR
Montenegro,0.027601,NA,0.02,MNE
Romania,0.027223,0.04,NA,ROU
Niger,0.023923,0.02,NA,NER
Slovakia,0.020897,NA,0.04,SVK
Austria,0.020387,0.01,0.03,AUT
Swaziland,0.016009,NA,0.01,SWZ
Serbia,0.009454,NA,0.01,SRB
