country,integrated_depend,econ_depend,nutrition_depend,iso3c
Faroe Islands,0.932951,0.82,NA,FRO
Kiribati,0.715067,0.86,0.74,KIR
Greenland,0.711747,0.62,NA,GRL
Maldives,0.708048,0.42,0.99,MDV
Tuvalu,0.648955,0.98,0.53,TUV
Palau,0.556636,0.57,0.56,PLW
Sierra Leone,0.522608,0.31,0.65,SLE
Marshall Islands,0.509728,0.68,NA,MHL
Senegal,0.500128,0.42,0.48,SEN
Federated States of Micronesia,0.489408,0.47,0.44,FSM
Guam,0.478079,NA,NA,GUM
Nauru,0.474897,0.64,0.52,NRU
Northern Mariana Islands,0.454494,NA,NA,MNP
Cayman Islands,0.450975,NA,NA,CYM
Solomon Islands,0.435536,0.33,0.65,SLB
Sint Maarten,0.433706,NA,NA,SXM
Myanmar,0.431449,0.42,0.36,MMR
Ghana,0.422081,0.18,0.56,GHA
Saint Martin,0.415456,0.16,NA,NSM
Virgin Islands (U.S.),0.415249,NA,NA,VIR
Sri Lanka,0.415029,0.19,0.62,LKA
Iceland,0.414919,0.36,0.36,ISL
Sao Tome and Principe,0.412443,0.26,0.46,STP
Equatorial Guinea,0.409215,0.36,NA,GNQ
Vanuatu,0.406188,0.33,0.45,VUT
North Korea,0.397103,NA,0.35,PRK
Reunion,0.394329,NA,NA,REU
Cote D'Ivoire,0.386678,0.19,0.49,CIV
Philippines,0.374039,0.24,0.43,PHL
Guyana,0.364682,0.35,0.29,GUY
Indonesia,0.36433,0.22,0.48,IDN
Papua New Guinea,0.359104,0.35,NA,PNG
French Polynesia,0.356181,NA,0.46,PYF
Mauritius,0.349329,0.23,0.24,MUS
Fiji,0.344328,0.41,0.31,FJI
Namibia,0.338803,0.36,0.23,NAM
Vietnam,0.334473,0.28,0.3,VNM
"Gambia, The",0.327844,0.3,0.42,GMB
Burkina Faso,0.326356,NA,0.29,BFA
Samoa,0.325677,0.3,0.31,WSM
Nigeria,0.324679,0.15,0.42,NGA
Seychelles,0.322803,0.39,NA,SYC
