georgn,pressure,pressure_category,scen_time,color,avg_impact
Antarctica,acidification,climate-change-other,ssp245_current,#C84382FF,0.046627765936713944
Australia and New Zealand,acidification,climate-change-other,ssp245_current,#C84382FF,0.011988094779205715
Caribbean,acidification,climate-change-other,ssp245_current,#C84382FF,0
Central America,acidification,climate-change-other,ssp245_current,#C84382FF,0.007460169750016904
Eastern Africa,acidification,climate-change-other,ssp245_current,#C84382FF,1.4686258608022376e-5
Eastern Asia,acidification,climate-change-other,ssp245_current,#C84382FF,0.013959332220637024
Eastern Europe,acidification,climate-change-other,ssp245_current,#C84382FF,0.06574647307920982
Melanesia,acidification,climate-change-other,ssp245_current,#C84382FF,0
Micronesia,acidification,climate-change-other,ssp245_current,#C84382FF,0
Middle Africa,acidification,climate-change-other,ssp245_current,#C84382FF,0.007614320587192837
Northern Africa,acidification,climate-change-other,ssp245_current,#C84382FF,0.0026727279573766187
Northern America,acidification,climate-change-other,ssp245_current,#C84382FF,0.08233781452708529
Northern Europe,acidification,climate-change-other,ssp245_current,#C84382FF,0.040453697391146536
Polynesia,acidification,climate-change-other,ssp245_current,#C84382FF,0
South America,acidification,climate-change-other,ssp245_current,#C84382FF,0.027277923808446278
South-eastern Asia,acidification,climate-change-other,ssp245_current,#C84382FF,3.472930136238411e-5
Southern Africa,acidification,climate-change-other,ssp245_current,#C84382FF,0.009802253225330364
Southern Asia,acidification,climate-change-other,ssp245_current,#C84382FF,0
Southern Europe,acidification,climate-change-other,ssp245_current,#C84382FF,0.06779394601407157
Southern Islands,acidification,climate-change-other,ssp245_current,#C84382FF,0.08560703766700802
Western Africa,acidification,climate-change-other,ssp245_current,#C84382FF,0.002276705434203942
Western Asia,acidification,climate-change-other,ssp245_current,#C84382FF,0.041148084689558634
Western Europe,acidification,climate-change-other,ssp245_current,#C84382FF,0.036876073054495716
Antarctica,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.0833252230577274
Australia and New Zealand,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.02604994509236045
