region,scenario,time_frame,pressure,average_impact
Christmas Island,ssp245,medium-term,sea level rise,0.016891530140128452
Christmas Island,ssp585,current,sea level rise,0.00293811694684171
Christmas Island,ssp585,medium-term,sea level rise,0.02834008585870668
Norfolk Island,ssp245,current,acidification,0
Norfolk Island,ssp245,medium-term,acidification,0.0026146015739868735
Norfolk Island,ssp585,current,acidification,0
Norfolk Island,ssp585,medium-term,acidification,0.01916648027102686
Norfolk Island,ssp245,current,air heat index,0
Norfolk Island,ssp245,medium-term,air heat index,0
Norfolk Island,ssp585,current,air heat index,0
Norfolk Island,ssp585,medium-term,air heat index,0
Norfolk Island,ssp245,current,coastal disturbance,0.03727685325138737
Norfolk Island,ssp245,medium-term,coastal disturbance,0.03841059650294483
Norfolk Island,ssp585,current,coastal disturbance,0.03727685325138737
Norfolk Island,ssp585,medium-term,coastal disturbance,0.03841059650294483
Norfolk Island,ssp245,current,fisheries biomass loss,0.09135925861677
Norfolk Island,ssp245,medium-term,fisheries biomass loss,0.12259776374412468
Norfolk Island,ssp585,current,fisheries biomass loss,0.09735649269665979
Norfolk Island,ssp585,medium-term,fisheries biomass loss,0.16987230140075554
Norfolk Island,ssp245,current,light pollution,0
Norfolk Island,ssp245,medium-term,light pollution,0
Norfolk Island,ssp585,current,light pollution,0
Norfolk Island,ssp585,medium-term,light pollution,0
Norfolk Island,ssp245,current,nutrient pollution,0
Norfolk Island,ssp245,medium-term,nutrient pollution,0
Norfolk Island,ssp585,current,nutrient pollution,0
Norfolk Island,ssp585,medium-term,nutrient pollution,0
Norfolk Island,ssp245,current,ocean warming,0.19062369133146906
Norfolk Island,ssp245,medium-term,ocean warming,0.4007210702606244
Norfolk Island,ssp585,current,ocean warming,0.18514652038914695
Norfolk Island,ssp585,medium-term,ocean warming,0.4962590632145293
Norfolk Island,ssp245,current,primary productivity,0.019016217485962748
Norfolk Island,ssp245,medium-term,primary productivity,0.05483606949953052
Norfolk Island,ssp585,current,primary productivity,0.018194884122203804
Norfolk Island,ssp585,medium-term,primary productivity,0.083484655218975
Norfolk Island,ssp245,current,reduced oxygen,0.004201139696105351
Norfolk Island,ssp245,medium-term,reduced oxygen,0.008714693630857556
Norfolk Island,ssp585,current,reduced oxygen,0.004201139696105351
Norfolk Island,ssp585,medium-term,reduced oxygen,0.009947485626465396
Norfolk Island,ssp245,current,sea level rise,9.246635767340186e-4
Norfolk Island,ssp245,medium-term,sea level rise,0.01913793068379164
Norfolk Island,ssp585,current,sea level rise,0.004815145203610881
Norfolk Island,ssp585,medium-term,sea level rise,0.03388505481804411
Macquarie Island,ssp245,current,acidification,0.12521313381236696
Macquarie Island,ssp245,medium-term,acidification,0.19440145770656245
Macquarie Island,ssp585,current,acidification,0.12521313381236696
Macquarie Island,ssp585,medium-term,acidification,0.23176316853465379
Macquarie Island,ssp245,current,air heat index,0
Macquarie Island,ssp245,medium-term,air heat index,0
Macquarie Island,ssp585,current,air heat index,0
Macquarie Island,ssp585,medium-term,air heat index,0
Macquarie Island,ssp245,current,coastal disturbance,0
Macquarie Island,ssp245,medium-term,coastal disturbance,0
Macquarie Island,ssp585,current,coastal disturbance,0
Macquarie Island,ssp585,medium-term,coastal disturbance,0
Macquarie Island,ssp245,current,fisheries biomass loss,0.04430263533030291
Macquarie Island,ssp245,medium-term,fisheries biomass loss,0.0928208616383155
Macquarie Island,ssp585,current,fisheries biomass loss,0.04430263533030291
Macquarie Island,ssp585,medium-term,fisheries biomass loss,0.0928208616383155
Macquarie Island,ssp245,current,light pollution,0
Macquarie Island,ssp245,medium-term,light pollution,0
Macquarie Island,ssp585,current,light pollution,0
Macquarie Island,ssp585,medium-term,light pollution,0
Macquarie Island,ssp245,current,nutrient pollution,0
Macquarie Island,ssp245,medium-term,nutrient pollution,0
Macquarie Island,ssp585,current,nutrient pollution,0
Macquarie Island,ssp585,medium-term,nutrient pollution,0
Macquarie Island,ssp245,current,ocean warming,0.04205751471027091
Macquarie Island,ssp245,medium-term,ocean warming,0.16605433900655375
Macquarie Island,ssp585,current,ocean warming,0.04004809464748343
Macquarie Island,ssp585,medium-term,ocean warming,0.1785148331354404
Macquarie Island,ssp245,current,primary productivity,0.01992269695079868
Macquarie Island,ssp245,medium-term,primary productivity,0.017932186288762197
Macquarie Island,ssp585,current,primary productivity,0.019255699193860033
Macquarie Island,ssp585,medium-term,primary productivity,0.006862134080344703
Macquarie Island,ssp245,current,reduced oxygen,2.989894838599556e-4
Macquarie Island,ssp245,medium-term,reduced oxygen,6.264911068566504e-4
Macquarie Island,ssp585,current,reduced oxygen,2.989894838599556e-4
Macquarie Island,ssp585,medium-term,reduced oxygen,7.409657523933171e-4
Macquarie Island,ssp245,current,sea level rise,0.0013071580835843847
Macquarie Island,ssp245,medium-term,sea level rise,0.011328927825106251
Macquarie Island,ssp585,current,sea level rise,0.002930502172658276
Macquarie Island,ssp585,medium-term,sea level rise,0.01722951944049617
Australia,ssp245,current,acidification,0.0037126133730594306
Australia,ssp245,medium-term,acidification,0.012004735847330947
Australia,ssp585,current,acidification,0.004076323974802411
Australia,ssp585,medium-term,acidification,0.021166303709427355
Australia,ssp245,current,air heat index,0.002157201839905093
Australia,ssp245,medium-term,air heat index,0.03586760797281219
Australia,ssp585,current,air heat index,0.0017778725219930898
Australia,ssp585,medium-term,air heat index,0.03998683989818601
Australia,ssp245,current,coastal disturbance,0.026833525318897752
Australia,ssp245,medium-term,coastal disturbance,0.028984528636846123
Australia,ssp585,current,coastal disturbance,0.02713430062704611
Australia,ssp585,medium-term,coastal disturbance,0.03120664752501953
Australia,ssp245,current,fisheries biomass loss,0.08795796995884766
Australia,ssp245,medium-term,fisheries biomass loss,0.11658348147954371
Australia,ssp585,current,fisheries biomass loss,0.09345355433820855
Australia,ssp585,medium-term,fisheries biomass loss,0.15990366519849417
Australia,ssp245,current,light pollution,0.0011252518295720723
Australia,ssp245,medium-term,light pollution,0.0015879122297487729
Australia,ssp585,current,light pollution,0.0011370457558887808
Australia,ssp585,medium-term,light pollution,0.001954453528578996
Australia,ssp245,current,nutrient pollution,0.004864782260121721
Australia,ssp245,medium-term,nutrient pollution,0.005398181489926061
Australia,ssp585,current,nutrient pollution,0.004789863193236652
Australia,ssp585,medium-term,nutrient pollution,0.0051197816952588985
Australia,ssp245,current,ocean warming,0.02812590752337225
Australia,ssp245,medium-term,ocean warming,0.12214502617009342
Australia,ssp585,current,ocean warming,0.023397881450719363
Australia,ssp585,medium-term,ocean warming,0.16912567255443076
Australia,ssp245,current,primary productivity,0.0024399075080953118
Australia,ssp245,medium-term,primary productivity,0.009165431687732133
Australia,ssp585,current,primary productivity,0.0023830501525383923
Australia,ssp585,medium-term,primary productivity,0.010513497620691306
Australia,ssp245,current,reduced oxygen,0.0015542303455520106
Australia,ssp245,medium-term,reduced oxygen,0.006080227757054114
Australia,ssp585,current,reduced oxygen,0.0015542303455520106
Australia,ssp585,medium-term,reduced oxygen,0.00813564806899019
Australia,ssp245,current,sea level rise,0.001758609059283644
Australia,ssp245,medium-term,sea level rise,0.0581149612179391
Australia,ssp585,current,sea level rise,0.009335865875691905
Australia,ssp585,medium-term,sea level rise,0.104170848135881
New Zealand,ssp245,current,acidification,0.0352180427580692
New Zealand,ssp245,medium-term,acidification,0.06557029526939415
New Zealand,ssp585,current,acidification,0.034273381264636894
New Zealand,ssp585,medium-term,acidification,0.0826262317991583
New Zealand,ssp245,current,air heat index,0
New Zealand,ssp245,medium-term,air heat index,0
New Zealand,ssp585,current,air heat index,0
New Zealand,ssp585,medium-term,air heat index,0
New Zealand,ssp245,current,coastal disturbance,0.031656192503860724
New Zealand,ssp245,medium-term,coastal disturbance,0.03304427753876274
New Zealand,ssp585,current,coastal disturbance,0.031893371402845844
New Zealand,ssp585,medium-term,coastal disturbance,0.034757685565614094
New Zealand,ssp245,current,fisheries biomass loss,0.07515693246144692
New Zealand,ssp245,medium-term,fisheries biomass loss,0.10464807990788486
New Zealand,ssp585,current,fisheries biomass loss,0.08081870110474038
New Zealand,ssp585,medium-term,fisheries biomass loss,0.14927827286167514
New Zealand,ssp245,current,light pollution,9.979136789525732e-4
New Zealand,ssp245,medium-term,light pollution,0.00161683504795892
New Zealand,ssp585,current,light pollution,0.0010459681230002927
New Zealand,ssp585,medium-term,light pollution,0.0018729849840802774
New Zealand,ssp245,current,nutrient pollution,0.00662550101532141
New Zealand,ssp245,medium-term,nutrient pollution,0.007832712129742918
New Zealand,ssp585,current,nutrient pollution,0.006592888950284298
New Zealand,ssp585,medium-term,nutrient pollution,0.007800376966327497
New Zealand,ssp245,current,ocean warming,0.05133395402819491
New Zealand,ssp245,medium-term,ocean warming,0.15015484403501705
New Zealand,ssp585,current,ocean warming,0.03699356725603644
New Zealand,ssp585,medium-term,ocean warming,0.21779455199067604
New Zealand,ssp245,current,primary productivity,0.008125477100891563
New Zealand,ssp245,medium-term,primary productivity,0.02870992880328537
New Zealand,ssp585,current,primary productivity,0.007715470545646364
New Zealand,ssp585,medium-term,primary productivity,0.03035915758335277
New Zealand,ssp245,current,reduced oxygen,0.002522026505600554
New Zealand,ssp245,medium-term,reduced oxygen,0.006721763235275191
New Zealand,ssp585,current,reduced oxygen,0.002522026505600554
New Zealand,ssp585,medium-term,reduced oxygen,0.007991245448324297
New Zealand,ssp245,current,sea level rise,0.01542158016905348
New Zealand,ssp245,medium-term,sea level rise,0.0487185841166502
New Zealand,ssp585,current,sea level rise,0.02322759532914255
New Zealand,ssp585,medium-term,sea level rise,0.08854632812137869
Bahamas,ssp245,current,acidification,0
Bahamas,ssp245,medium-term,acidification,0
Bahamas,ssp585,current,acidification,0
Bahamas,ssp585,medium-term,acidification,0
Bahamas,ssp245,current,air heat index,1.0143164401357452e-4
Bahamas,ssp245,medium-term,air heat index,0.015595311010709136
Bahamas,ssp585,current,air heat index,1.2701062094063863e-4
Bahamas,ssp585,medium-term,air heat index,0.02726628800556581
Bahamas,ssp245,current,coastal disturbance,0.02163257117076778
Bahamas,ssp245,medium-term,coastal disturbance,0.023436080939742115
Bahamas,ssp585,current,coastal disturbance,0.021614892665205963
Bahamas,ssp585,medium-term,coastal disturbance,0.023273280355702856
Bahamas,ssp245,current,fisheries biomass loss,0.08499917841291689
Bahamas,ssp245,medium-term,fisheries biomass loss,0.11504232917201686
Bahamas,ssp585,current,fisheries biomass loss,0.09076691980179426
Bahamas,ssp585,medium-term,fisheries biomass loss,0.16050789153102313
Bahamas,ssp245,current,light pollution,5.2682861415734e-4
Bahamas,ssp245,medium-term,light pollution,4.4171583063265036e-4
Bahamas,ssp585,current,light pollution,5.301352987104717e-4
Bahamas,ssp585,medium-term,light pollution,3.9365800941191587e-4
Bahamas,ssp245,current,nutrient pollution,1.9663067459610494e-5
Bahamas,ssp245,medium-term,nutrient pollution,3.226081108933605e-5
Bahamas,ssp585,current,nutrient pollution,1.9895052235332208e-5
Bahamas,ssp585,medium-term,nutrient pollution,2.9222151727414164e-5
Bahamas,ssp245,current,ocean warming,0.04814181645300272
Bahamas,ssp245,medium-term,ocean warming,0.257136104706541
Bahamas,ssp585,current,ocean warming,0.06620784341759545
Bahamas,ssp585,medium-term,ocean warming,0.2952242740261914
Bahamas,ssp245,current,primary productivity,0
Bahamas,ssp245,medium-term,primary productivity,0.030769395871990988
Bahamas,ssp585,current,primary productivity,0
Bahamas,ssp585,medium-term,primary productivity,0.029321895429214997
Bahamas,ssp245,current,reduced oxygen,0.0031819614058934166
Bahamas,ssp245,medium-term,reduced oxygen,0.00866126941320254
Bahamas,ssp585,current,reduced oxygen,0.0031819614058934166
Bahamas,ssp585,medium-term,reduced oxygen,0.009915663412607753
Bahamas,ssp245,current,sea level rise,0.02207791571322256
Bahamas,ssp245,medium-term,sea level rise,0.053050530797029045
Bahamas,ssp585,current,sea level rise,0.02534284137503063
Bahamas,ssp585,medium-term,sea level rise,0.07389925461065205
Turks and Caicos Islands,ssp245,current,acidification,0
Turks and Caicos Islands,ssp245,medium-term,acidification,0
Turks and Caicos Islands,ssp585,current,acidification,0
Turks and Caicos Islands,ssp585,medium-term,acidification,0
Turks and Caicos Islands,ssp245,current,air heat index,0
Turks and Caicos Islands,ssp245,medium-term,air heat index,0.003912622307880634
Turks and Caicos Islands,ssp585,current,air heat index,0
Turks and Caicos Islands,ssp585,medium-term,air heat index,0.04261466867082115
Turks and Caicos Islands,ssp245,current,coastal disturbance,0.029796792840213464
Turks and Caicos Islands,ssp245,medium-term,coastal disturbance,0.03601856646337422
Turks and Caicos Islands,ssp585,current,coastal disturbance,0.029796792840213464
Turks and Caicos Islands,ssp585,medium-term,coastal disturbance,0.03601856646337422
Turks and Caicos Islands,ssp245,current,fisheries biomass loss,0.040292659195084096
Turks and Caicos Islands,ssp245,medium-term,fisheries biomass loss,0.07438778358670166
Turks and Caicos Islands,ssp585,current,fisheries biomass loss,0.0468383059072757
Turks and Caicos Islands,ssp585,medium-term,fisheries biomass loss,0.12598536553291764
Turks and Caicos Islands,ssp245,current,light pollution,7.205054827959656e-5
Turks and Caicos Islands,ssp245,medium-term,light pollution,1.552129008096493e-4
Turks and Caicos Islands,ssp585,current,light pollution,7.205054827959656e-5
Turks and Caicos Islands,ssp585,medium-term,light pollution,3.4386294510592316e-4
Turks and Caicos Islands,ssp245,current,nutrient pollution,3.819835016740133e-5
Turks and Caicos Islands,ssp245,medium-term,nutrient pollution,5.237646295405542e-5
Turks and Caicos Islands,ssp585,current,nutrient pollution,3.819835003964848e-5
Turks and Caicos Islands,ssp585,medium-term,nutrient pollution,3.357298542366175e-5
Turks and Caicos Islands,ssp245,current,ocean warming,0.058701799272354326
Turks and Caicos Islands,ssp245,medium-term,ocean warming,0.3377695286640358
Turks and Caicos Islands,ssp585,current,ocean warming,0.07659091976230756
Turks and Caicos Islands,ssp585,medium-term,ocean warming,0.3866199631398654
Turks and Caicos Islands,ssp245,current,primary productivity,8.482329972281356e-5
Turks and Caicos Islands,ssp245,medium-term,primary productivity,0.0033927842472086167
Turks and Caicos Islands,ssp585,current,primary productivity,2.1065752195774073e-4
Turks and Caicos Islands,ssp585,medium-term,primary productivity,0.003546847735732458
Turks and Caicos Islands,ssp245,current,reduced oxygen,0.00421485068620434
Turks and Caicos Islands,ssp245,medium-term,reduced oxygen,0.00924946696538044
Turks and Caicos Islands,ssp585,current,reduced oxygen,0.00421485068620434
Turks and Caicos Islands,ssp585,medium-term,reduced oxygen,0.011140402588807774
Turks and Caicos Islands,ssp245,current,sea level rise,0.011569379998285225
Turks and Caicos Islands,ssp245,medium-term,sea level rise,0.04160345364545815
Turks and Caicos Islands,ssp585,current,sea level rise,0.014459126505244058
Turks and Caicos Islands,ssp585,medium-term,sea level rise,0.05477631467510946
Cuba,ssp245,current,acidification,0
Cuba,ssp245,medium-term,acidification,0
Cuba,ssp585,current,acidification,0
Cuba,ssp585,medium-term,acidification,0
Cuba,ssp245,current,air heat index,0.001018666849145875
Cuba,ssp245,medium-term,air heat index,0.08371964004836772
Cuba,ssp585,current,air heat index,0.0012660106660046374
Cuba,ssp585,medium-term,air heat index,0.09751073951556609
Cuba,ssp245,current,coastal disturbance,0.07958666757795918
Cuba,ssp245,medium-term,coastal disturbance,0.07580830560728483
Cuba,ssp585,current,coastal disturbance,0.07923618879499816
Cuba,ssp585,medium-term,coastal disturbance,0.07391010944203014
Cuba,ssp245,current,fisheries biomass loss,0.08540084371943847
Cuba,ssp245,medium-term,fisheries biomass loss,0.1142769832639865
Cuba,ssp585,current,fisheries biomass loss,0.09062036434792838
Cuba,ssp585,medium-term,fisheries biomass loss,0.15535606860277956
Cuba,ssp245,current,light pollution,7.291248749564221e-4
Cuba,ssp245,medium-term,light pollution,9.443844585972224e-4
Cuba,ssp585,current,light pollution,6.935081175152027e-4
Cuba,ssp585,medium-term,light pollution,0.0010939069493265947
Cuba,ssp245,current,nutrient pollution,0.011410277713083242
Cuba,ssp245,medium-term,nutrient pollution,0.013268522620312978
Cuba,ssp585,current,nutrient pollution,0.011538561343420193
Cuba,ssp585,medium-term,nutrient pollution,0.012552635897911087
Cuba,ssp245,current,ocean warming,0.07430696839220874
Cuba,ssp245,medium-term,ocean warming,0.30106971707495284
Cuba,ssp585,current,ocean warming,0.08264088235503653
Cuba,ssp585,medium-term,ocean warming,0.33715301075365645
Cuba,ssp245,current,primary productivity,1.3423259264368865e-4
Cuba,ssp245,medium-term,primary productivity,0.011621840431332442
Cuba,ssp585,current,primary productivity,3.570766835127266e-5
Cuba,ssp585,medium-term,primary productivity,0.008239694197016239
Cuba,ssp245,current,reduced oxygen,0.0020302089107897283
Cuba,ssp245,medium-term,reduced oxygen,0.00661277137277442
Cuba,ssp585,current,reduced oxygen,0.0020302089107897283
Cuba,ssp585,medium-term,reduced oxygen,0.008379449196914995
Cuba,ssp245,current,sea level rise,0.030961778826381414
Cuba,ssp245,medium-term,sea level rise,0.08448816566896951
Cuba,ssp585,current,sea level rise,0.03599792090522322
Cuba,ssp585,medium-term,sea level rise,0.1176843927762751
Cayman Islands,ssp245,current,acidification,0
Cayman Islands,ssp245,medium-term,acidification,0
Cayman Islands,ssp585,current,acidification,0
Cayman Islands,ssp585,medium-term,acidification,0
Cayman Islands,ssp245,current,air heat index,2.4227583562605977e-4
Cayman Islands,ssp245,medium-term,air heat index,0.009416174707520339
Cayman Islands,ssp585,current,air heat index,2.88146783956714e-4
Cayman Islands,ssp585,medium-term,air heat index,0.013736621650039322
Cayman Islands,ssp245,current,coastal disturbance,0.048258753654994914
Cayman Islands,ssp245,medium-term,coastal disturbance,0.05813276095116938
Cayman Islands,ssp585,current,coastal disturbance,0.048258753654994914
Cayman Islands,ssp585,medium-term,coastal disturbance,0.05813344483297745
Cayman Islands,ssp245,current,fisheries biomass loss,0.05060616791104419
Cayman Islands,ssp245,medium-term,fisheries biomass loss,0.08282289774368919
Cayman Islands,ssp585,current,fisheries biomass loss,0.05679119694298909
Cayman Islands,ssp585,medium-term,fisheries biomass loss,0.13157781999745768
Cayman Islands,ssp245,current,light pollution,0.0020965085927552225
Cayman Islands,ssp245,medium-term,light pollution,0.0038371518215474976
Cayman Islands,ssp585,current,light pollution,0.0020965085927552225
Cayman Islands,ssp585,medium-term,light pollution,0.003976125557286043
Cayman Islands,ssp245,current,nutrient pollution,0
Cayman Islands,ssp245,medium-term,nutrient pollution,0
Cayman Islands,ssp585,current,nutrient pollution,0
Cayman Islands,ssp585,medium-term,nutrient pollution,0
Cayman Islands,ssp245,current,ocean warming,0.08978316685594716
Cayman Islands,ssp245,medium-term,ocean warming,0.4222848291793424
Cayman Islands,ssp585,current,ocean warming,0.10755721722295372
Cayman Islands,ssp585,medium-term,ocean warming,0.4600894526927732
