region,scenario,time_frame,pressure,average_impact
Antarctica,ssp245,current,acidification,0.04635342205617555
Antarctica,ssp245,medium-term,acidification,0.0828510285673751
Antarctica,ssp585,current,acidification,0.04626076861092581
Antarctica,ssp585,medium-term,acidification,0.09491102023093118
Antarctica,ssp245,current,air heat index,0
Antarctica,ssp245,medium-term,air heat index,0
Antarctica,ssp585,current,air heat index,0
Antarctica,ssp585,medium-term,air heat index,0
Antarctica,ssp245,current,coastal disturbance,0
Antarctica,ssp245,medium-term,coastal disturbance,0
Antarctica,ssp585,current,coastal disturbance,0
Antarctica,ssp585,medium-term,coastal disturbance,0
Antarctica,ssp245,current,fisheries biomass loss,0.06318665537237642
Antarctica,ssp245,medium-term,fisheries biomass loss,0.11773543964287134
Antarctica,ssp585,current,fisheries biomass loss,0.06318665537237642
Antarctica,ssp585,medium-term,fisheries biomass loss,0.11773543964287134
Antarctica,ssp245,current,light pollution,0
Antarctica,ssp245,medium-term,light pollution,0
Antarctica,ssp585,current,light pollution,0
Antarctica,ssp585,medium-term,light pollution,0
Antarctica,ssp245,current,nutrient pollution,0
Antarctica,ssp245,medium-term,nutrient pollution,0
Antarctica,ssp585,current,nutrient pollution,0
Antarctica,ssp585,medium-term,nutrient pollution,0
Antarctica,ssp245,current,ocean warming,0.07144127645050743
Antarctica,ssp245,medium-term,ocean warming,0.14677850191915257
Antarctica,ssp585,current,ocean warming,0.05926474595018712
Antarctica,ssp585,medium-term,ocean warming,0.16080600217394964
Antarctica,ssp245,current,primary productivity,0.003006118401282986
Antarctica,ssp245,medium-term,primary productivity,4.461766123628989e-6
Antarctica,ssp585,current,primary productivity,0.0029729658791555692
Antarctica,ssp585,medium-term,primary productivity,0
Antarctica,ssp245,current,reduced oxygen,0.0011642021769858733
Antarctica,ssp245,medium-term,reduced oxygen,9.172527451610811e-4
Antarctica,ssp585,current,reduced oxygen,0.0011642021769858733
Antarctica,ssp585,medium-term,reduced oxygen,8.990264723958091e-4
Antarctica,ssp245,current,sea level rise,4.1551052508321347e-4
Antarctica,ssp245,medium-term,sea level rise,0.0105501647442685
Antarctica,ssp585,current,sea level rise,0.0016896127096518753
Antarctica,ssp585,medium-term,sea level rise,0.025783521267778026
Atlantic Eastern Central,ssp245,current,acidification,0
Atlantic Eastern Central,ssp245,medium-term,acidification,0
Atlantic Eastern Central,ssp585,current,acidification,0
Atlantic Eastern Central,ssp585,medium-term,acidification,0
Atlantic Eastern Central,ssp245,current,air heat index,0
Atlantic Eastern Central,ssp245,medium-term,air heat index,0
Atlantic Eastern Central,ssp585,current,air heat index,0
Atlantic Eastern Central,ssp585,medium-term,air heat index,0
Atlantic Eastern Central,ssp245,current,coastal disturbance,0
Atlantic Eastern Central,ssp245,medium-term,coastal disturbance,0
Atlantic Eastern Central,ssp585,current,coastal disturbance,0
Atlantic Eastern Central,ssp585,medium-term,coastal disturbance,0
Atlantic Eastern Central,ssp245,current,fisheries biomass loss,0.09480933379381895
Atlantic Eastern Central,ssp245,medium-term,fisheries biomass loss,0.1327565498650074
Atlantic Eastern Central,ssp585,current,fisheries biomass loss,0.09480933379381895
Atlantic Eastern Central,ssp585,medium-term,fisheries biomass loss,0.13367806654423475
Atlantic Eastern Central,ssp245,current,light pollution,0
Atlantic Eastern Central,ssp245,medium-term,light pollution,0
Atlantic Eastern Central,ssp585,current,light pollution,0
Atlantic Eastern Central,ssp585,medium-term,light pollution,0
Atlantic Eastern Central,ssp245,current,nutrient pollution,0
Atlantic Eastern Central,ssp245,medium-term,nutrient pollution,0
Atlantic Eastern Central,ssp585,current,nutrient pollution,0
Atlantic Eastern Central,ssp585,medium-term,nutrient pollution,0
Atlantic Eastern Central,ssp245,current,ocean warming,0.0381228293881577
Atlantic Eastern Central,ssp245,medium-term,ocean warming,0.27471924883623916
Atlantic Eastern Central,ssp585,current,ocean warming,0.0590629997010789
Atlantic Eastern Central,ssp585,medium-term,ocean warming,0.3299846355027209
Atlantic Eastern Central,ssp245,current,primary productivity,0.0321424484718591
Atlantic Eastern Central,ssp245,medium-term,primary productivity,0.106116841857632
Atlantic Eastern Central,ssp585,current,primary productivity,0.03314036984617511
Atlantic Eastern Central,ssp585,medium-term,primary productivity,0.1462957098459204
Atlantic Eastern Central,ssp245,current,reduced oxygen,0.007945255259983242
Atlantic Eastern Central,ssp245,medium-term,reduced oxygen,0.010359795259622237
Atlantic Eastern Central,ssp585,current,reduced oxygen,0.007945255259983242
Atlantic Eastern Central,ssp585,medium-term,reduced oxygen,0.008921821873324612
Atlantic Eastern Central,ssp245,current,sea level rise,0
Atlantic Eastern Central,ssp245,medium-term,sea level rise,0
Atlantic Eastern Central,ssp585,current,sea level rise,0
Atlantic Eastern Central,ssp585,medium-term,sea level rise,0
Cocos Islands,ssp245,current,acidification,0
Cocos Islands,ssp245,medium-term,acidification,0
Cocos Islands,ssp585,current,acidification,0
Cocos Islands,ssp585,medium-term,acidification,0
Cocos Islands,ssp245,current,air heat index,0
Cocos Islands,ssp245,medium-term,air heat index,1.1920135981805895e-5
Cocos Islands,ssp585,current,air heat index,0
Cocos Islands,ssp585,medium-term,air heat index,2.9809938181036335e-4
Cocos Islands,ssp245,current,coastal disturbance,1.6586698419670162e-4
Cocos Islands,ssp245,medium-term,coastal disturbance,1.6586698419670162e-4
Cocos Islands,ssp585,current,coastal disturbance,1.6586698419670162e-4
Cocos Islands,ssp585,medium-term,coastal disturbance,1.6586698419670162e-4
Cocos Islands,ssp245,current,fisheries biomass loss,0.031730120968738146
Cocos Islands,ssp245,medium-term,fisheries biomass loss,0.06357077767897862
Cocos Islands,ssp585,current,fisheries biomass loss,0.03784295120276511
Cocos Islands,ssp585,medium-term,fisheries biomass loss,0.11175657647690969
Cocos Islands,ssp245,current,light pollution,0
Cocos Islands,ssp245,medium-term,light pollution,0
Cocos Islands,ssp585,current,light pollution,0
Cocos Islands,ssp585,medium-term,light pollution,0
Cocos Islands,ssp245,current,nutrient pollution,0
Cocos Islands,ssp245,medium-term,nutrient pollution,0
Cocos Islands,ssp585,current,nutrient pollution,0
Cocos Islands,ssp585,medium-term,nutrient pollution,0
Cocos Islands,ssp245,current,ocean warming,0.034067147625561726
Cocos Islands,ssp245,medium-term,ocean warming,0.2242708394973306
Cocos Islands,ssp585,current,ocean warming,0.07151779584334388
Cocos Islands,ssp585,medium-term,ocean warming,0.3603173843041683
Cocos Islands,ssp245,current,primary productivity,0.0020101022706019937
Cocos Islands,ssp245,medium-term,primary productivity,0
Cocos Islands,ssp585,current,primary productivity,0.0021163962841493824
Cocos Islands,ssp585,medium-term,primary productivity,0
Cocos Islands,ssp245,current,reduced oxygen,0.006805171450101472
Cocos Islands,ssp245,medium-term,reduced oxygen,0.011119093373599754
Cocos Islands,ssp585,current,reduced oxygen,0.006805171450101472
Cocos Islands,ssp585,medium-term,reduced oxygen,0.014425739161833916
Cocos Islands,ssp245,current,sea level rise,0.0030003080843016483
Cocos Islands,ssp245,medium-term,sea level rise,0.014197357410254576
Cocos Islands,ssp585,current,sea level rise,0.004870907065924255
Cocos Islands,ssp585,medium-term,sea level rise,0.02289723784973224
Christmas Island,ssp245,current,acidification,0
Christmas Island,ssp245,medium-term,acidification,0
Christmas Island,ssp585,current,acidification,0
Christmas Island,ssp585,medium-term,acidification,0
Christmas Island,ssp245,current,air heat index,0
Christmas Island,ssp245,medium-term,air heat index,2.691834663644168e-4
Christmas Island,ssp585,current,air heat index,0
Christmas Island,ssp585,medium-term,air heat index,0.0014971989069387987
Christmas Island,ssp245,current,coastal disturbance,0
Christmas Island,ssp245,medium-term,coastal disturbance,0
Christmas Island,ssp585,current,coastal disturbance,0
Christmas Island,ssp585,medium-term,coastal disturbance,0
Christmas Island,ssp245,current,fisheries biomass loss,0
Christmas Island,ssp245,medium-term,fisheries biomass loss,0.017172107290662098
Christmas Island,ssp585,current,fisheries biomass loss,0
Christmas Island,ssp585,medium-term,fisheries biomass loss,0.06850478333316543
Christmas Island,ssp245,current,light pollution,0
Christmas Island,ssp245,medium-term,light pollution,0
Christmas Island,ssp585,current,light pollution,0
Christmas Island,ssp585,medium-term,light pollution,0
Christmas Island,ssp245,current,nutrient pollution,0
Christmas Island,ssp245,medium-term,nutrient pollution,0
Christmas Island,ssp585,current,nutrient pollution,0
Christmas Island,ssp585,medium-term,nutrient pollution,0
Christmas Island,ssp245,current,ocean warming,0.06899136565929935
Christmas Island,ssp245,medium-term,ocean warming,0.21634114435172788
Christmas Island,ssp585,current,ocean warming,0.0721364824395013
Christmas Island,ssp585,medium-term,ocean warming,0.3371007521848448
Christmas Island,ssp245,current,primary productivity,0
Christmas Island,ssp245,medium-term,primary productivity,0
Christmas Island,ssp585,current,primary productivity,0
Christmas Island,ssp585,medium-term,primary productivity,0
Christmas Island,ssp245,current,reduced oxygen,0.020442497625460666
Christmas Island,ssp245,medium-term,reduced oxygen,0.03260388033424988
Christmas Island,ssp585,current,reduced oxygen,0.020442497625460666
Christmas Island,ssp585,medium-term,reduced oxygen,0.033810124276245995
Christmas Island,ssp245,current,sea level rise,1.1260532869915674e-4
