region,iso3c,ssp245_current,ssp245_medium-term,ssp245_near-term,ssp585_current,ssp585_medium-term,ssp585_near-term,country,integrated_depend,econ_depend,nutrition_depend,change_ssp245_medium,pct_change_ssp245_medium,change_ssp585_medium,pct_change_ssp585_medium
coast,CCK,0.08185522754987079,0.28735477129618325,0.1537673220038414,0.11962947597106299,0.4265655279159546,0.20481339891751607,NA,NA,NA,NA,0.20549954374631246,2.510524372082536,0.3069360519448916,2.5657226152117887
coast,CXR,0.11181602254509926,0.28660131990909576,0.17620711638168854,0.11496113985776901,0.4100539901039817,0.20641783489422363,NA,NA,NA,NA,0.1747852973639965,1.5631507308668537,0.2950928502462127,2.5668921742712736
coast,NFK,0.3039356807867686,0.5719755311806997,0.39531269868214924,0.29856343269348146,0.7170863668123881,0.43303367495536804,NA,NA,NA,NA,0.2680398503939311,0.8818966226672779,0.4185229341189067,1.401788994530288
coast,NCL,0.19024867400511858,0.6423953405725277,0.41066242153011767,0.20683262198103394,0.7308835676697091,0.4544508685269532,New Caledonia,0.236667,NA,0.19,0.4521466665674091,2.3766087670878813,0.5240509456886752,2.53369580034976
coast,VUT,0.18788441115305435,0.6152897024997971,0.37731307590143215,0.19165283853240184,0.7222252638793922,0.3894744694429952,Vanuatu,0.406188,0.33,0.45,0.42740529134674277,2.274831044916068,0.5305724253469903,2.7684036897647566
coast,SLB,0.13867475743024485,0.7436531354493097,0.44160750941002325,0.16790562441918286,0.8481254430435258,0.4464051587325209,Solomon Islands,0.435536,0.33,0.65,0.6049783780190648,4.362570299236879,0.6802198186243429,4.0512032933819295
coast,PLW,0.08576182973511676,0.45088704025491755,0.2523135520676349,0.10012468881905079,0.598449096400687,0.2917792738435116,Palau,0.556636,0.57,0.56,0.3651252105198008,4.257432608976783,0.4983244075816362,4.9770382655793055
coast,FSM,0.1940099381079728,0.8180649022223673,0.48214301301373375,0.19348471398192524,0.9396806683842883,0.5116642506398034,Federated States of Micronesia,0.489408,0.47,0.44,0.6240549641143944,3.216613386923961,0.7461959544023631,3.8566145048133906
coast,NRU,0.2074170990122689,0.6575295660230849,0.44464070598284405,0.20464571317036948,0.775857581032647,0.4662615723080105,Nauru,0.474897,0.64,0.52,0.450112467010816,2.170083706474901,0.5712118678622775,2.7912232267809016
coast,MHL,0.13464965104970628,0.780701729948121,0.43425609593446546,0.162568589317144,0.9054189224463667,0.5012963781122527,Marshall Islands,0.509728,0.68,NA,0.6460520788984148,4.798022674859536,0.7428503331292227,4.569457951560658
coast,TWN,0.39328389315177564,0.6826740152416577,0.5325363791946854,0.37392756296032525,0.7713396959353863,0.5563502292385938,Taiwan,0.098156,0.07,NA,0.2893901220898821,0.7358300889739234,0.39741213297506106,1.062805132172692
coast,PHL,0.40959133772304523,0.8373283340670193,0.6410017766182867,0.4088098656452352,0.9476705322773243,0.662141861530266,Philippines,0.374039,0.24,0.43,0.4277369963439741,1.044301861269338,0.5388606666320892,1.3181205051927782
coast,AUS,0.1336870645437626,0.31311982993956605,0.20572925423529748,0.12937127051791825,0.3790304907647562,0.22799768266928858,Australia,0.095532,0.09,0.07,0.17943276539580344,1.34218494517894,0.24965922024683795,1.92978873321229
coast,PNG,0.185783193403399,0.691156368115866,0.44739006432795764,0.18011467260045838,0.7908549437717769,0.4709790211799922,Papua New Guinea,0.359104,0.35,NA,0.505373174712467,2.7202308532566164,0.6107402711713186,3.390841303229642
coast,FJI,0.1713447501349006,0.6079414273893203,0.4058823024267973,0.20037647856415478,0.6893701941071977,0.40439285063104513,Fiji,0.344328,0.41,0.31,0.43659667725441975,2.548059843740091,0.48899371554304294,2.4403748336483577
coast,TUV,0.12300760547320048,0.6724545020683139,0.4110710977339277,0.1190120579273093,0.8039783578292996,0.37529782045121285,Tuvalu,0.648955,0.98,0.53,0.5494468965951135,4.466771745384644,0.6849662999019903,5.755436145137134
coast,KOR,0.5076319120060238,0.6219473059825004,0.5833119303311514,0.5049512795438724,0.7006607515008713,0.5868070323733053,South Korea,0.24575,0.09,0.34,0.11431539397647661,0.22519347439118464,0.19570947195699884,0.3875809011391855
coast,PRK,0.5329495232333156,0.7085327910588068,0.6578161587281263,0.5266824602368562,0.7732829621280818,0.6703600724282511,North Korea,0.397103,NA,0.35,0.17558326782549127,0.3294557179829282,0.24660050189122562,0.4682147603326795
coast,KHM,0.36667440864257517,0.5927919285744429,0.4766618316248059,0.3716093833837658,0.6658182989060879,0.48582281259819865,Cambodia,0.215523,0.09,0.3,0.22611751993186768,0.6166711245787574,0.2942089155223221,0.791715518169488
coast,THA,0.4597402795502609,0.7371148246638013,0.6006705655109648,0.46297491559009085,0.8133738289276758,0.6000953990409607,Thailand,0.320826,0.26,0.32,0.27737454511354037,0.6033287868204216,0.350398913337585,0.7568421129057918
coast,COM,0.23491364428140582,0.8915627297845861,0.6198262552034508,0.24490346694455564,0.941352606398388,0.6387114299877176,Comoros,0.288892,0.31,NA,0.6566490855031802,2.795278611899497,0.6964491394538324,2.843770029648063
