habitat,pressure,ssp245_current,ssp245_medium-term,ssp585_current,ssp585_medium-term,ssp245_change,ssp585_change
beach,acidification,0,0,0,0,0,0
beach,air heat index,0.0025313264632049665,0.017131456044338435,0.002450296755678576,0.030056263857821796,0.01460012958113347,0.02760596710214322
beach,coastal disturbance,0.12077411808496959,0.12425820322828356,0.12061487875904536,0.12344974336016928,0.0034840851433139697,0.002834864601123921
beach,fisheries biomass loss,0.08634009351961248,0.11458354619967445,0.08693331959390571,0.12166732605106902,0.028243452680061967,0.034734006457163305
beach,light pollution,0.011202602235005877,0.014921708464732081,0.011281926448962077,0.016773404747452543,0.003719106229726205,0.005491478298490466
beach,nutrient pollution,0.004761855999552743,0.005540884933629763,0.004767666460201192,0.005435996381471732,7.790289340770199e-4,6.683299212705404e-4
beach,ocean warming,0.02872092878875987,0.07978777537412089,0.02888653764118047,0.09487732071874636,0.05106684658536102,0.06599078307756588
beach,primary productivity,9.215501157505098e-4,0.0062573525821006904,9.112182463471178e-4,0.006738316225609161,0.00533580246635018,0.005827097979262043
beach,reduced oxygen,8.665018630626188e-4,0.0029882155631597157,8.665018630626188e-4,0.004156222022716775,0.002121713700097097,0.003289720159654156
beach,sea level rise,0.03700539074038762,0.10916243596312872,0.0470856577055215,0.16967360702940848,0.0721570452227411,0.12258794932388697
coral reef,acidification,9.55364652165597e-5,0.0012783707274868072,9.983361717318986e-5,0.008656720573964796,0.0011828342622702474,0.008556886956791606
coral reef,air heat index,0,0,0,0,0,0
coral reef,coastal disturbance,0.06534787711930258,0.0674562543024318,0.0650042840814,0.06532957301090538,0.0021083771831292147,3.2528892950538235e-4
coral reef,fisheries biomass loss,0.1381873617339375,0.20829260544467357,0.14125204619181334,0.23363449070941028,0.07010524371073606,0.09238244451759695
coral reef,light pollution,0.0012394463502020743,0.002070158382629586,0.0012514743541775378,0.002479598561521888,8.307120324275116e-4,0.0012281242073443502
coral reef,nutrient pollution,0.003770505163900569,0.005552217875736063,0.0037802519865929823,0.0054160965424354885,0.0017817127118354937,0.0016358445558425062
coral reef,ocean warming,0.09741654238071239,0.33048831530181066,0.10882681952115927,0.4210090042211679,0.23307177292109826,0.3121821847000086
