stockid,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country,country,areatype,areacode,alternateareaname,areaid
BLACKROCKWASH,NWFSC-BLACKROCKWASH-1940-2019-SISIMP2021-2,Black rockfish Washington,1940-2019,Sebastes melanops,Black rockfish,Washington,"National Marine Fisheries Service, US national management",Northwest Fisheries Science Center,US West Coast,Rockfish,sebastids,67,USA,USA,WASTATE,WA,NA,USA-WASTATE-WA
BLSHARIO,IOTC-BLSHARIO-1970-2019-SMITH,Blue shark Indian Ocean,1970-2019,Prionace glauca,Blue shark,Indian Ocean,Indian Ocean Tuna Commission,Indian Ocean Tuna Commission,Indian Ocean,Sharks Rays and Skates,elasmobranchs,57,Indonesia,multinational,IOTC,IO,NA,multinational-IOTC-IO
BLTILESATLC,SEFSC-BLTILESATLC-1958-2015-SISIMP2021,Blueline tilefish Southern Atlantic coast,1958-2015,Caulolatilus microps,Blueline tilefish,Southern Atlantic coast,"National Marine Fisheries Service, US national management",Southeast Fisheries Science Center,US Southeast and Gulf,Other Marine,other marine percoidids,31,USA,USA,NMFS,SATLC,NA,USA-NMFS-SATLC
BRNROCKPCOAST,SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016,Brown rockfish Pacific Coast,1916-2012,Sebastes auriculatus,Brown rockfish,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Rockfish,sebastids,77,USA,USA,NMFS,PCOAST,NA,USA-NMFS-PCOAST
BSBASSSATL,SEFSC-BSBASSSATL-1977-2016-SISIMP2021,Black sea bass South Atlantic,1977-2016,Centropristis striata,Black sea bass,South Atlantic,"National Marine Fisheries Service, US national management",Southeast Fisheries Science Center,US Southeast and Gulf,Other Marine,other marine percoidids,31,USA,multinational,ICCAT,SATL,NA,multinational-ICCAT-SATL
BSBASSSATL,SEFSC-BSBASSSATL-1977-2016-SISIMP2021,Black sea bass South Atlantic,1977-2016,Centropristis striata,Black sea bass,South Atlantic,"National Marine Fisheries Service, US national management",Southeast Fisheries Science Center,US Southeast and Gulf,Other Marine,other marine percoidids,31,USA,USA,NMFS,SATL,NA,USA-NMFS-SATL
BSQLOBSTERCSCH,IFOPCH-BSQLOBSTERCSCH-1976-2015-PARMA,Yellow squat lobster Central-Southern Chile,1976-2015,Cervimunida johni,Yellow squat lobster,Central-Southern Chile,Subsecretaria de Pesca,Instituto de Fomento Pesquero - Chilean Fisheries Development Institute,South America,Invertebrate,crabs-lobsters,87,Chile,Chile,SUBPESCA,CH-CS,NA,Chile-SUBPESCA-CH-CS
BSQLOBSTERNCH,IFOPCH-BSQLOBSTERNCH-1982-2015-PARMA,Yellow squat lobster Northern Chile,1982-2015,Cervimunida johni,Yellow squat lobster,Northern Chile,Subsecretaria de Pesca,Instituto de Fomento Pesquero - Chilean Fisheries Development Institute,South America,Invertebrate,crabs-lobsters,87,Chile,Chile,SUBPESCA,CH-N,NA,Chile-SUBPESCA-CH-N
CHMACKNWA,FAO-SPNWA-CHMACKNWA-1990-2018-HIVELY,Cunene horse mackerel North West Africa,1990-2018,Trachurus trecae,Cunene horse mackerel,North West Africa,Food and Agriculture Organization of the United Nations,FAO Working Group on the Assessment of Small Pelagic Fish Off Northwest Africa,West Africa,Forage Fish,carangids-mackerels,34,Mauritania,multinational,FAO,NWA,NA,multinational-FAO-NWA
CHROCKCPCOAST,NWFSC-CHROCKCPCOAST-1900-2019-SISIMP2021-2,China rockfish Central Pacific Coast,1900-2019,Sebastes nebulosus,China rockfish,Central Pacific Coast,"National Marine Fisheries Service, US national management",Northwest Fisheries Science Center,US West Coast,Rockfish,sebastids,67,USA,USA,NMFS,CPCOAST,NA,USA-NMFS-CPCOAST
CHROCKNPCOAST,SWFSC-CHROCKNPCOAST-1900-2019-SISIMP2021-2,China rockfish Northern Pacific Coast,1900-2019,Sebastes nebulosus,China rockfish,Northern Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Rockfish,sebastids,67,USA,USA,NMFS,NPCOAST,NA,USA-NMFS-NPCOAST
CHROCKSPCOAST,NWFSC-CHROCKSPCOAST-1900-2019-SISIMP2021-2,China rockfish Southern Pacific Coast,1900-2019,Sebastes nebulosus,China rockfish,Southern Pacific Coast,"National Marine Fisheries Service, US national management",Northwest Fisheries Science Center,US West Coast,Rockfish,sebastids,77,USA,USA,NMFS,SPCOAST,NA,USA-NMFS-SPCOAST
CMACKNWA,FAO-SPNWA-CMACKNWA-1990-2018-HIVELY,Atlantic chub mackerel North West Africa,1990-2018,Scomber colias,Atlantic chub mackerel,North West Africa,Food and Agriculture Organization of the United Nations,FAO Working Group on the Assessment of Small Pelagic Fish Off Northwest Africa,West Africa,Forage Fish,carangids-mackerels,34,Morocco,multinational,FAO,NWA,NA,multinational-FAO-NWA
CMACKPJPN,FAFRFJ-CMACKPJPN-1970-2018-KUROTA,Chub mackerel Pacific Coast of Japan,1970-2018,Scomber japonicus,Chub mackerel,Pacific Coast of Japan,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Forage Fish,carangids-mackerels,61,Japan,Japan,FAJ,PJPN,NA,Japan-FAJ-PJPN
COBGM,SEFSC-COBGM-1927-2018-SISIMP2021-2,Cobia Gulf of Mexico,1927-2018,Rachycentron canadum,Cobia,Gulf of Mexico,"National Marine Fisheries Service, US national management",Southeast Fisheries Science Center,US Southeast and Gulf,Other Marine,other marine percoidids,31,USA,USA,NMFS,GM,NA,USA-NMFS-GM
COD1F-XIV,NWWG-COD1F-XIV-1973-2021-ICESIMP2021-2,Atlantic cod NAFO 1F and ICES 14,1973-2021,Gadus morhua,Atlantic cod,NAFO 1F and ICES 14,International Council for the Exploration of the Sea,North-Western Working Group,Europe non EU,Gadids,gadids,27,Greenland,multinational,ICES,1F-XIV,NA,multinational-ICES-1F-XIV
COD1IN,NWWG-COD1IN-1976-2021-ICESIMP2021-2,Atlantic cod NAFO Subarea 1 (inshore),1976-2021,Gadus morhua,Atlantic cod,NAFO Subarea 1 (inshore),International Council for the Exploration of the Sea,North-Western Working Group,Canada East Coast,Gadids,gadids,21,Greenland,multinational,ICES,1IN,NA,multinational-ICES-1IN
CODIIIaW-IV-VIId,WGNSSK-CODIIIaW-IV-VIId-1963-2021-ICESIMP2021-2,Atlantic cod ICES 3a(west)-4-7d,1963-2021,Gadus morhua,Atlantic cod,ICES 3a(west)-4-7d,International Council for the Exploration of the Sea,Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak,European Union,Gadids,gadids,27,United Kingdom,multinational,ICES,IIIaW-IV-VIId,NA,multinational-ICES-IIIaW-IV-VIId
CPRROCKPCOAST,SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016,Copper rockfish Pacific Coast,1916-2012,Sebastes caurinus,Copper rockfish,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Rockfish,sebastids,77,USA,USA,NMFS,PCOAST,NA,USA-NMFS-PCOAST
CSARDCSCH,IFOPCH-CSARDCSCH-1991-2020-Quiroz,Chilean sardine Central-Southern Chile,1991-2020,Strangomera bentincki,Chilean sardine,Central-Southern Chile,Subsecretaria de Pesca,Instituto de Fomento Pesquero - Chilean Fisheries Development Institute,South America,Forage Fish,forage fish,87,Chile,Chile,SUBPESCA,CH-CS,NA,Chile-SUBPESCA-CH-CS
CUSKVa-XIV,WGDEEP-CUSKVa-XIV-1982-2021-ICESIMP2021-2,Tusk ICES 5a-14,1982-2021,Brosme brosme,Tusk,ICES 5a-14,International Council for the Exploration of the Sea,Working Group on the Biology and Assessment of Deep-Sea Fisheries Resources,European Union,Gadids,gadids,27,Iceland,multinational,ICES,Va-XIV,NA,multinational-ICES-Va-XIV
DVANGSASC,DEFF-DVANGSASC-1991-2019-GLAZER,Devil anglerfish South Africa South coast,1991-2019,Lophius vomerinus,Devil anglerfish,South Africa South coast,"Department of Environment, Forestry and Fisheries","Department of Environment, Forestry and Fisheries",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DEFF,SASC,NA,South Africa-DEFF-SASC
DVANGSASC,DEFF-DVANGSASC-1991-2019-GLAZER,Devil anglerfish South Africa South coast,1991-2019,Lophius vomerinus,Devil anglerfish,South Africa South coast,"Department of Environment, Forestry and Fisheries","Department of Environment, Forestry and Fisheries",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DETMCM,SASC,NA,South Africa-DETMCM-SASC
DVANGSAWC,DEFF-DVANGSAWC-1991-2019-GLAZER,Devil anglerfish South Africa West coast,1991-2019,Lophius vomerinus,Devil anglerfish,South Africa West coast,"Department of Environment, Forestry and Fisheries","Department of Environment, Forestry and Fisheries",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DEFF,SAWC,NA,South Africa-DEFF-SAWC
DVANGSAWC,DEFF-DVANGSAWC-1991-2019-GLAZER,Devil anglerfish South Africa West coast,1991-2019,Lophius vomerinus,Devil anglerfish,South Africa West coast,"Department of Environment, Forestry and Fisheries","Department of Environment, Forestry and Fisheries",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DETMCM,SAWC,NA,South Africa-DETMCM-SAWC
EBASSIVbc-VII,WGCSE-EBASSIVbc-VII-1985-2021-ICESIMP2021-2,European seabass ICES 4bc-7,1985-2021,Dicentrarchus labrax,European seabass,ICES 4bc-7,International Council for the Exploration of the Sea,Working Group on Celtic Seas Ecosystems,European Union,Other Marine,other marine percoidids,27,France,multinational,ICES,IVbc-VII,NA,multinational-ICES-IVbc-VII
ECSOLESASC,FBDAFF-ECSOLESASC-1920-2020-GLAZER,East coast sole South Africa South coast,1920-2020,Austroglossus pectoralis,East coast sole,South Africa South coast,"South African national management, Fisheries Branch of Department of Agriculture, Forestry and Fisheries","Fisheries Branch of Department of Agriculture, Forestry and Fisheries",Southern Africa,Flatfish,pleuronectids,47,South Africa,South Africa,DEFF,SASC,NA,South Africa-DEFF-SASC
ECSOLESASC,FBDAFF-ECSOLESASC-1920-2020-GLAZER,East coast sole South Africa South coast,1920-2020,Austroglossus pectoralis,East coast sole,South Africa South coast,"South African national management, Fisheries Branch of Department of Agriculture, Forestry and Fisheries","Fisheries Branch of Department of Agriculture, Forestry and Fisheries",Southern Africa,Flatfish,pleuronectids,47,South Africa,South Africa,DETMCM,SASC,NA,South Africa-DETMCM-SASC
GAGSATLC,SEFSC-GAGSATLC-1962-2019-SISIMP2021-2,Gag Southern Atlantic coast,1962-2019,Mycteroperca microlepis,Gag,Southern Atlantic coast,"National Marine Fisheries Service, US national management",Southeast Fisheries Science Center,US Southeast and Gulf,Other Marine,other marine percoidids,31,USA,USA,NMFS,SATLC,NA,USA-NMFS-SATLC
GOLDREDV-VI-XII-XIV,NWWG-GOLDREDV-VI-XII-XIV-1971-2021-ICESIMP2021-2,Golden redfish ICES 5-6-12-14,1971-2021,Sebastes norvegicus,Golden redfish,ICES 5-6-12-14,International Council for the Exploration of the Sea,North-Western Working Group,European Union,Rockfish,sebastids,27,Iceland,multinational,ICES,V-VI-XII-XIV,NA,multinational-ICES-V-VI-XII-XIV
GPOCTOGA,AFSC-GPOCTOGA-1997-2016-SISIMP2021,Giant Pacific octopus Gulf of Alaska,1997-2016,Enteroctopus dofleini,Giant Pacific octopus,Gulf of Alaska,"National Marine Fisheries Service, US national management",Alaska Fisheries Science Center,US Alaska,Invertebrate,cephalopods,67,USA,USA,NMFS,GA,NA,USA-NMFS-GA
HADNS-IIIa-VIa,WGNSSK-HADNS-IIIa-VIa-1972-2021-ICESIMP2021-2,Haddock ICES 3a-4-6a,1972-2021,Melanogrammus aeglefinus,Haddock,ICES 3a-4-6a,International Council for the Exploration of the Sea,Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak,European Union,Gadids,gadids,27,United Kingdom,multinational,ICES,NS-IIIa-VIa,NA,multinational-ICES-NS-IIIa-VIa
HAKESPPSAF,NatMIRC-HAKESPPSAF-1964-2019-ASHBROOK,Hake spp Southern Africa,1964-2019,Merluccius spp,Hake spp,Southern Africa,Ministry of Fisheries and Marine Resources,National Marine Information and Research Centre,Southern Africa,Gadids,gadids,47,Namibia,Namibia,NMFMR,SAF,NA,Namibia-NMFMR-SAF
HERR2529-32,WGBFAS-HERR2529-32-1974-2021-ICESIMP2021-2,Herring Subdivisions 25-29 and 32,1974-2021,Clupea harengus,Herring,Subdivisions 25-29 and 32,International Council for the Exploration of the Sea,Baltic Fisheries Assessment Working Group,European Union,Forage Fish,forage fish,27,Sweden,multinational,ICES,2529-32,NA,multinational-ICES-2529-32
HERR30-31,WGBFAS-HERR30-31-1963-2021-ICESIMP2021-2,Herring Subdivisions 30-31,1963-2021,Clupea harengus,Herring,Subdivisions 30-31,International Council for the Exploration of the Sea,Baltic Fisheries Assessment Working Group,European Union,Forage Fish,forage fish,27,Finland,multinational,ICES,30-31,NA,multinational-ICES-30-31
HERRHG,DFO-PAC-HERRHG-1949-2018-ASHBROOK,Pacific herring Haida Gwaii,1949-2018,Clupea pallasii,Pacific herring,Haida Gwaii,"Department of Fisheries and Oceans, Canada national management",Department of Fisheries and Oceans - Pacific Region,Canada West Coast,Forage Fish,forage fish,67,Canada,Canada,DFO,HG,NA,Canada-DFO-HG
HERRNS-IIIa-VIId,HAWG-HERRNS-IIIa-VIId-1947-2021-ICESIMP2021-2,Herring ICES 3a-4-7d,1947-2021,Clupea harengus,Herring,ICES 3a-4-7d,International Council for the Exploration of the Sea,Herring Assessment Working Group for the Area South of 62N,European Union,Forage Fish,forage fish,27,Norway,multinational,ICES,IIIa-IV-VIId,NA,multinational-ICES-IIIa-IV-VIId
HMACKIIa-IVa-Vb-VIa-VII-VIII,WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2020-ICESIMP2021-2,Horse mackerel ICES 2a-4a-5b-6a-7-8,1982-2020,Trachurus trachurus,Horse mackerel,ICES 2a-4a-5b-6a-7-8,International Council for the Exploration of the Sea,Working Group on Widely Distributed Stocks,European Union,Forage Fish,carangids-mackerels,27,Netherlands,multinational,ICES,IIa-IVa-Vb-VIa-VII-VIII,NA,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII
HMACKNWA,FAO-SPNWA-HMACKNWA-1990-2018-HIVELY,Horse mackerel North West Africa,1990-2018,Trachurus trachurus,Horse mackerel,North West Africa,Food and Agriculture Organization of the United Nations,FAO Working Group on the Assessment of Small Pelagic Fish Off Northwest Africa,West Africa,Forage Fish,carangids-mackerels,34,Mauritania,multinational,FAO,NWA,NA,multinational-FAO-NWA
JAMBERJPN,FAFRFJ-JAMBERJPN-1952-2013-JPNIMP2016,Japanese amberjack Japan,1952-2013,Seriola quinqueradiata,Japanese amberjack,Japan,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Other Marine,carangids-mackerels,61,Japan,Japan,FAJ,JPN,NA,Japan-FAJ-JPN
JCSQUIDJPNAR,FAFRFJ-JCSQUIDJPNAR-1979-2014-JPNIMP2016,Japanese flying squid Japan Autumn recruitment,1979-2014,Todarodes pacificus,Japanese flying squid,Japan Autumn recruitment,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Invertebrate,cephalopods,61,"Korea, Republic of",Japan,FAJ,JPNAR,NA,Japan-FAJ-JPNAR
JCSQUIDJPNWR,FAFRFJ-JCSQUIDJPNWR-1979-2014-JPNIMP2016,Japanese flying squid Japan Winter recruitment,1979-2014,Todarodes pacificus,Japanese flying squid,Japan Winter recruitment,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Invertebrate,cephalopods,61,Japan,Japan,FAJ,JPNWR,NA,Japan-FAJ-JPNWR
