country,integrated_depend,econ_depend,nutrition_depend,iso3c,ssp245_current,ssp245_medium-term,ssp245_near-term,ssp585_current,ssp585_medium-term,ssp585_near-term,change_ssp245_medium,pct_change_ssp245_medium,change_ssp585_medium,pct_change_ssp585_medium
Faroe Islands,0.932951,0.82,NA,FRO,1.0349178700284525,1.611273922703483,1.3853161605921658,1.0370243923230604,1.901407545263117,1.3570512316443704,0.5763560526750304,0.556909943645272,0.8643831529400565,0.833522489286615
Kiribati,0.715067,0.86,0.74,KIR,0.1852625474210613,1.4482527616595433,0.7489066242186491,0.16013842368544626,1.8968143926179113,0.8021774737795523,1.262990214238482,6.817299188745262,1.7366759689324651,10.84484241173593
Greenland,0.711747,0.62,NA,GRL,1.2753703221432433,1.8788468584787748,1.6437626133526653,1.26609658142013,1.9634249870688465,1.5331406564013033,0.6034765363355314,0.4731774966516368,0.6973284056487166,0.5507703092180781
Maldives,0.708048,0.42,0.99,MDV,0.6603826549268972,2.2557343990937184,1.4095864685069914,0.6750838971898534,2.6647565226880308,1.481234285704106,1.5953517441668212,2.4157989799768784,1.9896726254981774,2.947296823077122
Tuvalu,0.648955,0.98,0.53,TUV,0.17981193930495018,1.483456945886799,0.778547955494301,0.16784015356325635,2.052886766545913,0.7139981447481641,1.3036450065818488,7.250046974750356,1.8850466129826566,11.231201669940154
Palau,0.556636,0.57,0.56,PLW,0.14752187191488894,0.9368180099953995,0.4679916504215687,0.1779023939149177,1.4680766983235136,0.5634722861837833,0.7892961380805106,5.350366883467192,1.290174304408596,7.252146955513288
Sierra Leone,0.522608,0.31,0.65,SLE,1.4707772353338815,2.3698916170332165,1.9074233505460951,1.43615718162249,2.4580963916248746,1.8846111780121213,0.899114381699335,0.6113192127937899,1.0219392100023845,0.7115789435024478
Marshall Islands,0.509728,0.68,NA,MHL,0.3022214472724523,1.667127434917957,0.915975299184722,0.3653135357822986,2.092935581427778,1.0498353521947916,1.3649059876455047,4.5162446277846175,1.7276220456454796,4.729148735060893
Senegal,0.500128,0.42,0.48,SEN,1.6454423583910136,2.6970622382478084,2.1912933609442797,1.6447301135805552,2.9669739835990403,2.2389399477107794,1.0516198798567948,0.639110737908264,1.322243870018485,0.8039275617930884
Federated States of Micronesia,0.489408,0.47,0.44,FSM,0.4228683196836048,1.7884544742227806,1.0119153188936638,0.4217097951155721,2.243689882032799,1.0713607723062688,1.3655861545391759,3.229341359884619,1.821980086917227,4.320459491385307
