georgn,pressure,scen_time,color,avg_impact
Antarctica,acidification,ssp245_near-term,#D48F90FF,0.06255487189272413
Atlantic Eastern Central,acidification,ssp245_near-term,#D48F90FF,0
Australia and New Zealand,acidification,ssp245_near-term,#D48F90FF,0.01736635813676694
Caribbean,acidification,ssp245_near-term,#D48F90FF,0
Central America,acidification,ssp245_near-term,#D48F90FF,0.01149102460116871
Eastern Africa,acidification,ssp245_near-term,#D48F90FF,1.1768196138394766e-4
Eastern Asia,acidification,ssp245_near-term,#D48F90FF,0.019875446384985968
Eastern Europe,acidification,ssp245_near-term,#D48F90FF,0.08387364350427594
Melanesia,acidification,ssp245_near-term,#D48F90FF,0
Micronesia,acidification,ssp245_near-term,#D48F90FF,0
Middle Africa,acidification,ssp245_near-term,#D48F90FF,0.01236663730283674
Northern Africa,acidification,ssp245_near-term,#D48F90FF,0.011407153579751313
Northern America,acidification,ssp245_near-term,#D48F90FF,0.10250837165098496
Northern Europe,acidification,ssp245_near-term,#D48F90FF,0.04843457190675018
Polynesia,acidification,ssp245_near-term,#D48F90FF,0
South America,acidification,ssp245_near-term,#D48F90FF,0.03314811336212326
South-Eastern Asia,acidification,ssp245_near-term,#D48F90FF,0
South-eastern Asia,acidification,ssp245_near-term,#D48F90FF,1.570035397465325e-4
Southern Africa,acidification,ssp245_near-term,#D48F90FF,0.015185715726880027
Southern Asia,acidification,ssp245_near-term,#D48F90FF,5.354032818489257e-4
Southern Europe,acidification,ssp245_near-term,#D48F90FF,0.08275340952340203
Southern Islands,acidification,ssp245_near-term,#D48F90FF,0.10732398782262191
Western Africa,acidification,ssp245_near-term,#D48F90FF,0.00558147028843322
Western Asia,acidification,ssp245_near-term,#D48F90FF,0.04151648004894671
Western Europe,acidification,ssp245_near-term,#D48F90FF,0.041307346730669964
Antarctica,acidification,ssp585_current,#D48F90FF,0.04626076861092581
Atlantic Eastern Central,acidification,ssp585_current,#D48F90FF,0
Australia and New Zealand,acidification,ssp585_current,#D48F90FF,0.011735091506115613
Caribbean,acidification,ssp585_current,#D48F90FF,0
Central America,acidification,ssp585_current,#D48F90FF,0.007665392987353517
Eastern Africa,acidification,ssp585_current,#D48F90FF,1.4892684839128636e-5
Eastern Asia,acidification,ssp585_current,#D48F90FF,0.013210650764293022
Eastern Europe,acidification,ssp585_current,#D48F90FF,0.06787523708702617
Melanesia,acidification,ssp585_current,#D48F90FF,0
Micronesia,acidification,ssp585_current,#D48F90FF,0
Middle Africa,acidification,ssp585_current,#D48F90FF,0.008105876081677
Northern Africa,acidification,ssp585_current,#D48F90FF,0.002099542449100782
Northern America,acidification,ssp585_current,#D48F90FF,0.08121670439703568
Northern Europe,acidification,ssp585_current,#D48F90FF,0.03795303214687348
Polynesia,acidification,ssp585_current,#D48F90FF,0
South America,acidification,ssp585_current,#D48F90FF,0.025483431222773415
South-Eastern Asia,acidification,ssp585_current,#D48F90FF,0
South-eastern Asia,acidification,ssp585_current,#D48F90FF,3.7425016438580526e-5
Southern Africa,acidification,ssp585_current,#D48F90FF,0.010244455130033508
Southern Asia,acidification,ssp585_current,#D48F90FF,0
Southern Europe,acidification,ssp585_current,#D48F90FF,0.06649758092359465
Southern Islands,acidification,ssp585_current,#D48F90FF,0.08495762313432718
Western Africa,acidification,ssp585_current,#D48F90FF,0.0022913892804174245
Western Asia,acidification,ssp585_current,#D48F90FF,0.04107581059430759
Western Europe,acidification,ssp585_current,#D48F90FF,0.028636067132867794
Antarctica,acidification,ssp585_medium-term,#D48F90FF,0.09491102023093118
Atlantic Eastern Central,acidification,ssp585_medium-term,#D48F90FF,0
Australia and New Zealand,acidification,ssp585_medium-term,#D48F90FF,0.03658110945753959
Caribbean,acidification,ssp585_medium-term,#D48F90FF,1.4995265564129922e-4
Central America,acidification,ssp585_medium-term,#D48F90FF,0.025367379416545856
Eastern Africa,acidification,ssp585_medium-term,#D48F90FF,0.0029420939043855528
Eastern Asia,acidification,ssp585_medium-term,#D48F90FF,0.046611839816648445
Eastern Europe,acidification,ssp585_medium-term,#D48F90FF,0.11010528681309316
Melanesia,acidification,ssp585_medium-term,#D48F90FF,9.958648182930745e-4
Micronesia,acidification,ssp585_medium-term,#D48F90FF,0.0017152698475239475
Middle Africa,acidification,ssp585_medium-term,#D48F90FF,0.04052198631635103
Northern Africa,acidification,ssp585_medium-term,#D48F90FF,0.03671451602864472
Northern America,acidification,ssp585_medium-term,#D48F90FF,0.13491446971327725
Northern Europe,acidification,ssp585_medium-term,#D48F90FF,0.0727988134048253
Polynesia,acidification,ssp585_medium-term,#D48F90FF,7.009589954841904e-4
South America,acidification,ssp585_medium-term,#D48F90FF,0.053269783705217344
South-Eastern Asia,acidification,ssp585_medium-term,#D48F90FF,0.025759882144373483
South-eastern Asia,acidification,ssp585_medium-term,#D48F90FF,0.010347764248514153
Southern Africa,acidification,ssp585_medium-term,#D48F90FF,0.03268170061757607
Southern Asia,acidification,ssp585_medium-term,#D48F90FF,0.004795182388665767
Southern Europe,acidification,ssp585_medium-term,#D48F90FF,0.11948492572491053
Southern Islands,acidification,ssp585_medium-term,#D48F90FF,0.1637205434473756
Western Africa,acidification,ssp585_medium-term,#D48F90FF,0.01748588173229344
Western Asia,acidification,ssp585_medium-term,#D48F90FF,0.04733750044395732
Western Europe,acidification,ssp585_medium-term,#D48F90FF,0.0664512883408375
Antarctica,acidification,ssp585_near-term,#D48F90FF,0.06619268772309828
Atlantic Eastern Central,acidification,ssp585_near-term,#D48F90FF,0
Australia and New Zealand,acidification,ssp585_near-term,#D48F90FF,0.01912121746315468
Caribbean,acidification,ssp585_near-term,#D48F90FF,0
Central America,acidification,ssp585_near-term,#D48F90FF,0.012780684890099306
Eastern Africa,acidification,ssp585_near-term,#D48F90FF,1.4614066371423167e-4
Eastern Asia,acidification,ssp585_near-term,#D48F90FF,0.022186851126429916
Eastern Europe,acidification,ssp585_near-term,#D48F90FF,0.08780776372029452
Melanesia,acidification,ssp585_near-term,#D48F90FF,0
Micronesia,acidification,ssp585_near-term,#D48F90FF,0
Middle Africa,acidification,ssp585_near-term,#D48F90FF,0.014249877308948541
Northern Africa,acidification,ssp585_near-term,#D48F90FF,0.014299804428499957
Northern America,acidification,ssp585_near-term,#D48F90FF,0.10634706339605464
Northern Europe,acidification,ssp585_near-term,#D48F90FF,0.05212086742281749
Polynesia,acidification,ssp585_near-term,#D48F90FF,0
South America,acidification,ssp585_near-term,#D48F90FF,0.0349725456209139
South-Eastern Asia,acidification,ssp585_near-term,#D48F90FF,0
South-eastern Asia,acidification,ssp585_near-term,#D48F90FF,2.124295439897287e-4
Southern Africa,acidification,ssp585_near-term,#D48F90FF,0.01622691312785912
Southern Asia,acidification,ssp585_near-term,#D48F90FF,6.3876317073631e-4
Southern Europe,acidification,ssp585_near-term,#D48F90FF,0.08705292562425863
Southern Islands,acidification,ssp585_near-term,#D48F90FF,0.11419287546208953
Western Africa,acidification,ssp585_near-term,#D48F90FF,0.006729381409725721
Western Asia,acidification,ssp585_near-term,#D48F90FF,0.04264467474792323
Western Europe,acidification,ssp585_near-term,#D48F90FF,0.044196305443870244
Antarctica,air heat index,ssp245_current,#D2A54BFF,0
Atlantic Eastern Central,air heat index,ssp245_current,#D2A54BFF,0
Australia and New Zealand,air heat index,ssp245_current,#D2A54BFF,0.0016196867489201338
Caribbean,air heat index,ssp245_current,#D2A54BFF,3.264005711821888e-4
Central America,air heat index,ssp245_current,#D2A54BFF,0.001428396227903123
Eastern Africa,air heat index,ssp245_current,#D2A54BFF,6.575349669766776e-4
Eastern Asia,air heat index,ssp245_current,#D2A54BFF,0.0015457961916594176
Eastern Europe,air heat index,ssp245_current,#D2A54BFF,0
Melanesia,air heat index,ssp245_current,#D2A54BFF,4.156942785068867e-5
Micronesia,air heat index,ssp245_current,#D2A54BFF,5.0669467050937466e-8
Middle Africa,air heat index,ssp245_current,#D2A54BFF,1.0042919686397196e-5
Northern Africa,air heat index,ssp245_current,#D2A54BFF,4.3264348688250976e-4
Northern America,air heat index,ssp245_current,#D2A54BFF,1.1009380860415766e-4
Northern Europe,air heat index,ssp245_current,#D2A54BFF,0
Polynesia,air heat index,ssp245_current,#D2A54BFF,0
South America,air heat index,ssp245_current,#D2A54BFF,3.086054744031213e-4
South-Eastern Asia,air heat index,ssp245_current,#D2A54BFF,2.8174881967226947e-4
South-eastern Asia,air heat index,ssp245_current,#D2A54BFF,6.990103228815038e-4
Southern Africa,air heat index,ssp245_current,#D2A54BFF,3.978461735796234e-8
Southern Asia,air heat index,ssp245_current,#D2A54BFF,0.002851782670431159
Southern Europe,air heat index,ssp245_current,#D2A54BFF,3.485941330996897e-8
Southern Islands,air heat index,ssp245_current,#D2A54BFF,0
Western Africa,air heat index,ssp245_current,#D2A54BFF,1.8830733599322933e-4
Western Asia,air heat index,ssp245_current,#D2A54BFF,0.001440670451338693
Western Europe,air heat index,ssp245_current,#D2A54BFF,0
Antarctica,air heat index,ssp245_medium-term,#D2A54BFF,0
Atlantic Eastern Central,air heat index,ssp245_medium-term,#D2A54BFF,0
Australia and New Zealand,air heat index,ssp245_medium-term,#D2A54BFF,0.026931064388138803
Caribbean,air heat index,ssp245_medium-term,#D2A54BFF,0.02865567344237325
Central America,air heat index,ssp245_medium-term,#D2A54BFF,0.03138670934297197
Eastern Africa,air heat index,ssp245_medium-term,#D2A54BFF,0.006356245184152711
Eastern Asia,air heat index,ssp245_medium-term,#D2A54BFF,0.018406909444073232
Eastern Europe,air heat index,ssp245_medium-term,#D2A54BFF,4.890060794058096e-6
Melanesia,air heat index,ssp245_medium-term,#D2A54BFF,0.0015296096269748864
Micronesia,air heat index,ssp245_medium-term,#D2A54BFF,0.0010403554332042238
Middle Africa,air heat index,ssp245_medium-term,#D2A54BFF,0.0017384840117529166
Northern Africa,air heat index,ssp245_medium-term,#D2A54BFF,0.005650163058124042
Northern America,air heat index,ssp245_medium-term,#D2A54BFF,0.004515709879308199
Northern Europe,air heat index,ssp245_medium-term,#D2A54BFF,0
Polynesia,air heat index,ssp245_medium-term,#D2A54BFF,1.454309391765348e-4
South America,air heat index,ssp245_medium-term,#D2A54BFF,0.004225974606519393
South-Eastern Asia,air heat index,ssp245_medium-term,#D2A54BFF,0.030187557490182083
South-eastern Asia,air heat index,ssp245_medium-term,#D2A54BFF,0.0157579529672814
Southern Africa,air heat index,ssp245_medium-term,#D2A54BFF,3.222175079813252e-5
Southern Asia,air heat index,ssp245_medium-term,#D2A54BFF,0.020725795313835366
Southern Europe,air heat index,ssp245_medium-term,#D2A54BFF,6.439769944217836e-5
Southern Islands,air heat index,ssp245_medium-term,#D2A54BFF,0
Western Africa,air heat index,ssp245_medium-term,#D2A54BFF,0.04649629873085803
Western Asia,air heat index,ssp245_medium-term,#D2A54BFF,0.014208535417147674
Western Europe,air heat index,ssp245_medium-term,#D2A54BFF,1.954503436827987e-8
Antarctica,air heat index,ssp245_near-term,#D2A54BFF,0
Atlantic Eastern Central,air heat index,ssp245_near-term,#D2A54BFF,0
Australia and New Zealand,air heat index,ssp245_near-term,#D2A54BFF,0.012546368177292566
Caribbean,air heat index,ssp245_near-term,#D2A54BFF,0.002552014313368035
Central America,air heat index,ssp245_near-term,#D2A54BFF,0.010231776939144087
Eastern Africa,air heat index,ssp245_near-term,#D2A54BFF,0.0017818573091713035
Eastern Asia,air heat index,ssp245_near-term,#D2A54BFF,0.010207915973830896
Eastern Europe,air heat index,ssp245_near-term,#D2A54BFF,6.505305138487398e-7
Melanesia,air heat index,ssp245_near-term,#D2A54BFF,2.0773362716342404e-4
Micronesia,air heat index,ssp245_near-term,#D2A54BFF,5.641094700871396e-5
Middle Africa,air heat index,ssp245_near-term,#D2A54BFF,1.7053531631341503e-4
Northern Africa,air heat index,ssp245_near-term,#D2A54BFF,0.002167230613050987
Northern America,air heat index,ssp245_near-term,#D2A54BFF,7.18365585651014e-4
Northern Europe,air heat index,ssp245_near-term,#D2A54BFF,0
Polynesia,air heat index,ssp245_near-term,#D2A54BFF,5.28055383107138e-6
South America,air heat index,ssp245_near-term,#D2A54BFF,0.001379663769351024
South-Eastern Asia,air heat index,ssp245_near-term,#D2A54BFF,0.002647110641967713
South-eastern Asia,air heat index,ssp245_near-term,#D2A54BFF,0.0031125619540901825
Southern Africa,air heat index,ssp245_near-term,#D2A54BFF,6.70852582912313e-6
Southern Asia,air heat index,ssp245_near-term,#D2A54BFF,0.01151980062962318
Southern Europe,air heat index,ssp245_near-term,#D2A54BFF,3.479181711968087e-6
Southern Islands,air heat index,ssp245_near-term,#D2A54BFF,0
Western Africa,air heat index,ssp245_near-term,#D2A54BFF,0.004008575421220402
Western Asia,air heat index,ssp245_near-term,#D2A54BFF,0.009323785242207833
Western Europe,air heat index,ssp245_near-term,#D2A54BFF,0
Antarctica,air heat index,ssp585_current,#D2A54BFF,0
Atlantic Eastern Central,air heat index,ssp585_current,#D2A54BFF,0
Australia and New Zealand,air heat index,ssp585_current,#D2A54BFF,0.0013348758154536507
Caribbean,air heat index,ssp585_current,#D2A54BFF,4.062200424982956e-4
Central America,air heat index,ssp585_current,#D2A54BFF,0.0014859629315462535
Eastern Africa,air heat index,ssp585_current,#D2A54BFF,7.156276307974581e-4
Eastern Asia,air heat index,ssp585_current,#D2A54BFF,0.001513363796706609
Eastern Europe,air heat index,ssp585_current,#D2A54BFF,0
Melanesia,air heat index,ssp585_current,#D2A54BFF,3.641482918638202e-5
Micronesia,air heat index,ssp585_current,#D2A54BFF,2.567294422338062e-7
Middle Africa,air heat index,ssp585_current,#D2A54BFF,6.840134361901053e-6
Northern Africa,air heat index,ssp585_current,#D2A54BFF,4.518653014407388e-4
Northern America,air heat index,ssp585_current,#D2A54BFF,1.170368077948142e-4
Northern Europe,air heat index,ssp585_current,#D2A54BFF,0
Polynesia,air heat index,ssp585_current,#D2A54BFF,0
South America,air heat index,ssp585_current,#D2A54BFF,3.710078681309532e-4
South-Eastern Asia,air heat index,ssp585_current,#D2A54BFF,2.615788254018492e-4
South-eastern Asia,air heat index,ssp585_current,#D2A54BFF,6.386925099244532e-4
Southern Africa,air heat index,ssp585_current,#D2A54BFF,1.9990053080188516e-8
Southern Asia,air heat index,ssp585_current,#D2A54BFF,0.002808957289868053
Southern Europe,air heat index,ssp585_current,#D2A54BFF,9.308565654465027e-8
Southern Islands,air heat index,ssp585_current,#D2A54BFF,0
Western Africa,air heat index,ssp585_current,#D2A54BFF,1.928260342359741e-4
Western Asia,air heat index,ssp585_current,#D2A54BFF,0.0014350295124758914
Western Europe,air heat index,ssp585_current,#D2A54BFF,0
Antarctica,air heat index,ssp585_medium-term,#D2A54BFF,0
Atlantic Eastern Central,air heat index,ssp585_medium-term,#D2A54BFF,0
Australia and New Zealand,air heat index,ssp585_medium-term,#D2A54BFF,0.030027352519745906
Caribbean,air heat index,ssp585_medium-term,#D2A54BFF,0.040907425497677195
Central America,air heat index,ssp585_medium-term,#D2A54BFF,0.04469983885457637
Eastern Africa,air heat index,ssp585_medium-term,#D2A54BFF,0.013643408528170968
Eastern Asia,air heat index,ssp585_medium-term,#D2A54BFF,0.02077635882632093
Eastern Europe,air heat index,ssp585_medium-term,#D2A54BFF,1.881590752612197e-5
Melanesia,air heat index,ssp585_medium-term,#D2A54BFF,0.008838880208276861
Micronesia,air heat index,ssp585_medium-term,#D2A54BFF,0.012356736440772106
Middle Africa,air heat index,ssp585_medium-term,#D2A54BFF,0.005371653226426766
Northern Africa,air heat index,ssp585_medium-term,#D2A54BFF,0.009851866109375556
Northern America,air heat index,ssp585_medium-term,#D2A54BFF,0.006467746138914637
Northern Europe,air heat index,ssp585_medium-term,#D2A54BFF,0
Polynesia,air heat index,ssp585_medium-term,#D2A54BFF,6.843088407126852e-4
South America,air heat index,ssp585_medium-term,#D2A54BFF,0.007299897207905325
South-Eastern Asia,air heat index,ssp585_medium-term,#D2A54BFF,0.04244989490006887
South-eastern Asia,air heat index,ssp585_medium-term,#D2A54BFF,0.02914242487435182
Southern Africa,air heat index,ssp585_medium-term,#D2A54BFF,9.02677854922638e-5
Southern Asia,air heat index,ssp585_medium-term,#D2A54BFF,0.029383022421591413
Southern Europe,air heat index,ssp585_medium-term,#D2A54BFF,4.2539503823008426e-4
Southern Islands,air heat index,ssp585_medium-term,#D2A54BFF,0
Western Africa,air heat index,ssp585_medium-term,#D2A54BFF,0.07977592334158012
Western Asia,air heat index,ssp585_medium-term,#D2A54BFF,0.012737501022761819
Western Europe,air heat index,ssp585_medium-term,#D2A54BFF,3.046907381675378e-6
Antarctica,air heat index,ssp585_near-term,#D2A54BFF,0
Atlantic Eastern Central,air heat index,ssp585_near-term,#D2A54BFF,0
Australia and New Zealand,air heat index,ssp585_near-term,#D2A54BFF,0.016321798803398405
Caribbean,air heat index,ssp585_near-term,#D2A54BFF,0.008039916973814738
Central America,air heat index,ssp585_near-term,#D2A54BFF,0.012534422354210765
Eastern Africa,air heat index,ssp585_near-term,#D2A54BFF,0.0020446004845709013
Eastern Asia,air heat index,ssp585_near-term,#D2A54BFF,0.01320582676647293
Eastern Europe,air heat index,ssp585_near-term,#D2A54BFF,1.3583808304898981e-6
Melanesia,air heat index,ssp585_near-term,#D2A54BFF,3.4890452297976565e-4
Micronesia,air heat index,ssp585_near-term,#D2A54BFF,1.250466590667064e-4
Middle Africa,air heat index,ssp585_near-term,#D2A54BFF,2.999168476625179e-4
Northern Africa,air heat index,ssp585_near-term,#D2A54BFF,0.002807993489908044
Northern America,air heat index,ssp585_near-term,#D2A54BFF,7.907384949175909e-4
Northern Europe,air heat index,ssp585_near-term,#D2A54BFF,0
Polynesia,air heat index,ssp585_near-term,#D2A54BFF,1.590288699863217e-5
South America,air heat index,ssp585_near-term,#D2A54BFF,0.00175085504021142
South-Eastern Asia,air heat index,ssp585_near-term,#D2A54BFF,0.0033614775977803594
South-eastern Asia,air heat index,ssp585_near-term,#D2A54BFF,0.0050314900764543815
Southern Africa,air heat index,ssp585_near-term,#D2A54BFF,9.23015391835982e-6
Southern Asia,air heat index,ssp585_near-term,#D2A54BFF,0.013081153521398072
Southern Europe,air heat index,ssp585_near-term,#D2A54BFF,1.7397606708458385e-5
Southern Islands,air heat index,ssp585_near-term,#D2A54BFF,0
Western Africa,air heat index,ssp585_near-term,#D2A54BFF,0.006272256441639339
Western Asia,air heat index,ssp585_near-term,#D2A54BFF,0.010259392540770032
Western Europe,air heat index,ssp585_near-term,#D2A54BFF,3.6717885291210284e-9
Antarctica,coastal disturbance,ssp245_current,#90D8C8FF,0
Atlantic Eastern Central,coastal disturbance,ssp245_current,#90D8C8FF,0
Australia and New Zealand,coastal disturbance,ssp245_current,#90D8C8FF,0.02780024866301075
Caribbean,coastal disturbance,ssp245_current,#90D8C8FF,0.07687318068576905
Central America,coastal disturbance,ssp245_current,#90D8C8FF,0.07122099364539351
Eastern Africa,coastal disturbance,ssp245_current,#90D8C8FF,0.10290008580421389
Eastern Asia,coastal disturbance,ssp245_current,#90D8C8FF,0.15723898795360228
Eastern Europe,coastal disturbance,ssp245_current,#90D8C8FF,0.011710321910154867
Melanesia,coastal disturbance,ssp245_current,#90D8C8FF,0.04401467765787719
Micronesia,coastal disturbance,ssp245_current,#90D8C8FF,0.012680690074360242
Middle Africa,coastal disturbance,ssp245_current,#90D8C8FF,0.08451062721150544
Northern Africa,coastal disturbance,ssp245_current,#90D8C8FF,0.10907379467096778
Northern America,coastal disturbance,ssp245_current,#90D8C8FF,0.020770300542288105
Northern Europe,coastal disturbance,ssp245_current,#90D8C8FF,0.0759873302316401
Polynesia,coastal disturbance,ssp245_current,#90D8C8FF,0.016642238200406192
South America,coastal disturbance,ssp245_current,#90D8C8FF,0.06262147902567575
South-Eastern Asia,coastal disturbance,ssp245_current,#90D8C8FF,0.0812469953911143
South-eastern Asia,coastal disturbance,ssp245_current,#90D8C8FF,0.11770517850554808
Southern Africa,coastal disturbance,ssp245_current,#90D8C8FF,0.05819616380566287
Southern Asia,coastal disturbance,ssp245_current,#90D8C8FF,0.15421271786033183
Southern Europe,coastal disturbance,ssp245_current,#90D8C8FF,0.09890691385653691
Southern Islands,coastal disturbance,ssp245_current,#90D8C8FF,0
Western Africa,coastal disturbance,ssp245_current,#90D8C8FF,0.144177571939195
Western Asia,coastal disturbance,ssp245_current,#90D8C8FF,0.11427700387124907
Western Europe,coastal disturbance,ssp245_current,#90D8C8FF,0.15048302313340933
Antarctica,coastal disturbance,ssp245_medium-term,#90D8C8FF,0
Atlantic Eastern Central,coastal disturbance,ssp245_medium-term,#90D8C8FF,0
Australia and New Zealand,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.02975001047110346
Caribbean,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.0776633612702489
Central America,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.07567522263210229
Eastern Africa,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.11545761646323989
Eastern Asia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.15064833267780678
Eastern Europe,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.010889980433300767
Melanesia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.04716397521427032
Micronesia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.012452498295735703
Middle Africa,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.09419238618871027
Northern Africa,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.11732011525978503
Northern America,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.02203874830627788
Northern Europe,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.0790535638363635
Polynesia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.016548720219583056
South America,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.0648908554268916
South-Eastern Asia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.0760383474743584
South-eastern Asia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.11356971974687517
Southern Africa,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.0604066169428708
Southern Asia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.1598773904171254
Southern Europe,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.09866076438243619
Southern Islands,coastal disturbance,ssp245_medium-term,#90D8C8FF,0
Western Africa,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.15876804161491245
Western Asia,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.12488819284701842
Western Europe,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.15234897030773584
Antarctica,coastal disturbance,ssp245_near-term,#90D8C8FF,0
Atlantic Eastern Central,coastal disturbance,ssp245_near-term,#90D8C8FF,0
Australia and New Zealand,coastal disturbance,ssp245_near-term,#90D8C8FF,0.028627520391873107
Caribbean,coastal disturbance,ssp245_near-term,#90D8C8FF,0.07779917896740096
Central America,coastal disturbance,ssp245_near-term,#90D8C8FF,0.07374291749055613
Eastern Africa,coastal disturbance,ssp245_near-term,#90D8C8FF,0.1100991900381916
Eastern Asia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.1551222458346138
Eastern Europe,coastal disturbance,ssp245_near-term,#90D8C8FF,0.011232658912072615
Melanesia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.04601346229334607
Micronesia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.01260558989570881
Middle Africa,coastal disturbance,ssp245_near-term,#90D8C8FF,0.08893817925457793
Northern Africa,coastal disturbance,ssp245_near-term,#90D8C8FF,0.1140144363014512
Northern America,coastal disturbance,ssp245_near-term,#90D8C8FF,0.021298045234623444
Northern Europe,coastal disturbance,ssp245_near-term,#90D8C8FF,0.07779873610222728
Polynesia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.016703402456724303
South America,coastal disturbance,ssp245_near-term,#90D8C8FF,0.06402502378507195
South-Eastern Asia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.07882095194007079
South-eastern Asia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.11621852662707813
Southern Africa,coastal disturbance,ssp245_near-term,#90D8C8FF,0.05933280054749682
Southern Asia,coastal disturbance,ssp245_near-term,#90D8C8FF,0.1576158743530343
Southern Europe,coastal disturbance,ssp245_near-term,#90D8C8FF,0.09893710230325921
