georgn,pressure,scen_time,color,avg_impact
Antarctica,acidification,ssp245_current,#D48F90FF,0.04635342205617555
Atlantic Eastern Central,acidification,ssp245_current,#D48F90FF,0
Australia and New Zealand,acidification,ssp245_current,#D48F90FF,0.011688530315536178
Caribbean,acidification,ssp245_current,#D48F90FF,0
Central America,acidification,ssp245_current,#D48F90FF,0.0077584691755856776
Eastern Africa,acidification,ssp245_current,#D48F90FF,1.4892684839128636e-5
Eastern Asia,acidification,ssp245_current,#D48F90FF,0.012547894119300795
Eastern Europe,acidification,ssp245_current,#D48F90FF,0.06810518537623629
Melanesia,acidification,ssp245_current,#D48F90FF,0
Micronesia,acidification,ssp245_current,#D48F90FF,0
Middle Africa,acidification,ssp245_current,#D48F90FF,0.007669304855468682
Northern Africa,acidification,ssp245_current,#D48F90FF,0.0026889968405475286
Northern America,acidification,ssp245_current,#D48F90FF,0.0802811997472445
Northern Europe,acidification,ssp245_current,#D48F90FF,0.03757339021100974
Polynesia,acidification,ssp245_current,#D48F90FF,0
South America,acidification,ssp245_current,#D48F90FF,0.025269028980927682
South-Eastern Asia,acidification,ssp245_current,#D48F90FF,0
South-eastern Asia,acidification,ssp245_current,#D48F90FF,3.7425016438580526e-5
Southern Africa,acidification,ssp245_current,#D48F90FF,0.010258225812347437
Southern Asia,acidification,ssp245_current,#D48F90FF,0
Southern Europe,acidification,ssp245_current,#D48F90FF,0.0676458809194444
Southern Islands,acidification,ssp245_current,#D48F90FF,0.08608366568521716
Western Africa,acidification,ssp245_current,#D48F90FF,0.0022256892886192334
Western Asia,acidification,ssp245_current,#D48F90FF,0.040761426270756636
Western Europe,acidification,ssp245_current,#D48F90FF,0.029793715196244755
Antarctica,acidification,ssp245_medium-term,#D48F90FF,0.0828510285673751
Atlantic Eastern Central,acidification,ssp245_medium-term,#D48F90FF,0
Australia and New Zealand,acidification,ssp245_medium-term,#D48F90FF,0.025449011416195058
Caribbean,acidification,ssp245_medium-term,#D48F90FF,0
Central America,acidification,ssp245_medium-term,#D48F90FF,0.0180464049747412
Eastern Africa,acidification,ssp245_medium-term,#D48F90FF,4.696472551959996e-4
Eastern Asia,acidification,ssp245_medium-term,#D48F90FF,0.031662079767706935
Eastern Europe,acidification,ssp245_medium-term,#D48F90FF,0.0974598572289492
Melanesia,acidification,ssp245_medium-term,#D48F90FF,2.8790700322739206e-5
Micronesia,acidification,ssp245_medium-term,#D48F90FF,2.4222937974734793e-4
Middle Africa,acidification,ssp245_medium-term,#D48F90FF,0.025657868020996125
Northern Africa,acidification,ssp245_medium-term,#D48F90FF,0.02400924437895751
Northern America,acidification,ssp245_medium-term,#D48F90FF,0.12223877446271406
Northern Europe,acidification,ssp245_medium-term,#D48F90FF,0.060709801385483896
Polynesia,acidification,ssp245_medium-term,#D48F90FF,6.947773819568919e-5
South America,acidification,ssp245_medium-term,#D48F90FF,0.04352873219094906
South-Eastern Asia,acidification,ssp245_medium-term,#D48F90FF,0.00390138020173379
South-eastern Asia,acidification,ssp245_medium-term,#D48F90FF,0.002202338580431046
Southern Africa,acidification,ssp245_medium-term,#D48F90FF,0.024275614677064225
Southern Asia,acidification,ssp245_medium-term,#D48F90FF,0.0013698628913139984
Southern Europe,acidification,ssp245_medium-term,#D48F90FF,0.0993709696510281
Southern Islands,acidification,ssp245_medium-term,#D48F90FF,0.13469179088774014
Western Africa,acidification,ssp245_medium-term,#D48F90FF,0.01099806804460858
Western Asia,acidification,ssp245_medium-term,#D48F90FF,0.043961999925137704
Western Europe,acidification,ssp245_medium-term,#D48F90FF,0.05276695558289767
