Country,Integrated dependence,Integrated,Number of dependence types,Nutritional dependence,Nutri rank,Economic dependence,Eco rank,Eco Jobs,Jobs rank,Eco Rev,Rev rank,CP,CP rank
Somalia,0.184318,106,3,0.04,123,0.28,36,0.29,33,,,0.08,94
Malta,0.183548,107,2,0.14,70,0.18,67,0.16,90,0.22,46,,
Benin,0.183091,108,2,0.28,39,0.04,157,0.07,136,0.04,124,,
French Southern Territories,0.177533,109,1,,,0.16,91,0.17,89,,,,
Panama,0.174682,110,3,0.13,72,0.21,56,0.31,26,0.13,87,0.06,105
Denmark,0.172332,111,2,0.14,69,0.16,82,0.11,115,0.24,43,,
Guinea-Bissau,0.167291,112,3,0.01,147,0.31,25,0.31,25,0.33,26,0.08,95
Curacao,0.16355,113,1,,,,,,,,,0.14,65
Pakistan,0.163154,114,2,,,0.14,98,0.13,104,0.18,60,0.08,92
Libya,0.162843,115,2,0.14,67,0.14,97,0.29,37,0.03,130,,
Algeria,0.16188,116,2,0.07,106,0.22,54,0.23,57,,,,
American Samoa,0.160378,117,1,,,,,,,,,0.14,67
El Salvador,0.153388,118,3,0.09,89,0.17,74,0.16,92,0.21,52,0.15,64
Greece,0.151298,119,2,0.06,114,0.2,58,0.19,71,0.23,44,,
New Zealand,0.151022,120,3,0.11,81,0.16,83,0.14,99,0.2,53,0.04,113
Trinidad and Tobago,0.15037,121,3,0.2,57,0.11,112,0.15,94,0.09,101,0.07,100
Dominican Republic,0.150305,122,3,0.1,84,0.1,116,0.18,80,0.05,119,0.3,31
Croatia,0.149379,123,2,0.07,105,0.19,63,0.22,62,0.19,57,,
Chile,0.147408,124,3,0.06,113,0.2,60,0.18,79,0.23,45,0.05,106
India,0.145698,125,3,0.08,92,0.17,76,0.23,56,0.13,88,0.15,62
United Arab Emirates,0.144608,126,3,0.19,60,0.08,130,0.13,103,0.05,120,0.03,122
Russia,0.139259,127,2,0.1,83,0.14,99,0.15,95,0.15,75,,
Estonia,0.137269,128,2,0.06,120,0.19,66,0.22,59,0.17,64,,
Cuba,0.136895,129,3,0.01,146,0.1,119,0.1,121,0.12,90,0.35,20
Uganda,0.132441,130,1,,,0.12,110,,,0.13,89,,
Lebanon,0.130735,131,2,0.06,108,0.16,81,0.18,83,,,,
Egypt,0.130138,132,3,0.1,86,0.13,102,0.26,42,0.02,134,0.04,117
Bahrain,0.128845,133,2,,,0.13,103,0.19,70,0.09,100,0.08,90
Rwanda,0.126192,134,1,0.11,78,,,,,,,,
Belarus,0.125362,135,2,0.06,115,0.16,85,,,0.17,63,,
China,0.122418,136,3,0.08,96,0.13,100,0.17,85,0.12,91,0.46,2
Canada,0.120683,137,2,0.09,91,0.12,106,0.12,109,0.15,74,,
Niue,0.120178,138,1,,,,,,,,,0.11,80
Iran,0.11937,139,3,0.06,117,0.15,93,0.26,43,0.06,112,0.04,114
Ireland,0.116893,140,2,0.07,103,0.13,101,0.13,105,0.16,71,,
French Guiana,0.116747,141,1,,,,,,,,,0.1,81
Mexico,0.112328,142,3,0.08,95,0.11,115,0.13,107,0.11,95,0.25,43
South Africa,0.110958,143,3,0.06,112,0.13,104,0.15,97,0.14,82,0.12,74
Brunei Darussalam,0.107732,144,3,0.11,77,0.06,139,0.14,100,0.01,138,0.14,68
Cyprus,0.106333,145,2,0.1,87,0.09,124,0.09,124,0.11,92,,
Costa Rica,0.105444,146,3,0.04,126,0.16,88,0.19,74,0.15,80,0.05,110
France,0.102209,147,2,0.12,75,0.06,141,0.07,137,0.08,107,,
Djibouti,0.101697,148,3,0.07,100,0.11,113,0.2,65,0.04,125,0.05,109
Albania,0.101205,149,2,0.03,132,0.15,95,0.13,101,0.18,59,,
Sweden,0.100955,150,2,0.1,85,0.08,133,0.01,153,0.16,68,,
Guatemala,0.100161,151,3,0.01,149,0.16,87,0.17,84,0.16,69,0.26,42
Netherlands,0.099475,152,2,0.08,94,0.09,122,0.06,140,0.16,73,,
Poland,0.098334,153,2,0.08,93,0.09,125,0.05,142,0.15,79,,
Taiwan,0.098156,154,2,,,0.07,136,0.09,126,,,0.31,28
Australia,0.095532,155,3,0.07,101,0.09,123,0.11,113,0.09,99,0.24,47
Liberia,0.093186,156,2,0.05,122,0.11,111,0.11,114,0.14,81,,
Saint Helena,0.091796,157,1,,,0.08,129,0.09,122,,,,
Italy,0.084732,158,2,0.09,90,0.06,146,0.08,130,0.06,113,,
Moldova,0.080218,159,1,0.07,104,,,,,,,,
Colombia,0.078512,160,3,0.02,139,0.12,108,0.18,81,0.08,106,0.1,83
Georgia,0.078371,161,2,0.08,97,0.06,144,0.08,128,0.06,111,,
Uruguay,0.077973,162,2,0.02,140,0.12,107,0.09,123,0.17,67,,
Turkey,0.075967,163,2,0.06,119,0.08,131,0.12,108,0.06,117,,
Singapore,0.075844,164,2,,,0.07,134,0.08,129,0.1,98,0.06,104
Ukraine,0.075382,165,2,0.07,99,0.06,145,0.07,133,0.07,109,,
Great Britain,0.072825,166,2,0.06,109,0.06,140,0.04,148,0.11,96,,
Finland,0.072076,167,2,0.1,82,0.02,165,0.04,150,0.03,128,,
Belgium,0.067975,168,2,0.06,107,0.05,148,0,,0.14,84,,
South Sudan,0.066826,169,1,,,0.06,142,0.07,134,,,,
Sudan,0.066535,170,2,,,0.06,143,0.07,135,,,0.03,123
Kuwait,0.066027,171,3,0.07,102,0.05,150,0.06,138,,,0.03,121
Brazil,0.063472,172,3,0.01,142,0.1,120,0.2,67,0.02,137,0.12,72
Saudi Arabia,0.061323,173,3,0.06,116,0.05,149,0.11,116,0.02,136,0.04,112
Luxembourg,0.058793,174,2,0.08,98,0.02,164,,,0.04,126,,
Argentina,0.05676,175,2,0.02,141,0.08,128,0.05,144,0.14,83,,
Slovenia,0.0563,176,2,0.03,134,0.07,137,,,0.08,104,,
Bulgaria,0.054591,177,2,0.01,144,0.08,127,0.11,117,0.09,103,,
United States,0.052572,178,3,0.05,121,0.04,156,0.04,149,0.07,110,0.28,38
Syria,0.051717,179,2,0.03,135,0.06,138,0.08,132,,,,
Zambia,0.049992,180,1,0.04,124,,,,,,,,
Lesotho,0.049362,181,1,,,0.04,154,,,0.06,118,,
Qatar,0.046111,182,2,,,0.04,159,0.05,145,,,0.05,107
Tanzania,0.044859,183,2,,,0.08,132,0.08,131,0.1,97,0.11,79
Iraq,0.04169,184,1,0.04,127,,,,,,,,
Germany,0.041379,185,2,0.04,125,0.03,162,0,,0.08,105,,
Botswana,0.038606,186,1,0.03,130,,,,,,,,
Kazakhstan,0.03668,187,1,,,0.03,161,,,0.05,121,,
Switzerland,0.035231,188,1,0.03,131,,,,,,,,
Jordan,0.033823,189,2,0.06,118,,,0.03,151,0,141,0.01,124
Czech Republic,0.033727,190,2,0.01,145,0.05,152,,,0.06,115,,
The Former Yugoslav Republic of Macedonia,0.029214,191,2,0.04,129,0.02,168,,,0.03,129,,
Bosnia and Herzegovina,0.028758,192,2,0.02,138,0.03,163,,,0.04,123,,
Israel,0.0284,193,2,0.03,133,0.02,167,0.04,147,0.02,135,,
Montenegro,0.027601,194,1,0.02,137,,,,,,,,
Romania,0.027223,195,1,,,0.04,153,0.1,120,0.01,139,,
Niger,0.023923,196,1,,,0.02,166,,,0.03,127,,
Slovakia,0.020897,197,1,0.04,128,,,,,0.01,140,,
Austria,0.020387,198,2,0.03,136,0.01,169,,,0.02,132,,
Swaziland,0.016009,199,1,0.01,143,,,,,,,,
Serbia,0.009454,200,1,0.01,148,,,,,,,,
