Country,Integrated dependence,Integrated,Number of dependence types,Nutritional dependence,Nutri rank,Economic dependence,Eco rank,Eco Jobs,Jobs rank,Eco Rev,Rev rank,CP,CP rank
,,rank,,,,,,,,,,,
Faroe Islands,0.932951,1,1,,,0.82,3,,,0.82,2,,
Kiribati,0.715067,2,3,0.74,2,0.86,2,0.93,1,0.8,4,0.07,98
Greenland,0.711747,3,1,,,0.62,6,,,0.63,7,,
Maldives,0.708048,4,3,0.99,1,0.42,10,0.51,5,0.35,23,0.04,115
Tuvalu,0.648955,5,3,0.53,8,0.98,1,,,0.98,1,0.12,75
Palau,0.556636,6,3,0.56,6,0.57,7,0.72,2,0.43,13,0.28,37
Sierra Leone,0.522608,7,3,0.65,4,0.31,27,0.41,12,0.22,47,0.07,99
Marshall Islands,0.509728,8,2,,,0.68,4,0.57,3,0.8,3,0.2,50
Senegal,0.500128,9,3,0.48,12,0.42,11,0.48,6,0.38,18,0.09,86
Federated States of Micronesia,0.489408,10,3,0.44,16,0.47,8,0.24,52,0.71,6,0.36,16
Guam,0.478079,11,1,,,,,,,,,0.42,6
Nauru,0.474897,12,3,0.52,9,0.64,5,0.54,4,0.75,5,0.08,89
Northern Mariana Islands,0.454494,13,1,,,,,,,,,0.4,9
Cayman Islands,0.450975,14,1,,,,,,,,,0.39,11
Solomon Islands,0.435536,15,3,0.65,3,0.33,24,0.3,29,0.37,20,0.14,69
Sint Maarten,0.433706,16,1,,,,,,,,,0.38,14
Myanmar,0.431449,17,3,0.36,25,0.42,12,0.45,8,0.4,14,0.06,103
Ghana,0.422081,18,2,0.56,7,0.18,69,0.3,32,0.09,102,,
Saint Martin,0.415456,19,2,,,0.16,89,0.17,87,,,0.42,5
Virgin Islands (U.S.),0.415249,20,1,,,,,,,,,0.36,17
Sri Lanka,0.415029,21,3,0.62,5,0.19,65,0.25,49,0.15,77,0.12,71
Iceland,0.414919,22,2,0.36,24,0.36,17,0.29,34,0.46,10,,
Sao Tome and Principe,0.412443,23,2,0.46,13,0.26,42,0.35,19,0.19,55,,
Equatorial Guinea,0.409215,24,1,,,0.36,19,0.37,16,,,,
Vanuatu,0.406188,25,3,0.45,15,0.33,23,0.28,38,0.4,16,0.26,40
North Korea,0.397103,26,1,0.35,28,,,,,,,,
Reunion,0.394329,27,1,,,,,,,,,0.34,21
Cote D'Ivoire,0.386678,28,2,0.49,10,0.19,64,0.11,112,0.29,32,,
Philippines,0.374039,29,3,0.43,18,0.24,45,0.31,28,0.19,56,0.31,27
Guyana,0.364682,30,3,0.29,37,0.35,21,0.37,15,0.36,22,0.15,63
Indonesia,0.36433,31,3,0.48,11,0.22,52,0.29,35,0.17,61,0.09,85
Papua New Guinea,0.359104,32,2,,,0.35,20,0.4,13,0.33,25,0.12,76
French Polynesia,0.356181,33,2,0.46,14,,,,,,,0.07,101
Mauritius,0.349329,34,3,0.24,48,0.23,47,0.2,68,0.29,33,0.45,3
Fiji,0.344328,35,3,0.31,33,0.41,13,0.44,9,0.4,15,0.16,61
Namibia,0.338803,36,2,0.23,50,0.36,16,0.31,27,0.44,12,,
Vietnam,0.334473,37,3,0.3,35,0.28,37,0.25,47,0.33,24,0.33,26
"Gambia, The",0.327844,38,3,0.42,19,0.3,28,0.41,11,0.21,51,0.07,96
Burkina Faso,0.326356,39,1,0.29,38,,,,,,,,
Samoa,0.325677,40,3,0.31,32,0.3,29,0.33,22,0.28,36,0.24,46
Nigeria,0.324679,41,3,0.42,20,0.15,96,0.25,45,0.06,114,0.14,66
Seychelles,0.322803,42,2,,,0.39,14,0.25,46,0.54,8,0.18,57
Thailand,0.320826,43,3,0.32,31,0.26,44,0.16,91,0.38,19,0.04,111
Madagascar,0.316617,44,3,0.24,47,0.29,31,0.22,60,0.38,17,0.51,1
Puerto Rico,0.310475,45,1,,,,,,,,,0.27,39
Congo,0.308949,46,3,0.28,40,0.26,43,0.27,41,,,0.1,82
Mauritania,0.308714,47,2,0.11,80,0.43,9,0.35,20,0.53,9,,
The Bahamas,0.303717,48,3,0.21,56,0.29,32,0.36,17,0.24,42,0.3,30
Mozambique,0.300852,49,3,0.36,26,0.17,73,0.18,78,0.19,58,0.23,48
Bermuda,0.297678,50,2,0.19,58,,,,,,,0.33,25
Martinique,0.296299,51,1,,,,,,,,,0.26,41
Malaysia,0.296157,52,3,0.43,17,0.13,105,0.12,111,0.16,72,0.09,87
Antigua and Barbuda,0.295679,53,3,0.26,43,0.15,94,0.19,75,0.13,86,0.37,15
Grenada,0.294616,54,3,0.27,41,0.23,49,0.22,58,0.25,39,0.29,35
Suriname,0.29425,55,3,0.23,49,0.29,33,0.29,36,0.3,30,0.17,59
Comoros,0.288892,56,2,,,0.31,26,0.47,7,0.17,65,0.2,53
Guinea,0.287993,57,3,0.35,27,0.16,86,0.19,73,0.15,78,0.09,88
Cameroon,0.284419,58,3,0.38,22,0.12,109,0.13,106,,,0.18,58
Cook Islands,0.283559,59,3,0.37,23,0.23,46,,,0.25,40,0.12,73
Saint Kitts and Nevis,0.281362,60,3,0.23,52,0.18,70,0.19,72,,,0.33,24
Mayotte,0.281157,61,2,,,0.11,114,0.12,110,,,0.39,12
Tonga,0.280721,62,2,,,0.28,34,0.28,39,0.31,29,0.2,51
Morocco,0.275022,63,2,0.19,62,0.3,30,0.33,24,0.28,34,,
Bangladesh,0.274134,64,3,0.22,53,0.27,40,0.34,21,0.22,48,0.19,55
Belize,0.273265,65,3,0.13,73,0.28,38,0.25,48,0.32,28,0.43,4
Honduras,0.272937,66,2,,,0.23,48,0.23,53,0.24,41,0.35,19
Cape Verde,0.27066,67,3,0.15,66,0.36,18,0.42,10,0.32,27,0.18,56
Dominica,0.263772,68,3,0.19,59,0.21,57,0.22,61,,,0.3,33
Turks and Caicos Islands,0.262214,69,2,,,0.05,151,0.06,139,,,0.41,8
Saint Bartolemy,0.2614,70,2,,,0.07,135,0.09,125,,,0.38,13
Togo,0.259086,71,2,0.3,34,0.15,92,0.19,69,0.14,85,,
Sint Maarten,0.257578,72,1,,,,,,,,,0.23,49
Angola,0.256033,73,3,0.34,29,0.1,117,0.16,93,0.08,108,0.08,91
Japan,0.25445,74,3,0.38,21,0.06,147,0.08,127,0.06,116,0.41,7
Norway,0.252239,75,2,0.26,42,0.18,68,0.1,119,0.28,35,,
Saint Lucia,0.251956,76,3,0.21,55,0.17,79,0.18,82,,,0.28,36
Democratic Republic of Congo,0.251454,77,2,,,0.22,53,0.23,55,,,0.06,102
Haiti,0.250831,78,3,0.19,63,0.19,61,0.25,50,0.16,70,0.34,23
Yemen,0.250408,79,3,0.11,79,0.33,22,0.24,51,0.44,11,0.04,119
Venezuela,0.247038,80,3,0.06,110,0.37,15,0.38,14,,,0.12,77
British Virgin Islands,0.247025,81,2,,,0.04,160,0.05,146,,,0.4,10
South Korea,0.24575,82,2,0.34,30,0.09,121,0.1,118,0.11,93,,
Eritrea,0.240315,83,2,,,0.22,51,0.23,54,,,0.04,116
Lithuania,0.239075,84,2,0.25,45,0.17,78,0.15,96,0.21,50,,
Peru,0.239019,85,3,0.23,51,0.19,62,0.13,102,0.27,37,0.07,97
Oman,0.23875,86,2,,,0.21,55,0.3,30,0.15,76,0.03,120
New Caledonia,0.236667,87,2,0.19,61,,,,,,,0.24,45
Gabon,0.235914,88,3,0.26,44,0.16,84,0.3,31,0.04,122,0.13,70
Curacao,0.232071,89,1,,,,,,,,,0.2,52
Tunisia,0.231634,90,3,0.13,74,0.28,35,0.33,23,0.25,38,0.09,84
Jamaica,0.226843,91,3,0.16,65,0.17,72,0.26,44,0.11,94,0.3,29
Barbados,0.226105,92,3,0.24,46,0.1,118,0.2,64,0.02,131,0.25,44
Saint Vincent and the Grenadines,0.220047,93,3,0.12,76,0.17,75,0.18,77,,,0.29,34
British Virgin Islands,0.219745,94,2,,,0.04,155,0.05,141,,,0.34,22
Portugal,0.217708,95,2,0.21,54,0.17,77,0.14,98,0.21,49,,
Cambodia,0.215523,96,3,0.3,36,0.09,126,0.03,152,0.17,62,0.04,118
Guadeloupe,0.212195,97,2,,,0.04,158,0.05,143,,,0.35,18
Kenya,0.202589,98,2,,,0.18,71,0.36,18,0.02,133,0.11,78
Wallis and Futuna Islands,0.198679,99,2,,,0.16,90,0.17,88,,,0.19,54
Spain,0.198635,100,2,0.18,64,0.17,80,0.19,76,0.17,66,,
Timor Leste,0.194793,101,3,0.13,71,0.27,41,0.28,40,,,0.05,108
Latvia,0.192671,102,2,0.14,68,0.2,59,0.21,63,0.2,54,,
Nicaragua,0.19222,103,3,0.1,88,0.22,50,0.17,86,0.3,31,0.3,32
Aruba,0.187066,104,1,,,,,,,,,0.16,60
Ecuador,0.185814,105,3,0.06,111,0.27,39,0.2,66,0.36,21,0.08,93
