rgn_id,year,biomass,ant_typ,rgn_nam,iso3c,iso3c_made_up,uninhabited,yearly_percent_change
1,2000,1051673.696549818,eez,Cocos Islands,CCK,NA,NA,NA
2,2000,751645.2041099719,eez,Christmas Island,CXR,NA,NA,NA
3,2000,1850618.5554450233,eez,Norfolk Island,NFK,NA,NA,NA
4,2000,1950193.1105860022,eez,Macquarie Island,MCQ,yes,x,NA
5,2000,2521989.7676537177,eez,New Caledonia,NCL,NA,NA,NA
6,2000,806587.60563606,eez,Vanuatu,VUT,NA,NA,NA
7,2000,2108224.208170574,eez,Solomon Islands,SLB,NA,NA,NA
8,2000,520602.20291996526,eez,Palau,PLW,NA,NA,NA
9,2000,3544522.408014503,eez,Micronesia,FSM,yes,NA,NA
10,2000,733812.518172868,eez,Nauru,NRU,NA,NA,NA
11,2000,3267871.598141038,eez,Marshall Islands,MHL,NA,NA,NA
12,2000,318402.9891873106,eez,Wake Island,WIS,yes,x,NA
13,2000,807429.1355897421,eez,Northern Mariana Islands and Guam,NGM,yes,NA,NA
14,2000,814084.4594613997,eez,Taiwan,TWN,NA,NA,NA
15,2000,2860906.3779806923,eez,Philippines,PHL,NA,NA,NA
16,2000,35940966.481780715,eez,Australia,AUS,NA,NA,NA
17,2000,4011654.6421539346,eez,Papua New Guinea,PNG,NA,NA,NA
18,2000,1644004.3335779193,eez,Fiji,FJI,NA,NA,NA
19,2000,980785.3063353681,eez,Tuvalu,TUV,NA,NA,NA
20,2000,1570739.420564942,eez,South Korea,KOR,NA,NA,NA
21,2000,1338507.7301211925,eez,North Korea,PRK,NA,NA,NA
24,2000,103081.32433246454,eez,Cambodia,KHM,NA,NA,NA
25,2000,729877.2311681444,eez,Thailand,THA,NA,NA,NA
26,2000,1509150.922688614,eez,Andaman and Nicobar,ANI,yes,NA,NA
28,2000,348109.36874868226,eez,Comoro Islands,COM,NA,NA,NA
29,2000,100355.42378174933,eez,Mayotte,MYT,NA,NA,NA
30,2000,97538.44032145226,eez,Glorioso Islands,GIS,yes,x,NA
31,2000,4814027.318917425,eez,Seychelles,SYC,NA,NA,NA
32,2000,445898.46069316857,eez,Reunion,REU,NA,NA,NA
33,2000,156097.44481430508,eez,Juan de Nova Island,JDN,yes,x,NA
34,2000,274540.3073500792,eez,Bassas da India,BDA,yes,x,NA
35,2000,308524.47467473365,eez,Ile Europa,ILE,yes,x,NA
36,2000,502148.6907196612,eez,Ile Tromelin,ILT,yes,x,NA
37,2000,2950490.0936649675,eez,Mauritius,MUS,NA,NA,NA
38,2000,2077481.347291653,eez,British Indian Ocean Territory,IOT,NA,x,NA
39,2000,2295742.759868661,eez,Maldives,MDV,NA,NA,NA
40,2000,1820704.8927994494,eez,Sri Lanka,LKA,NA,NA,NA
41,2000,1630087.3909947854,eez,Mozambique,MOZ,NA,NA,NA
42,2000,3430179.9423147035,eez,Madagascar,MDG,NA,NA,NA
43,2000,438548.16454203875,eez,Kenya,KEN,NA,NA,NA
44,2000,3274883.8450509794,eez,Somalia,SOM,NA,NA,NA
45,2000,130257.96355836042,eez,Eritrea,ERI,NA,NA,NA
46,2000,41931.5354196658,eez,Djibouti,DJI,NA,NA,NA
47,2000,2546304.004013527,eez,Yemen,YEM,NA,NA,NA
48,2000,3126052.16060665,eez,Oman,OMN,NA,NA,NA
49,2000,43054.362725811596,eez,Sudan,SDN,NA,NA,NA
50,2000,354465.9904345862,eez,Saudi Arabia,SAU,NA,NA,NA
51,2000,66416.23412274593,eez,Kuwait,KWT,NA,NA,NA
52,2000,63090.7374142085,eez,Bahrain,BHR,NA,NA,NA
53,2000,1351328.8817783573,eez,Pakistan,PAK,NA,NA,NA
54,2000,158748.16840181197,eez,United Arab Emirates,ARE,NA,NA,NA
55,2000,4492852.92629095,eez,Azores,AZO,yes,NA,NA
56,2000,5026495.4965629475,eez,Cape Verde,CPV,NA,NA,NA
57,2000,2027167.425816126,eez,Madeira,MDR,yes,NA,NA
58,2000,2463973.4823311334,eez,Canary Islands,CNY,yes,NA,NA
59,2000,87036.5673966938,eez,Belgium,BEL,NA,NA,NA
61,2000,609024.3534795537,eez,Tunisia,TUN,NA,NA,NA
62,2000,2179627.017306128,eez,Morocco,MAR,NA,NA,NA
63,2000,3288764.591707696,eez,Western Sahara,ESH,NA,NA,NA
64,2000,1809025.7423854126,eez,Mauritania,MRT,NA,NA,NA
65,2000,356894.84533983987,eez,Gambia,GMB,NA,NA,NA
66,2000,1095371.3400763369,eez,Senegal,SEN,NA,NA,NA
67,2000,1367872.4255111,eez,Libya,LBY,NA,NA,NA
68,2000,317952.6031281552,eez,Malta,MLT,NA,NA,NA
69,2000,611163.4845333055,eez,Latvia,LVA,NA,NA,NA
70,2000,522206.18447067565,eez,Estonia,EST,NA,NA,NA
71,2000,363871.81177050085,eez,Bulgaria,BGR,NA,NA,NA
72,2000,391688.3215111469,eez,Romania,ROU,NA,NA,NA
73,2000,120865470.5779015,eez,Russia,RUS,NA,NA,NA
74,2000,132944.43480897433,eez,Georgia,GEO,NA,NA,NA
75,2000,988559.5373394708,eez,Ukraine,UKR,NA,NA,NA
76,2000,968735.2513483408,eez,Turkey,TUR,NA,NA,NA
77,2000,40255.65279558707,eez,Syria,SYR,NA,NA,NA
78,2000,65480.973332061854,eez,Lebanon,LBN,NA,NA,NA
79,2000,93333.89610698947,eez,Israel,ISR,NA,NA,NA
80,2000,2365388.4209257346,eez,Greece,GRC,NA,NA,NA
81,2000,469105.09483907407,eez,Cyprus,CYP,NA,NA,NA
82,2000,NA,eez,Albania,ALB,NA,NA,NA
84,2000,481579.47621162824,eez,Algeria,DZA,NA,NA,NA
85,2000,755852.6805301982,eez,Ascension,ASC,NA,x,NA
86,2000,1616929.1790371095,eez,Saint Helena,SHN,NA,NA,NA
88,2000,6305160.427888173,eez,Tristan da Cunha,TAA,yes,x,NA
89,2000,7863516.733901512,eez,South Georgia and the South Sandwich Islands,SGS,NA,x,NA
90,2000,2784141.7685132013,eez,Prince Edward Islands,PEI,yes,x,NA
91,2000,3578461.5889400477,eez,Crozet Islands,CIS,yes,x,NA
92,2000,3484999.1341371676,eez,Amsterdam Island and Saint Paul Island,ASP,yes,x,NA
93,2000,7569866.099425914,eez,Kerguelen Islands,KIS,yes,x,NA
94,2000,3192048.73541693,eez,Heard and McDonald Islands,HMD,NA,x,NA
95,2000,8697210.200891891,eez,Falkland Islands,FLK,NA,NA,NA
96,2000,486379.40687159036,eez,Sierra Leone,SLE,NA,NA,NA
97,2000,781720.2538101866,eez,Liberia,LBR,NA,NA,NA
98,2000,105205.9052475382,eez,Togo,TGO,NA,NA,NA
99,2000,147739.87589726486,eez,Benin,BEN,NA,NA,NA
100,2000,163703.03646414343,eez,Republique du Congo,COG,NA,NA,NA
101,2000,8757488.946530174,eez,Namibia,NAM,NA,NA,NA
102,2000,11862019.013665415,eez,South Africa,ZAF,NA,NA,NA
103,2000,498673.38546303386,eez,Sao Tome and Principe,STP,NA,NA,NA
104,2000,1564076.6443644823,eez,Equatorial Guinea,GNQ,NA,NA,NA
105,2000,1828945.6806443539,eez,Bouvet Island,BVT,NA,x,NA
106,2000,947552.5044534737,eez,Ghana,GHA,NA,NA,NA
107,2000,1908562.9101969604,eez,Clipperton Island,CLP,yes,x,NA
108,2000,2260074.441549271,eez,Bermuda,BMU,NA,NA,NA
110,2000,1438410.0292140774,eez,Bahamas,BHS,NA,NA,NA
111,2000,146491.3763026641,eez,Turks and Caicos Islands,TCA,NA,NA,NA
112,2000,507913.60979213135,eez,Cuba,CUB,NA,NA,NA
113,2000,91707.10076685499,eez,Cayman Islands,CYM,NA,NA,NA
114,2000,123363.44756065485,eez,Haiti,HTI,NA,NA,NA
