ID,ant_type,rgn_id,rgn_type,rgn_name,F_CODE,OCEAN,NAME_EN
180145,eez,145,eez,Greenland,18,Arctic,Arctic Sea
180163,eez,163,eez,United States,18,Arctic,Arctic Sea
180218,eez,218,eez,Canada,18,Arctic,Arctic Sea
180260,fao,260,fao,Arctic Sea,18,Arctic,Arctic Sea
180262,fao,262,fao,"Atlantic, Northeast",18,Arctic,Arctic Sea
18073,eez,73,eez,Russia,18,Arctic,Arctic Sea
61012,eez,12,eez,Wake Island,61,Pacific,"Pacific, Northwest"
61013,eez,13,eez,Northern Mariana Islands and Guam,61,Pacific,"Pacific, Northwest"
61014,eez,14,eez,Taiwan,61,Pacific,"Pacific, Northwest"
61015,eez,15,eez,Philippines,61,Pacific,"Pacific, Northwest"
610163,eez,163,eez,United States,61,Pacific,"Pacific, Northwest"
610207,eez,207,eez,Vietnam,61,Pacific,"Pacific, Northwest"
610209,eez,209,eez,China,61,Pacific,"Pacific, Northwest"
61020,eez,20,eez,South Korea,61,Pacific,"Pacific, Northwest"
610210,eez,210,eez,Japan,61,Pacific,"Pacific, Northwest"
61021,eez,21,eez,North Korea,61,Pacific,"Pacific, Northwest"
610255,eez-disputed,255,eez-disputed,DISPUTED,61,Pacific,"Pacific, Northwest"
610272,fao,272,fao,"Pacific, Northwest",61,Pacific,"Pacific, Northwest"
610273,fao,273,fao,"Pacific, Northeast",61,Pacific,"Pacific, Northwest"
610274,fao,274,fao,"Pacific, Western Central",61,Pacific,"Pacific, Northwest"
610275,fao,275,fao,"Pacific, Eastern Central",61,Pacific,"Pacific, Northwest"
61073,eez,73,eez,Russia,61,Pacific,"Pacific, Northwest"
670163,eez,163,eez,United States,67,Pacific,"Pacific, Northeast"
670218,eez,218,eez,Canada,67,Pacific,"Pacific, Northeast"
670273,fao,273,fao,"Pacific, Northeast",67,Pacific,"Pacific, Northeast"
670275,fao,275,fao,"Pacific, Eastern Central",67,Pacific,"Pacific, Northeast"
67073,eez,73,eez,Russia,67,Pacific,"Pacific, Northeast"
370179,eez,179,eez,France,37,Atlantic,Mediterranean and Black Sea
370182,eez,182,eez,Spain,37,Atlantic,Mediterranean and Black Sea
370184,eez,184,eez,Italy,37,Atlantic,Mediterranean and Black Sea
370185,eez,185,eez,Monaco,37,Atlantic,Mediterranean and Black Sea
370186,eez,186,eez,Montenegro,37,Atlantic,Mediterranean and Black Sea
370187,eez,187,eez,Croatia,37,Atlantic,Mediterranean and Black Sea
370188,eez,188,eez,Slovenia,37,Atlantic,Mediterranean and Black Sea
370214,eez,214,eez,Egypt,37,Atlantic,Mediterranean and Black Sea
370232,eez,232,eez,Bosnia and Herzegovina,37,Atlantic,Mediterranean and Black Sea
