iso3c,rgn_id,rgn_nam,governance,gapfilled
ABW,250,Aruba,0.7184785403597931,gapfilled
AGO,200,Angola,0.3303871296853113,gapfilled
AIA,118,Anguilla,0.6659849239107688,gapfilled
ANI,26,Andaman and Nicobar,0.4487224173145713,gapfilled
ARE,54,United Arab Emirates,0.6734990770193985,gapfilled
ARG,172,Argentina,0.48230204801163457,NA
ASM,151,American Samoa,0.6845067214582218,gapfilled
ATG,120,Antigua and Barbuda,0.6813504056486136,gapfilled
AUS,16,Australia,0.8811600875554174,NA
AZO,55,Azores,0.7063377518516224,gapfilled
BEL,59,Belgium,0.8243688359573157,NA
BEN,99,Benin,0.4924399185719004,NA
BGD,204,Bangladesh,0.3379842520618162,NA
BGR,71,Bulgaria,0.5847464749918295,NA
BHR,52,Bahrain,0.5753129087588105,NA
BHS,110,Bahamas,0.7790360818067269,NA
BLZ,164,Belize,0.5435433307372433,NA
BMU,108,Bermuda,0.7763653294991211,gapfilled
BON,245,Bonaire,0.6372025216898032,gapfilled
BRA,171,Brazil,0.5457874718874776,NA
BRB,124,Barbados,0.7977446031637627,NA
BRN,247,Brunei,0.6359407884373696,NA
CAN,218,Canada,0.8849158500339551,NA
CCK,1,Cocos Islands,0.8956179456900585,gapfilled
CHL,224,Chile,0.7926839919538006,NA
CHN,209,China,0.411389893914124,NA
CIV,195,Ivory Coast,0.2799081362273805,NA
CNY,58,Canary Islands,0.7063377518516224,gapfilled
COD,199,Democratic Republic of the Congo,0.12188563718025153,gapfilled
COG,100,Republique du Congo,0.2948498923667453,NA
COK,153,Cook Islands,0.727909528353658,gapfilled
COL,132,Colombia,0.4331290068878002,NA
COM,28,Comoro Islands,0.333873382735663,NA
CPV,56,Cape Verde,0.6374876972742322,NA
CRI,130,Costa Rica,0.6656521171731817,NA
CUB,112,Cuba,0.3932486933783922,NA
CUW,244,Curacao,0.6851541347005173,gapfilled
CXR,2,Christmas Island,0.8997124606070462,gapfilled
CYM,113,Cayman Islands,0.7855659549010163,gapfilled
CYP,81,Cyprus,0.7597052279271194,NA
DEU,176,Germany,0.8578635059970866,NA
DIS,255,Disputed,0.318110633798206,NA
DJI,46,Djibouti,0.3849015351204328,NA
DMA,123,Dominica,0.5868671972524357,gapfilled
DNK,175,Denmark,0.9338707882822197,NA
DOM,115,Dominican Republic,0.4595786194201135,NA
DZA,84,Algeria,0.3607999129150649,NA
ECU,137,Ecuador,0.38051207778085,NA
EGY,214,Egypt,0.4221960338627553,NA
ERI,45,Eritrea,0.2889753310241799,NA
ESH,63,Western Sahara,0.2321411250803409,gapfilled
ESP,182,Spain,0.7604529285878122,NA
EST,70,Estonia,0.7529132180537802,NA
FIN,174,Finland,0.9415406292165505,NA
FJI,18,Fiji,0.48124192353302,NA
FLK,95,Falkland Islands,0.9283113781549124,gapfilled
FRA,179,France,0.8048637667576131,NA
FRO,141,Faeroe Islands,0.9062488631187933,gapfilled
FSM,9,Micronesia,0.532909056534856,gapfilled
GAB,198,Gabon,0.429786490162454,NA
GBR,180,United Kingdom,0.8548405660935763,NA
GEO,74,Georgia,0.4528691464925799,NA
GGY,228,Guernsey,0.8961918378779177,gapfilled
GHA,106,Ghana,0.5369269390290345,NA
GIN,194,Guinea,0.2768614100513413,NA
GMB,65,Gambia,0.4392751715137877,NA
GMF,140,Guadeloupe and Martinique,0.6372025216898032,gapfilled
GNB,193,Guinea Bissau,0.3253435951889696,NA
GNQ,104,Equatorial Guinea,0.25972513597158103,NA
GRC,80,Greece,0.6835076185833774,NA
GRD,125,Grenada,0.637394169194496,NA
GRL,145,Greenland,0.8527002983706338,gapfilled
