scenario,iso3c,rgn_nam,rgn_id,year,prop_accel,prop_no_accel,avg_biomass_accel,avg_biomass_no_accel,historic_1900
SSP1,ASC,Ascension,85,2005,0.9082181768005867,0.9082181768005867,809479.6349775329,809479.6349775329,891283.235300483
SSP1,ASC,Ascension,85,2006,0.9051000209429653,0.9051000209429653,806700.474936581,806700.474936581,891283.235300483
SSP1,ASC,Ascension,85,2007,0.901992570548195,0.901992570548195,803930.8564951944,803930.8564951944,891283.235300483
SSP1,ASC,Ascension,85,2008,0.8988957888615593,0.8988957888615593,801170.7468945103,801170.7468945103,891283.235300483
SSP1,ASC,Ascension,85,2009,0.8958096392545303,0.8958096392545303,798420.1134881362,798420.1134881362,891283.235300483
SSP1,ASC,Ascension,85,2010,0.8927340852243356,0.8927340852243356,795678.9237417629,795678.9237417629,891283.235300483
SSP1,ASC,Ascension,85,2011,0.8896690903935267,0.8896690903935267,792947.1452327803,792947.1452327803,891283.235300483
SSP1,ASC,Ascension,85,2012,0.8866146185095486,0.8866146185095486,790224.7456498939,790224.7456498939,891283.235300483
SSP1,ASC,Ascension,85,2013,0.883570633444311,0.883570633444311,787511.6927927426,787511.6927927426,891283.235300483
SSP1,ASC,Ascension,85,2014,0.8805370991937611,0.8805370991937611,784807.95457151765,784807.95457151765,891283.235300483
SSP1,ASC,Ascension,85,2015,0.8775139798774575,0.8775139798774575,782113.4990065832,782113.4990065832,891283.235300483
SSP1,ASC,Ascension,85,2016,0.874501239738146,0.874501239738146,779428.294228098,779428.294228098,891283.235300483
SSP1,ASC,Ascension,85,2017,0.8714988431413365,0.8714988431413365,776752.3084756385,776752.3084756385,891283.235300483
SSP1,ASC,Ascension,85,2018,0.8685067545748819,0.8685067545748819,774085.5100978232,774085.5100978232,891283.235300483
SSP1,ASC,Ascension,85,2019,0.8655249386485574,0.8655249386485574,771427.8675519383,771427.8675519383,891283.235300483
SSP1,ASC,Ascension,85,2020,0.8625533600936427,0.8625533600936427,768779.3494035644,768779.3494035644,891283.235300483
SSP1,ASC,Ascension,85,2021,0.8595919837625043,0.8595919837625043,766139.924326205,766139.924326205,891283.235300483
SSP1,ASC,Ascension,85,2022,0.8566407746281799,0.8566407746281799,763509.561100916,763509.561100916,891283.235300483
SSP1,ASC,Ascension,85,2023,0.853699697783964,0.853699697783964,760888.228615936,760888.228615936,891283.235300483
SSP1,ASC,Ascension,85,2024,0.8507687184429955,0.8507687184429955,758275.8958663187,758275.8958663187,891283.235300483
SSP1,ASC,Ascension,85,2025,0.8478478019378456,0.8478478019378456,755672.5319535661,755672.5319535661,891283.235300483
SSP1,ASC,Ascension,85,2026,0.844936913720108,0.844936913720108,753078.106085263,753078.106085263,891283.235300483
SSP1,ASC,Ascension,85,2027,0.8420360193599908,0.8420360193599908,750492.5875747127,750492.5875747127,891283.235300483
SSP1,ASC,Ascension,85,2028,0.8391450845459082,0.8391450845459082,747915.9458405743,747915.9458405743,891283.235300483
SSP1,ASC,Ascension,85,2029,0.8362640750840755,0.8362640750840755,745348.1504065008,745348.1504065008,891283.235300483
SSP1,ASC,Ascension,85,2030,0.8333929568981043,0.8333929568981043,742789.1709007784,742789.1709007784,891283.235300483
SSP1,ASC,Ascension,85,2031,0.8305316960285999,0.8305316960285999,740238.9770559678,740238.9770559678,891283.235300483
SSP1,ASC,Ascension,85,2032,0.827680258632759,0.827680258632759,737697.5387085458,737697.5387085458,891283.235300483
SSP1,ASC,Ascension,85,2033,0.8248386109839695,0.8248386109839695,735164.8257985488,735164.8257985488,891283.235300483
SSP1,ASC,Ascension,85,2034,0.822006719471412,0.822006719471412,732640.8083692166,732640.8083692166,891283.235300483
SSP1,ASC,Ascension,85,2035,0.8191845505996623,0.8191845505996623,730125.4565666392,730125.4565666392,891283.235300483
SSP1,ASC,Ascension,85,2036,0.8163720709882947,0.8163720709882947,727618.7406394028,727618.7406394028,891283.235300483
SSP1,ASC,Ascension,85,2037,0.8135692473714871,0.8135692473714871,725120.6309382379,725120.6309382379,891283.235300483
SSP1,ASC,Ascension,85,2038,0.8107760465976284,0.8107760465976284,722631.0979156693,722631.0979156693,891283.235300483
SSP1,ASC,Ascension,85,2039,0.8079924356289254,0.8079924356289254,720150.1121256659,720150.1121256659,891283.235300483
SSP1,ASC,Ascension,85,2040,0.805218381541013,0.805218381541013,717677.6442232927,717677.6442232927,891283.235300483
SSP1,ASC,Ascension,85,2041,0.8024538515225637,0.8024538515225637,715213.6649643639,715213.6649643639,891283.235300483
SSP1,ASC,Ascension,85,2042,0.7996988128749005,0.7996988128749005,712758.1452050968,712758.1452050968,891283.235300483
SSP1,ASC,Ascension,85,2043,0.7969532330116094,0.7969532330116094,710311.0559017669,710311.0559017669,891283.235300483
SSP1,ASC,Ascension,85,2044,0.7942170794581543,0.7942170794581543,707872.3681103645,707872.3681103645,891283.235300483
SSP1,ASC,Ascension,85,2045,0.7914903198514931,0.7914903198514931,705442.0529862528,705442.0529862528,891283.235300483
SSP1,ASC,Ascension,85,2046,0.7887729219396944,0.7887729219396944,703020.0817838261,703020.0817838261,891283.235300483
SSP1,ASC,Ascension,85,2047,0.7860648535815565,0.7860648535815565,700606.4258561701,700606.4258561701,891283.235300483
SSP1,ASC,Ascension,85,2048,0.783366082746227,0.783366082746227,698201.056654723,698201.056654723,891283.235300483
SSP1,ASC,Ascension,85,2049,0.7806765775128238,0.7806765775128238,695803.9457289379,695803.9457289379,891283.235300483
SSP1,ASC,Ascension,85,2050,0.7779963060700581,0.7779963060700581,693415.0647259462,693415.0647259462,891283.235300483
SSP1,ASC,Ascension,85,2051,0.7753252367158574,0.7753252367158574,691034.3853902222,691034.3853902222,891283.235300483
SSP1,ASC,Ascension,85,2052,0.772663337856991,0.772663337856991,688661.8795632491,688661.8795632491,891283.235300483
SSP1,ASC,Ascension,85,2053,0.7700105780086963,0.7700105780086963,686297.5191831858,686297.5191831858,891283.235300483
SSP1,ASC,Ascension,85,2054,0.7673669257943063,0.7673669257943063,683941.276284535,683941.276284535,891283.235300483
SSP1,ASC,Ascension,85,2055,0.7647323499448783,0.7647323499448783,681593.1229978122,681593.1229978122,891283.235300483
SSP1,ASC,Ascension,85,2056,0.7621068192988244,0.7621068192988244,679253.0315492167,679253.0315492167,891283.235300483
SSP1,ASC,Ascension,85,2057,0.7594903028015427,0.7594903028015427,676920.9742603025,676920.9742603025,891283.235300483
