scenario,rgn_nam,rgn_id,year,prop_accel,prop_no_accel,avg_biomass_accel,avg_biomass_no_accel,historic_1900
SSP1,Antarctica,213,2005,0.8835027797876855,0.8835027797876855,99047642.80409896,99047642.80409896,112107901.71809204
SSP1,Antarctica,213,2006,0.8804423069005225,0.8804423069005225,98704539.61045401,98704539.61045401,112107901.71809204
SSP1,Antarctica,213,2007,0.8773924355581507,0.8773924355581507,98362624.93375057,98362624.93375057,112107901.71809204
SSP1,Antarctica,213,2008,0.8743531290365879,0.8743531290365879,98021894.65694004,98021894.65694004,112107901.71809204
SSP1,Antarctica,213,2009,0.8713243507390644,0.8713243507390644,97682344.6772354,97682344.6772354,112107901.71809204
SSP1,Antarctica,213,2010,0.8683060641955828,0.8683060641955828,97343970.90606171,97343970.90606171,112107901.71809204
SSP1,Antarctica,213,2011,0.8652982330624782,0.8652982330624782,97006769.26900701,97006769.26900701,112107901.71809204
SSP1,Antarctica,213,2012,0.8623008211219815,0.8623008211219815,96670735.70577316,96670735.70577316,112107901.71809204
SSP1,Antarctica,213,2013,0.859313792281782,0.859313792281782,96335866.17012697,96335866.17012697,112107901.71809204
SSP1,Antarctica,213,2014,0.8563371105745942,0.8563371105745942,96002156.62985152,96002156.62985152,112107901.71809204
SSP1,Antarctica,213,2015,0.8533707401577236,0.8533707401577236,95669603.06669754,95669603.06669754,112107901.71809204
SSP1,Antarctica,213,2016,0.850414645312636,0.850414645312636,95338201.4763351,95338201.4763351,112107901.71809204
SSP1,Antarctica,213,2017,0.8474687904445266,0.8474687904445266,95007947.86830533,95007947.86830533,112107901.71809204
SSP1,Antarctica,213,2018,0.8445331400818922,0.8445331400818922,94678838.26597242,94678838.26597242,112107901.71809204
SSP1,Antarctica,213,2019,0.841607658876103,0.841607658876103,94350868.70647569,94350868.70647569,112107901.71809204
SSP1,Antarctica,213,2020,0.8386923116009785,0.8386923116009785,94024035.24068192,94024035.24068192,112107901.71809204
SSP1,Antarctica,213,2021,0.8357870631523615,0.8357870631523615,93698333.93313773,93698333.93313773,112107901.71809204
SSP1,Antarctica,213,2022,0.8328918785476973,0.8328918785476973,93373760.8620223,93373760.8620223,112107901.71809204
SSP1,Antarctica,213,2023,0.8300067229256107,0.8300067229256107,93050312.11910002,93050312.11910002,112107901.71809204
SSP1,Antarctica,213,2024,0.8271315615454877,0.8271315615454877,92727983.80967353,92727983.80967353,112107901.71809204
SSP1,Antarctica,213,2025,0.8242663597870563,0.8242663597870563,92406772.0525368,92406772.0525368,112107901.71809204
SSP1,Antarctica,213,2026,0.8214110831499697,0.8214110831499697,92086672.97992833,92086672.97992833,112107901.71809204
SSP1,Antarctica,213,2027,0.8185656972533913,0.8185656972533913,91767682.73748468,91767682.73748468,112107901.71809204
