pressure,pressure_category,color,plot_name_pressure
light-pollution,land-based,#DFC524FF,light pollution
oxygen-surface,climate-change-other,#E95D93FF,reduced oxygen
nutrient-input,land-based,#ED8660FF,nutrient pollution
npp,productivity,#A1BE79FF,primary productivity
air-heat-index,climate-change-temperature,#8A0000FF,air heat index
slr,climate-change-other,#9F2C6CFF,sea level rise
coastal-disturbance,land-based,#ECA045FF,coastal disturbance
oxygen-benthic,climate-change-other,#E95D93FF,reduced oxygen
oa,climate-change-other,#C84382FF,acidification
fisheries-biomass-loss,fisheries,#4DB0D3FF,fisheries biomass loss
sst-extremes,climate-change-temperature,#3B060AFF,ocean warming
temperature-benthic,climate-change-temperature,#3B060AFF,ocean warming
