stockid,stocklong,total_years,max_year,min_year,year,biomass_MT
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,1995,173665.2532
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,1996,162811.4624
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,1997,153622.9457
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,1998,141263.8196
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,1999,135165.2137
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2000,129376.9889
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2001,120107.8407
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2002,120193.4768
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2003,113700.7094
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2004,125095.2604
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2005,141985.458
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2006,151691.0925
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2007,160168.7958
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2008,164839.7674
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2009,168549.0593
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2010,163016.3836
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2011,149172.7181
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2012,111326.9521
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2013,105542.0602
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2014,95550.334
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2015,97428.5728
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2016,67730.6032
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2017,78424.2696
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2018,90947.7113
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2019,116131.1994
ACMACKSARG,Argentine chub mackerel Southern Argentina,25,2019,1995,2020,116131.1994
AFLONCH,Alfonsino Chile,14,2011,1998,1995,47900
AFLONCH,Alfonsino Chile,14,2011,1998,1996,47900
