stockid,stocklong,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AMPL3LNO,American plaice Grand Banks,23700,22900,21500,22800,24200,27100,28200,27600,36100,39300,43400,44100,50500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMPL3M,American plaice Flemish Cap,6500,4980,4390,4220,3850,2940,2440,2710,1990,2080,2190,1810,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANCHMEDGSA16,Anchovy South of Sicily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15341.74,16333.87,17695.14,18278.46,17768.77,13874.69,9312.74,7882.82,7380.44,8065.37,9937.37,11111.86,12375.77,13606.98,12717.44,11763.2,11287.91,NA
ANCHMEDGSA17-18,"Anchovy Adriatic Sea (GSA 17,18)",581000,569000,626000,643000,674000,606000,618000,810000,1210000,1780000,1590000,1210000,984000,1040000,1020000,850000,815000,794000,680000,570000,349000,NA,NA,NA,NA,NA,NA,NA
ANCHMEDGSA6,Anchovy Northern Spain,21876.5,17651.39,15648.58,13336.17,13369.72,14964.9,19669.79,18531.05,14643.02,12729.19,9685.48,8211.4,10015.26,20502.49,32280.8,30398.35,37718.29,56739.01,66196.99,74957.03,80227.13,81693.8,89055.37,86554.63,71111.54,62677.65,65817.23,NA
ANCHMEDGSA7,Anchovy Gulf of Lions,30815.80006,34605.18864,42125.04678,56357.18846,79539.89541,69902.15523,99799.70741,57341.52009,30546.18157,26877.1927,15001.17078,27743.68632,15121.57048,24133.61645,30904.81899,25743.64229,28040.84304,39288.60906,22192.49143,32696.72523,42452.30343,26102.27971,58235.55193,36662.87082,38216.53935,18136.04606,42810.94084,NA
ANCHOBAYB,Anchovy Bay of Biscay,42500,48200,46400,96900,70500,94600,91500,38800,27500,30900,14500,21600,32000,25100,20800,49000,117000,94400,63500,66200,NA,NA,NA,NA,NA,NA,NA,NA
ANCHONWA,Anchovy North West Africa,NA,NA,NA,NA,NA,352000,31000,71000,60000,160000,153000,74000,186000,126000,53000,143000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANCHOSA,Anchovy South Africa,670700,536000,1080600,1392800,2098100,4492100,6231300,5111700,4522100,3232900,2829300,1950700,2882100,4033700,3783500,2558200,1484800,2933500,4129300,2743800,2132000,1757900,2718400,1641200,1546700,NA,NA,NA
ANCHOVYKILKACS,Anchovy kilka Iranian Caspian Sea,170000,185000,176000,168000,157000,119000,72300,35800,17100,8320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOLLNSJ,Walleye pollock Sea of Japan North,564000,520000,403000,325000,286000,283000,275000,249000,185000,155000,119000,88000,84300,118000,114000,101000,82500,91500,95800,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOLLPJPN,Walleye pollock Pacific Coast of Japan,1120000,1180000,1250000,1140000,1050000,948000,1190000,1120000,940000,888000,1090000,1140000,1170000,1130000,1140000,1090000,1140000,1060000,910000,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,598000,616000,628000,646000,661000,684000,707000,731000,761000,791000,816000,846000,871000,895000,908000,905000,890000,888000,881000,878000,908000,NA,NA,NA,NA,NA,NA,NA
ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,1740000,1720000,1700000,1690000,1700000,1730000,1790000,1860000,1930000,1970000,2010000,2040000,2070000,2090000,2110000,2100000,2070000,2030000,2030000,2070000,2090000,NA,NA,NA,NA,NA,NA,NA
ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,96294.8,92368.4,87960.3,81226,73336.9,62940.5,55430.7,60217.2,60588.5,62150.4,63494.6,58564.3,56397.3,51802,53947.8,50718.9,54760.8,56469.1,57331.7,63283.8,73937.2,88714.4,94533.8,NA,NA,NA,NA,NA
ARGANCHONARG,Argentine anchoita Northern Argentina,2012259.95,3527576.533,3546490.379,3470830.315,3009002.818,3781555.297,5088059.356,3758029.879,3536492.189,2572337.447,1595608.825,1363938.832,1361221.986,1293864.991,1284142.388,1154090.817,1606688.783,1971877.183,2458763.122,2799517.52,2340571.816,1763667.01,1197128.595,1085099.937,1679481.954,NA,NA,NA
ARGANCHOSARG,Argentine anchoita Southern Argentina,1440527.587,1317155.847,1932335.724,1418104.32,1400876.187,1440617.176,1222560.481,1154393.808,1471449.964,1701141.099,2060799.207,1798350.761,1537512.06,1402399.444,1367605.487,1362526.792,1351024.271,1330095.314,1276717.594,1235049.609,1255080.175,1347695.874,1469864.362,1344890.885,1245612.897,NA,NA,NA
ARGHAKENARG,Argentine hake Northern Argentina,313308,268834,210499,157809,110221,123939,158478,173005,140275,114218,132084,100953,102914,125093,118373,114243,118842,98213,99843,106719,121250,142017,163660,170125,NA,NA,NA,NA
ARGHAKESARG,Argentine hake Southern Argentina,1101981,1156867,1122729,879317,708057,550594,569463,620501,662939,828360,791096,809280,672012,580500,613439,624176,642549,656366,718648,753900,775183,847146,880070,885210,NA,NA,NA,NA
ATHAL3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,5340,6020,6800,7240,7890,8570,9550,9860,9890,9670,9900,10700,12200,14100,16900,18900,22400,27100,31800,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATHAL5YZ,Atlantic halibut Gulf of Maine / Georges Bank,439,482,525,571,636,688,752,821,903,974,1070,1170,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATKABSAI,Atka mackerel Bering Sea and Aleutian Islands,847000,744000,609000,680000,593000,532000,634000,999000,1180000,1310000,1170000,1030000,929000,810000,822000,788000,657000,614000,529000,581000,589000,NA,NA,NA,NA,NA,NA,NA
ATOOTHFISHRS,Antarctic toothfish Ross Sea,89300,89300,89300,89200,88900,88200,87700,86400,84900,83000,80300,78000,75800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUROCKPCOAST,Aurora rockfish Pacific Coast,4570,4490,4440,4390,4370,4360,4340,4340,4310,4270,4230,4230,4220,4220,4240,4240,4270,4330,4370,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUSSALMONNZ,Australian salmon New Zealand,25500,25200,25100,25300,25400,25200,24700,23900,23300,22800,22400,22600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGRDRNSWWA,Blue grenadier New South Wales to Western Australia,154417,148560,166556,180779,183513,172983,156106,135029,119457,98384.4,87665.5,82040.1,74167.5,67568.1,60938.7,63177.1,63102.4,64484.8,70461.3,82017.1,97250.5,113917,133333,140107,154009,161744,NA,NA
BGROCKPCOAST,Blackgill rockfish Pacific Coast,6335.91,6306.42,6263.69,6288.02,6340.16,6525.16,6671.59,6774.9,6856.71,6895.8,6959.9,7070.88,7170.89,7304.15,7409.47,7461.22,7491.69,7521.07,7504.61,7595.85,7684.22,7796.38,7910.45,NA,NA,NA,NA,NA
BIGEYEATL,Bigeye tuna Atlantic Ocean,591000,537000,492000,458000,426000,381000,352000,333000,330000,323000,319000,338000,360000,374000,393000,395000,397000,396000,404000,426000,NA,NA,NA,NA,NA,NA,NA,NA
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,1720000,1780000,1800000,1720000,1640000,1590000,1630000,1610000,1560000,1520000,1480000,1440000,1410000,1340000,1300000,1210000,1190000,1170000,1220000,1300000,1310000,1280000,1240000,1220000,NA,NA,NA,NA
BIGHTREDSE,Bight redfish Southeast Australia,14700,14600,14400,14200,14000,13900,13800,13800,13700,13100,12700,12300,11800,11600,11400,11400,11500,11600,11700,11900,NA,NA,NA,NA,NA,NA,NA,NA
BIGSKAGA,Big skate Gulf of Alaska,41600,42900,44300,45700,47200,47200,47200,47200,47200,45900,44600,44300,44000,44400,44700,45100,45500,45200,45000,45200,45500,44000,42500,42700,42800,NA,NA,NA
BKINGCRABPI,Blue king crab Pribilof Islands,6690,11200,9370,5280,4930,4280,3380,3180,2050,1860,263,744,726,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKINGCRABSMI,Blue king crab Saint Matthews Island,5200,4900,4300,2860,1740,1880,2030,2140,2020,2010,1920,2060,2400,2530,2560,2170,1590,1060,1230,1160,1140,1190,1190,1150,1080,1120,NA,NA
BLACKOREOWECR,Black oreo West end of Chatham Rise,152000,151000,149000,148000,148000,146000,144000,144000,144000,144000,144000,144000,144000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLACKROCKCAL,Black rockfish California,1810,1890,2120,2360,2560,2680,2740,2640,2690,2740,2990,3140,3320,3460,3500,3450,3970,4710,5350,5610,5770,NA,NA,NA,NA,NA,NA,NA
BLACKROCKORECOAST,Black rockfish Oregon Coast,8560,8470,8320,8200,8130,8130,8120,8060,8040,7980,7940,7930,7980,8020,8070,8040,8030,8110,8180,8140,8060,NA,NA,NA,NA,NA,NA,NA
BLACKROCKWASH,Black rockfish Washington,5050,5040,5090,5120,5030,5040,5000,5080,5110,5080,4980,4900,4810,4780,4980,5120,5430,5550,5700,5690,5640,NA,NA,NA,NA,NA,NA,NA
BLKMARLINIO,Black marlin Indian Ocean,215200,209500,206900,200700,195800,185700,171000,162900,162900,160200,153200,155400,157100,165500,178300,187500,198000,205100,208600,212100,212100,206900,194500,187500,184400,NA,NA,NA
BLSHARIO,Blue shark Indian Ocean,797600,782500,768900,749200,744700,738700,729600,731100,728100,717500,694900,670700,646500,628400,602700,572500,543800,515100,483400,451700,413900,395800,371600,356500,351960,NA,NA,NA
BLTILESATLC,Blueline tilefish Southern Atlantic coast,255.6802396,234.5730163,233.957628,212.7981962,223.7623313,228.2489005,241.0142495,248.8137639,267.8831798,284.6395487,317.0733725,349.7394354,394.2391693,450.9287799,515.5966203,567.436516,618.6907337,701.6694027,764.5010572,674.9960158,702.723233,NA,NA,NA,NA,NA,NA,NA
BLUEFISHATLC,Bluefish Atlantic Coast,62400,60900,60300,62700,69400,78300,83100,78600,80200,83500,96500,86000,83300,89400,89400,89400,89200,89600,96900,94300,NA,NA,NA,NA,NA,NA,NA,NA
BLUEROCKCAL,Blue rockfish California,3660,3870,4080,4110,4490,4830,5080,5300,5470,5540,5640,5650,5450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMACKECS,Spotted mackerel East China Sea,150000,159000,197000,238000,226000,149000,161000,126000,117000,166000,186000,157000,119000,94000,107000,125000,146000,131000,131000,119000,144000,168000,160000,204000,NA,NA,NA,NA
BMACKPJPN,Spotted mackerel Pacific Coast of Japan,309000,377000,268000,254000,363000,345000,378000,342000,299000,646000,659000,589000,587000,481000,720000,704000,591000,489000,414000,316000,225000,146000,113000,124000,NA,NA,NA,NA
BMARLINATL,Blue marlin Atlantic Ocean,27514,28036,27103,25731,24456,23061,21016,19759,18982,18551,19653,20303,21096,20346,19656,19674,19778,19806,19479,19939,20102,20741,NA,NA,NA,NA,NA,NA
BMARLINIO,Indo Pacific blue marlin Indian Ocean,64380,63180,64930,63830,59120,55400,51570,49820,46860,43900,40290,37770,35260,35910,37660,41720,42920,44120,41170,39960,41170,39960,37660,NA,NA,NA,NA,NA
BNKROCKCAL,Bank rockfish California,7380,7220,7050,6770,6380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOCACCBCW,Bocaccio British Columbia Waters,3210,2940,2820,2770,2770,2750,2720,2600,2510,2470,2420,2370,2280,2220,2080,1930,1920,1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOCACCSPCOAST,Bocaccio Southern Pacific Coast,12034,11474,10953,10453,10150,10952,12140,13312,14101,14828,15163,15117,14983,14623,14122,13583,13520,13915,14533,16669,19701,22816,25293,NA,NA,NA,NA,NA
BRMSOJ,Yellow sea bream Sea of Japan,3020,2220,2430,2250,1880,1870,2380,2750,2930,3390,3180,3260,3860,4240,4270,5560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRNROCKPCOAST,Brown rockfish Pacific Coast,962,1010,1020,988,1020,1030,1070,1050,1090,1050,1140,1170,1210,1250,1310,1350,1380,1400,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSBASSMATLC,Black sea bass Mid-Atlantic Coast,2974.3156,3286.4547,3559.546,3477.5782,4536.2206,4889.505,6579.041,7678.7477,8463.089,7120.786,6173.3165,5303.2966,4354.133,4588.4995,5649.643,6944.507,8123.842,9142.469,10518.737,13350.415,16850.26,NA,NA,NA,NA,NA,NA,NA
BSBASSSATL,Black sea bass South Atlantic,3280,3300,3170,3060,2930,2990,3480,3530,3800,3750,3270,3260,3280,3400,3610,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQLOBSTERCSCH,Yellow squat lobster Central-Southern Chile,46900,40500,35800,27200,23900,33200,40800,50400,57300,61800,65000,65000,61800,59300,53600,47000,39800,33300,28100,24700,23300,NA,NA,NA,NA,NA,NA,NA
BSQLOBSTERNCH,Yellow squat lobster Northern Chile,16900,16200,14600,14200,13200,10700,10000,10400,12700,14300,16700,18600,20100,22900,23400,24100,23900,22800,21200,20200,19100,NA,NA,NA,NA,NA,NA,NA
BWHITNEA,Blue whiting Northeast Atlantic,3359104,3715742,5388585,6757753,7158771,7437292,8969231,10363526,11842067,10443214,8616632,7801807,5753500,4441932,3498267,3799359,4505291,5176218,5678694,6714472,8267016,9341505,9153979,8213238,6887458,5700362,NA,NA
CABEZORECOAST,Cabezon Oregon Coast,533,549,562,559,556,562,599,602,593,584,557,538,516,483,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CABEZSCAL,Cabezon Southern California,624,623,621,634,607,621,660,723,778,764,752,736,743,758,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CALSCORPSCAL,California scorpionfish Southern California,2651.25,2804.63,2957.22,3052.82,3106.28,3086.88,3056.4,2968.46,2875.48,2742.63,2608.17,2479.54,2306.33,2156.96,2047.95,1948.44,1869.84,1768.52,1630.7,1556.37,1534.81,1713.25,1915.22,NA,NA,NA,NA,NA
CAPENOR,Capelin Barents Sea,193000,503000,909000,2056000,2775000,4273000,3630000,2210000,533000,628000,324000,787000,2119000,4428000,3765000,3500000,3707000,3586000,3956000,1949000,842000,328000,2506000,1597000,NA,NA,NA,NA
CHAKESA,Shallow water cape hake South Africa,699113,698655,688904,680003,667004,648557,617859,584110,556359,530378,509230,497923,491165,487740,490810,493159,499990,502295,514729,535214,554618,576931,596575,618733,639191,660767,NA,NA
CHERRCHVX,Chilean herring Central-Southern Chile,960000,2500000,2020000,1520000,1080000,846000,748000,949000,957000,1270000,1320000,1710000,1530000,3730000,4250000,3130000,3770000,4190000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHILISPCOAST,Chilipepper Southern Pacific Coast,18323.9,17375.6,16271.6,14668,13439.9,13633.4,20628.4,26211.6,30878.9,34105.2,35974.9,36339.7,35457.2,33724.7,31788.1,29654.7,30044.7,31848.2,33242.4,34034.8,35205.6,37394.1,39163.2,NA,NA,NA,NA,NA
CHMACKNWA,Cunene horse mackerel North West Africa,116000,100000,91200,92700,90400,135000,187000,186000,215000,250000,244000,217000,284000,369000,316000,253000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHROCKCPCOAST,China rockfish Central Pacific Coast,499,489,481,468,450,427,417,402,386,383,384,387,388,386,384,382,384,382,379,378,381,NA,NA,NA,NA,NA,NA,NA
CHROCKNPCOAST,China rockfish Northern Pacific Coast,178,177,177,178,179,180,180,180,181,181,182,183,183,183,183,183,183,183,183,183,183,NA,NA,NA,NA,NA,NA,NA
CHROCKSPCOAST,China rockfish Southern Pacific Coast,224,208,203,195,202,206,209,212,215,219,229,234,241,248,253,253,254,259,264,272,280,NA,NA,NA,NA,NA,NA,NA
CHSQUIDSA,Cape Hope squid South Africa,34328,34400,30783,26780,31975,31364,31920,29680,39131,41267,33753,30004,31662,35849,41455,38433,30947,24465,23764,21769,33670,31424,NA,NA,NA,NA,NA,NA
CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,12100000,8730000,7070000,6310000,6800000,8060000,9020000,8560000,8610000,8340000,7700000,6760000,5310000,3810000,2770000,2360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMACKNWA,Atlantic chub mackerel North West Africa,NA,NA,NA,NA,333000,224000,274000,384000,490000,563000,632000,420000,458000,511000,564000,262000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMACKPCOAST,Pacific chub mackerel Pacific Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63500,68300,42900,36800,69200,44400,35600,30700,22800,41200,25900,71100,NA,NA,NA
CMACKPJPN,Chub mackerel Pacific Coast of Japan,350000,705000,628000,288000,235000,225000,153000,228000,252000,763000,849000,752000,579000,490000,538000,689000,868000,1185000,3411000,3738000,3476000,3807000,4327000,5595000,NA,NA,NA,NA
CMACKTSST,Chub mackerel Tsushima Strait,1292000,1370000,832000,715000,617000,446000,559000,467000,459000,627000,509000,443000,522000,696000,551000,511000,516000,487000,371000,555000,570000,480000,640000,654000,NA,NA,NA,NA
COBGM,Cobia Gulf of Mexico,3920,4410,4630,3830,3590,3390,3080,3180,3020,2680,2740,2670,2580,2800,2970,3150,3020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD1F-XIV,Atlantic cod NAFO 1F and ICES 14,3929,3928,4133,3802,4152,5523,8315,12382,16772,29657,61953,92155,104167,76394,91681,85822,86630,107146,122503,136036,101780,95202,93747,62429,NA,NA,NA,NA
COD1IN,Atlantic cod NAFO Subarea 1 (inshore),5604,3786,3260,2917,3933,4816,5957,9320,14775,15335,17817,24967,32460,34028,34271,35629,36723,56078,65540,74722,77503,66397,53194,37899,NA,NA,NA,NA
COD2J3KL,Atlantic cod Southern Labrador-Eastern Newfoundland,26000,36000,45000,56000,67000,79000,84000,72000,62000,62000,87000,126000,167000,190000,196000,195000,203000,247000,325000,424000,510000,586000,634000,569000,623000,678000,643000,NA
COD3M,Atlantic cod Flemish Cap,23000,5710,4880,3680,2580,2410,2040,2370,2670,4260,4590,7250,13400,20600,31100,47100,58800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD3NO,Atlantic cod Southern Grand Banks,2530,4720,2470,17000,14600,20100,9260,4320,6580,5060,6370,8700,9510,9590,30200,7560,7570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD3Pn4RS,Atlantic cod Northern Gulf of St. Lawrence,21015.783,18740.91,21116.82,21178.055,27096.398,23679.496,28403.762,28446.627,39034.125,35571.297,34456.82,30981.746,29839.719,32227.875,31125.648,33156.9,32000,33066.668,37333.332,48533.332,46400,38400,27733.334,19733.334,11466.667,NA,NA,NA
COD4TVn,Atlantic cod Southern Gulf of St. Lawrence,107087.44,115084.366,123077.095,120435.73,114245.46,116472.975,118700.49,105425.026,86823.41,81070.805,75318.2,71790.306,64268.148,56745.99,39917.427,36827.1935,33736.96,28438.82,27120.9375,25803.055,27601.313,24957.144,22312.975,15236.182,NA,NA,NA,NA
COD4X5Yb,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",79640,87721,89304,63780,49323,48023,60074,56341,59617,54150,46578,40285,31905,28111,22104,20744,15364,14122,12157,15072,23396,18979,13588,NA,NA,NA,NA,NA
COD5Zjm,Atlantic cod NAFO 5Zjm,15746,18782,17417,14799,16825,16371,19364,15640,10880,9713,5574,6757,6470,6960,7582,5681,3978,3045,5172,6558,7860,11731,11520,6402,NA,NA,NA,NA
CODBA2224,Atlantic cod Western Baltic,51020,57912,59418,55538,56402,50072,44193,37395,33047,35349,40807,36205,36664,25248,19680,18531,16695,19713,17468,20203,21136,16211,13619,18334,22710,NA,NA,NA
CODBA2532,Atlantic cod Eastern Baltic,238000,210000,181000,149000,135000,151000,142000,129000,122000,112000,104000,128000,126000,155000,193000,203000,198000,233000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CODFAPL,Atlantic cod Faroe Plateau,130603,130909,87404,58971,56820,89092,122156,109352,64266,34896,29187,26336,23516,24337,29309,42956,32623,20888,17981,23907,25377,26634,30990,50357,45612,25400,19466,NA
CODICE,Atlantic cod Iceland Grounds,557000,671000,783000,721000,731000,590000,688000,729000,740000,800000,724000,701000,681000,704000,799000,843000,932000,1050000,1160000,NA,NA,NA,NA,NA,NA,NA,NA,NA
CODIIIaW-IV-VIId,Atlantic cod ICES 3a(west)-4-7d,545331,412793,614068,319567,216068,268527,189111,161366,135954,118729,136803,145551,195404,202943,211352,220369,205010,179019,226202,276946,245937,214346,218059,175062,NA,NA,NA,NA
CODIS,Atlantic cod Irish Sea,16200,18100,17200,12000,9550,7270,7490,6540,4700,4470,3620,3230,2710,2210,2650,3670,3080,3990,5570,7330,8090,8650,NA,NA,NA,NA,NA,NA
CODNEAR,Atlantic cod North-East Arctic,1812051,1676724,1494275,1267417,1151382,1181840,1458686,1615291,1715991,1624920,1559230,1565894,1957213,2702303,3440984,3812243,4014603,4144546,4358560,3939370,3659453,3185130,3155230,2727210,2612690,NA,NA,NA
CODVIa,Atlantic cod West of Scotland,29300,26300,26400,18500,14600,15400,12900,12700,8770,5320,3680,3480,4020,3390,3350,4260,4250,3730,3220,3540,4370,4150,4250,NA,NA,NA,NA,NA
CODVIIek,Atlantic cod Celtic Sea,25999,26362,23366,19564,15994,15182,18815,15870,11249,7174,7503,8922,10391,8954,9142,17703,16985,17047,11300,8523,7817,6418,3639,2678,NA,NA,NA,NA
COWCODSCAL,Cowcod Southern California,587,596,586,589,602,613,636,670,711,749,791,829,867,895,927,958,990,1020,1050,1080,1120,NA,NA,NA,NA,NA,NA,NA
CPRROCKPCOAST,Copper rockfish Pacific Coast,1970,2030,2020,2060,2120,2170,2270,2370,2490,2590,2700,2770,2870,2930,3020,3090,3180,3250,3290,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRLOBSTERSA12,West coast rock lobster South Africa Areas 1-2,358.0655094,383.0845115,389.1623315,391.9188372,453.1408455,473.5724466,500.7137558,507.1669329,511.654327,619.5220032,595.912558,575.7217315,570.6456805,552.4487483,600.1967526,575.2517119,546.0442266,592.7701026,593.4440542,598.2462819,619.3372371,660.1228817,701.6688238,749.0253762,793.6141042,1260.80139,NA,NA
CRLOBSTERSA34,West coast rock lobster South Africa Areas 3-4,1845.071581,2160.644981,2138.338576,2202.657604,2229.832337,2486.692472,2654.629019,2927.831351,3066.302636,3323.062276,3467.965566,3534.804101,3421.299184,3580.998825,3491.188979,3284.359791,3250.892325,3119.179405,3171.147505,3006.8985,2642.211456,2529.101681,2484.792306,2337.719732,2701.371077,2846.103343,NA,NA
CRLOBSTERSA56,West coast rock lobster South Africa Areas 5-6,1200.870084,1351.68468,1395.826154,1398.901218,1408.119469,1568.480228,1656.289363,1766.655912,1756.252254,1800.402423,1815.798753,1863.363504,1854.0444,2140.762152,2334.11353,2384.282214,2539.143739,2462.330903,2560.92837,2530.892753,2497.379049,2578.892178,2729.719606,2719.396908,3157.458736,3351.548595,NA,NA
CRLOBSTERSA7,West coast rock lobster South Africa Area 7,5242.868766,6528.774198,6648.035592,6214.565745,5877.860407,6326.125264,6149.548115,6386.83958,5313.873285,4860.648104,4118.423686,3689.836519,3104.855796,3352.073599,2914.965884,2621.413745,2381.031181,2047.002229,1862.647011,1808.335105,1667.91068,1562.243339,1661.974892,1580.289621,1579.698192,1449.539432,NA,NA
CRLOBSTERSA8,West coast rock lobster South Africa Area 8,12962.02585,15109.18787,15472.20829,14945.32457,13990.7679,15409.18779,15831.17492,16494.30346,15642.37933,15342.57301,13924.37693,12599.71491,9783.968822,9972.398095,9821.96128,9671.100806,9789.340779,8908.48221,8384.575245,7220.171822,6219.855501,5591.324342,5529.377148,4808.689906,6482.322473,6655.205734,NA,NA
CROCKPCOAST,Canary rockfish Pacific Coast,13998.7,14614.6,14990.8,15119.7,15429,16377.9,17824.5,19596.9,21077.9,22550.3,23843.4,25411.9,26847.6,28368.3,29580.9,30373.1,31163.4,32525.4,33040,33977.6,35210,35883.1,36348.8,NA,NA,NA,NA,NA
CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands,7170,7060,7080,7030,6820,6470,6250,6060,5930,6000,6280,6620,7310,8140,8890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSARDCSCH,Chilean sardine Central-Southern Chile,761620,1518000,1080200,746840,653870,475590,457800,725490,766550,773620,629360,1310300,1074400,3087000,2846100,1877000,3000800,2747600,1869900,3164100,2252000,1916400,2728000,2809100,1841000,1333000,NA,NA
