stockid,stocklong,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACADRED2J3K,Acadian redfish NAFO Division 2J3K,400,1600,1300,3100,1800,900,1500,1200,600,1900,10600,20400,14500,16300,27600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACADREDUT3,Acadian redfish Unit 3,38000,42000,67000,17000,61000,48000,94000,32000,50000,33000,116000,96000,33000,146000,147000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACMACKSARG,Argentine chub mackerel Southern Argentina,173665.2532,162811.4624,153622.9457,141263.8196,135165.2137,129376.9889,120107.8407,120193.4768,113700.7094,125095.2604,141985.458,151691.0925,160168.7958,164839.7674,168549.0593,163016.3836,149172.7181,111326.9521,105542.0602,95550.334,97428.5728,67730.6032,78424.2696,90947.7113,116131.1994,NA,NA,NA
AFLONCH,Alfonsino Chile,NA,NA,NA,47900,47200,45300,39400,33600,25400,18400,16300,13800,12500,12400,11500,11400,11600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALBAMED,Albacore tuna Mediterranean Sea,36063,36570,34350,36762,34936,36525,36154,33122,30787,26811,22618,20299,15964,13271,15309,14616,15349,12841,11156,10450,8977,8420,9558,11682,11292,NA,NA,NA
ALBANATL,Albacore tuna Northern Atlantic,378000,384000,386000,396000,410000,410000,409000,425000,437000,449000,463000,461000,461000,475000,497000,515000,529000,543000,549000,559000,569000,NA,NA,NA,NA,NA,NA,NA
ALBANPAC,Albacore tuna North Pacific Ocean,916529,905067,863514,796695,743767,717837,739902,745274,709236,686419,712443,763458,781779,749531,750445,737662,742227,723446,675066,660993,646243,617363,617985,641391,NA,NA,NA,NA
ALBASATL,Albacore tuna South Atlantic,129500,128800,126450,124850,120900,119450,114600,101850,95800,93350,96050,102750,103900,109750,117000,121150,128500,130500,131500,139000,NA,NA,NA,NA,NA,NA,NA,NA
ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,594000,590000,586000,574000,567000,558000,548000,543000,536000,537000,548000,555000,558000,559000,557000,554000,544000,523000,505000,485000,NA,NA,NA,NA,NA,NA,NA,NA
ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands,520000,516000,513000,506000,500000,501000,500000,501000,501000,506000,509000,512000,518000,525000,530000,535000,541000,539000,532000,519000,NA,NA,NA,NA,NA,NA,NA,NA
AMPL23K,American plaice Labrador - NE Newfoundland,13400,17300,17600,19500,17700,14500,12800,6800,8000,11300,11500,21700,31600,24700,25900,23300,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
