names,sizes,lats,lons,SP_ID,```````
multinational-CCAMLR-RS,301199.4703,-75.050354,-174.7159055,42,
multinational-CCSBT-SO,177431305.6,-70.83308082,5.919448052,43,
Australia-AFMA-SE,248434.1371,-54.72305437,158.8620829,5,
Australia-AFMA-MI,247030.733,-54.72305,158.86208,134,
New Zealand-MFish-CIR,222086.2033,-53.13229568,171.271877,139,
New Zealand-MFish-SA,1569304.799,-50.20400055,168.2988289,,
Argentina-CFP-ARG-S,2926839.658,-49.99875294,-59.27544464,2,
New Zealand-MFish-LIN5-6,3639637.21,-49.99291804,169.8264943,,
New Zealand-MFish-CRA8,944064.8524,-49.58243348,166.97978,,
New Zealand-MFish-LIN6b,1036123504,-49.4475332,178.0178494,,
New Zealand-MFish-SA,958507.6563,-49.33683584,177.9321525,,
New Zealand-MFish-LIN6b,5321912.206,-48.67975828,-177.5019542,,
New Zealand-MFish-NZ,237332631.6,-48.67308997,178.9289648,,
New Zealand-MFish-LIN5-6,2816287722,-48.60519504,-177.5952018,,
New Zealand-MFish-SA,1663035450,-48.2527133,-178.0207983,,
New Zealand-MFish-PAU5B,60018.03203,-47.10866662,167.3937211,,
South Africa-DETMCM-PEI,120904.6375,-46.87915123,37.20312941,164,
South Africa-DETMCM-SA,125388.3983,-46.87915123,37.20312941,164,
New Zealand-MFish-CRA7,0.174274908,-46.65398869,169.0288958,,
New Zealand-MFish-PAU5D,0.174274908,-46.65398869,169.0288958,,
New Zealand-MFish-CRA7,0.013621807,-46.64213893,169.1415197,,
New Zealand-MFish-PAU5D,0.013621807,-46.64213893,169.1415197,,
New Zealand-MFish-CRA7,5.585415071,-46.62274441,169.1471873,,
New Zealand-MFish-PAU5D,5.585415071,-46.62274441,169.1471873,,
New Zealand-MFish-CRA7,84808.36182,-46.54719953,171.8975477,137,
New Zealand-MFish-PAU5D,31332.37259,-45.99054429,171.1999193,,
New Zealand-MFish-PAU5A,56680.99238,-45.65469878,166.3900749,,
New Zealand-MFish-CRA5,142859.6534,-44.38081683,174.6607623,136,
New Zealand-MFish-NZ,169863103.4,-44.25953479,-176.2830854,,
New Zealand-MFish-CR,370592062.7,-44.13211004,176.3866437,,
New Zealand-MFish-WECR,224437.8893,-44.09077915,176.537986,,
New Zealand-MFish-WNZ,812793.0698,-44.087585,169.453125,155,
New Zealand-MFish-WECR,2052604868,-44.0833335,-179.75,,
New Zealand-MFish-CR,54627755.14,-44.08292956,-175.8740286,,
Australia-AFMA-CASCADE,271.3189913,-43.925,150.46,3,
New Zealand-MFish-LIN3-4,166320674.5,-43.8947295,175.6933595,141,
New Zealand-MFish-LIN3-4,109599564.2,-43.8947295,-176.220703,,
New Zealand-MFish-NZ,1462965379,-42.89817385,171.6077845,,
multinational-WCPFC-SPAC,10271632277,-42.56857691,164.9266645,,
New Zealand-MFish-LIN7WC-WCSI,203792.973,-42.50706972,167.4456723,145,
Australia-AFMA-TAS,581886.7055,-42.032974,146.601563,10,
New Zealand-MFish-PAU7,19796.71854,-41.84891466,174.0099209,,
New Zealand-MFish-CRA4,76450.2608,-41.60896062,176.2907438,,
New Zealand-MFish-TRE7,309307.4834,-41.55517016,168.3641633,153,
New Zealand-MFish-NZMEC,12495862.37,-41.0178301,177.4385257,,
New Zealand-MFish-CRA3,1460525.277,-40.95526511,178.7073076,,
New Zealand-MFish-NZMEC,749138044.8,-40.75860436,-177.353452,,
New Zealand-MFish-PAU7,124.4907592,-40.603809,172.096787,,
New Zealand-MFish-LIN72,13401381.84,-40.20565462,172.0686728,,
New Zealand-MFish-CRA3,2620295488,-39.63011198,-178.765772,,
New Zealand-MFish-LIN72,1531653807,-39.44175079,-178.1401667,,
New Zealand-MFish-8,66238.38426,-39.17337137,173.2824597,,
multinational-SPRFMO-CH,8442119.602,-38.87234441,-79.31278049,126,
New Zealand-MFish-ENZ,24951032.05,-38.13037723,175.7515632,,
New Zealand-MFish-ENZ,20607133.37,-38.07005358,-179.5106111,,
Australia-AFMA-ESE,894716.0598,-37.71859,150.556641,4,
Australia-AFMA-WSE,1232722.388,-36.879621,138.691406,12,
Argentina-CFP-ARG-N,979766.4422,-36.330473,-56.92657829,1,
New Zealand-MFish-CRA2,479133.7014,-36.06934338,177.7457697,,
New Zealand-MFish-CRA2,3452888274,-36.06388184,-178.9950226,,
Australia-AFMA-GAB,2557953.963,-35.746512,131.308594,7,
Australia-AFMA-GAB-SESSF,2557953.963,-35.746512,131.308594,7,
Australia-AFMA-SESSF,3056003.419,-35.27399027,157.2789413,9,
South Africa-DETMCM-8,69156.59873,-35.025,17.75,163,
South Africa-DETMCM-SASC,2387619.914,-34.32759512,27.53108225,166,
New Zealand-MFish-CRA1,397659.9321,-33.62935874,172.6568485,,
multinational-WCPFC-SPAC,2490903439,-33.54597016,-116.2472438,,
South Africa-DETMCM-7,9029.332979,-33.425,17.25,162,
South Africa-DETMCM-5-6,19468.01615,-32.875,17.25,161,
Australia-AFMA-SE,4788688.719,-32.85385942,144.5700144,,
South Africa-DETMCM-3-4,32800.68366,-31.875,17.25,160,
multinational-IATTC-EPAC,5449027472,-31.18548171,-154.9193544,,
New Zealand-MFish-NZ,682489789.1,-30.34646104,-178.4421865,,
South Africa-DETMCM-1-2,58895.29111,-29.875,17,,
multinational-ICCAT-SATL,303470.5558,-29.51926632,-17.6658515,,
South Africa-DETMCM-SA,2961424.188,-29.09901999,25.19133466,,
Australia-AFMA-SE,392817.2855,-29.06889873,167.9714045,,
South Africa-DETMCM-SA,172625.809,-23.0423815,14.45389484,,
New Zealand-MFish-NZ,476710827.1,-19.0758276,-169.8607025,,
Australia-AFMA-NAUST,8365058.814,-17.24249497,133.1791899,8,
multinational-IOTC-IO,27808970.89,-15.24566755,80.65297587,113,
New Zealand-MFish-NZ,1065515298,-10.13080728,-168.5302574,,
Peru-IMARPE-NC,2592118.639,-6.111743932,-79.14492848,156,
multinational-SPC-WPO,6042832.904,2.704641036,-124.646169,125,
multinational-ICCAT-WATL,5455157.681,12.18733842,-52.42671235,,
multinational-IATTC-EPAC,305872897.6,14.7382194,144.9177425,,
USA-NMFS-GM,2492811.175,24.95019226,-91.61538672,191,
USA-NMFS-WGM,1148392.171,24.96686456,-93.16255544,215,
USA-NMFS-SATLCGM,2901850.867,25.90009652,-89.84979195,206,
multinational-ICCAT-EATL,15796049.59,27.24783143,-6.057879385,,
USA-NMFS-EGM,1000200.15,27.54161236,-87.61466157,189,
USA-NMFS-WATL,8687825.464,29.6749654,-67.17942792,214,
USA-NMFS-SATL,564205.8738,31.08629898,-78.64079802,204,
USA-NMFS-SATLC,392948.05,31.55210006,-79.34436703,205,
USA-US State-ROSS,487.8973878,32.479646,-90.009613,224,
USA-US State-OKA,62.13108312,32.514394,-88.80249,221,
USA-US State-ATKINS,0.098165408,33.5984422,-92.0468047,216,
USA-NMFS-SCAL,205758.948,33.75,-121,207,
USA-NMFS-SPCOAST,205758.948,33.75,-121,213,
USA-NMFS-ATL,4054863.087,34.74496007,-65.83001058,176,
USA-US State-NIMROD,38.64444281,34.949554,-93.218307,220,
USA-NMFS-CAL,1426281.544,35.11213606,-118.3455218,181,
USA-NMFS-ATLC,1236599.211,35.69933702,-75.55350373,177,
USA-NMFS-5YCHATT,190895.4141,36.04190988,-74.62537081,,
